year,week,home_team,away_team,pred_diff,actual_diff,error,abs_error,home_rating,away_rating,hfa
2021,3,Kansas,Baylor,4.453122278261325,-38,42.453122278261326,42.453122278261326,-1.360543511889436,-0.3654527360373908,5.44821305411337
2021,3,Louisiana Tech,SMU,4.426167745596909,-2,6.426167745596909,6.426167745596909,-1.1146338476663167,-0.09258853914985625,5.44821305411337
2021,3,Clemson,Georgia Tech,6.471215587269359,6,0.4712155872693593,0.4712155872693593,-0.26643908983548664,-1.2894416229914767,5.44821305411337
2021,3,Akron,Bryant,5.021933981786483,21,-15.978066018213518,15.978066018213518,-0.42627907232688655,0.0,5.44821305411337
2021,3,Wake Forest,Florida State,6.330747233533355,21,-14.669252766466645,14.669252766466645,-0.060329377559529,-0.9428635569795147,5.44821305411337
2021,3,Florida,Alabama,5.078982179361809,-2,7.078982179361809,7.078982179361809,-0.8144867160063272,-0.4452558412547661,5.44821305411337
2021,3,Washington State,USC,5.763858457668146,-31,36.76385845766815,36.76385845766815,-0.0192389441947252,-0.3348843477495018,5.44821305411337
2021,3,Massachusetts,Eastern Michigan,5.138907642963707,-14,19.13890764296371,19.13890764296371,-1.0765531086737956,-0.7672476975241326,5.44821305411337
2021,3,Iowa,Kent State,5.246130654587938,23,-17.753869345412063,17.753869345412063,-1.4430665999168883,-1.2409842003914564,5.44821305411337
2021,3,Ohio State,Tulsa,5.60418195925103,21,-15.39581804074897,15.39581804074897,-0.1539593770678965,-0.3099282822055567,5.44821305411337
2021,3,Miami (OH),Long Island University,5.574645940504778,35,-29.42535405949522,29.42535405949522,-1.042390232455346,-1.1688231188467546,5.44821305411337
2021,3,App State,Elon,5.009071409059901,34,-28.9909285909401,28.9909285909401,-0.43914164505346875,0.0,5.44821305411337
2021,3,Oregon State,Idaho,6.9827442345216575,42,-35.01725576547834,35.01725576547834,-0.00784271480678809,-1.542373895215076,5.44821305411337
2021,3,Wyoming,Ball State,5.868605345297966,33,-27.131394654702035,27.131394654702035,0.05859748328358988,-0.3617948079010059,5.44821305411337
2021,3,Duke,Northwestern,5.404250854192616,7,-1.5957491458073836,1.5957491458073836,-0.465551179632515,-0.4215889797117617,5.44821305411337
2021,3,Toledo,Colorado State,5.5899748934807505,-16,21.58997489348075,21.58997489348075,-0.30327288658360735,-0.44503472595098764,5.44821305411337
2021,3,Arkansas,Georgia Southern,6.236343076736087,35,-28.763656923263913,28.763656923263913,-0.3931388405653439,-1.1812688631880608,5.44821305411337
2021,3,Memphis,Mississippi State,5.386462767018048,2,3.386462767018048,3.386462767018048,-1.0940159261672648,-1.0322656390719431,5.44821305411337
2021,3,California,Sacramento State,5.1372695755279745,12,-6.8627304244720255,6.8627304244720255,-0.31094347858539517,0.0,5.44821305411337
2021,3,Washington,Arkansas State,5.807120831137119,49,-43.19287916886288,43.19287916886288,-0.04236625296873558,-0.4012740299924857,5.44821305411337
2021,3,Bowling Green,Murray State,6.093275284665206,17,-10.906724715334793,10.906724715334793,-0.3799722415592347,-1.025034472111071,5.44821305411337
2021,3,Florida Atlantic,Fordham,5.570771601390473,31,-25.429228398609528,25.429228398609528,-0.8444174397530897,-0.9669759870301927,5.44821305411337
2021,3,Liberty,Old Dominion,4.257581075018209,28,-23.74241892498179,23.74241892498179,-1.1794488140209982,0.01118316507416309,5.44821305411337
2021,3,Marshall,East Carolina,4.9245984128970015,-4,8.924598412897002,8.924598412897002,-1.0798019039174305,-0.5561872627010618,5.44821305411337
2021,3,UTSA,Middle Tennessee,6.258153575152329,14,-7.741846424847671,7.741846424847671,-0.23304182861845238,-1.0429823496574122,5.44821305411337
2021,3,Houston,Grambling,5.359709214004702,45,-39.6402907859953,39.6402907859953,-1.4335427893184458,-1.3450389492097774,5.44821305411337
2021,3,San Diego State,Utah,5.555920297033443,2,3.5559202970334427,3.5559202970334427,-0.11133618402499555,-0.2190434269450687,5.44821305411337
2021,3,Southern Miss,Troy,5.49188951373111,-12,17.49188951373111,17.49188951373111,-0.22692640883684465,-0.2706028684545848,5.44821305411337
2021,3,Georgia,South Carolina,4.471676103801782,27,-22.528323896198216,22.528323896198216,-1.1210638786773282,-0.14452692836574033,5.44821305411337
2021,3,Texas State,Incarnate Word,5.1526421906382165,-8,13.152642190638216,13.152642190638216,-0.2955708634751529,0.0,5.44821305411337
2021,3,South Florida,Florida A&M,5.222398432695583,21,-15.777601567304417,15.777601567304417,-0.22581462141778713,0.0,5.44821305411337
2021,3,Georgia State,Charlotte,4.438919539797914,11,-6.561080460202086,6.561080460202086,-1.2604831037945168,-0.25118958947906095,5.44821305411337
2021,3,Texas Tech,Florida International,6.03217439189707,33,-26.96782560810293,26.96782560810293,-0.3023522311119349,-0.886313568895635,5.44821305411337
2021,3,North Carolina,Virginia,4.763822133690998,20,-15.236177866309003,15.236177866309003,-0.8019393161860223,-0.1175483957636507,5.44821305411337
2021,3,North Texas,UAB,5.086973752946581,-34,39.086973752946584,39.086973752946584,-0.6859351687174414,-0.3246958675506529,5.44821305411337
2021,3,Penn State,Auburn,5.7995716715026875,8,-2.2004283284973125,2.2004283284973125,-0.017595007498387227,-0.36895362488770456,5.44821305411337
2021,3,Oregon,Stony Brook,5.464071494404384,41,-35.535928505595614,35.535928505595614,0.015858440291013635,0.0,5.44821305411337
2021,3,NC State,Furman,4.473294392393784,38,-33.52670560760622,33.52670560760622,-0.9749186617195852,0.0,5.44821305411337
2021,3,LSU,Central Michigan,4.476247795479786,28,-23.523752204520214,23.523752204520214,-1.2202142886905787,-0.24824903005699517,5.44821305411337
2021,3,Air Force,Utah State,5.220590424489555,-4,9.220590424489554,9.220590424489554,-0.39894168687137066,-0.1713190572475561,5.44821305411337
2021,3,Vanderbilt,Stanford,5.516636796970219,-18,23.516636796970218,23.516636796970218,-0.14138656812435385,-0.20981031098120315,5.44821305411337
2021,3,UL Monroe,Jackson State,5.0602136928222246,5,0.06021369282222455,0.06021369282222455,-0.38799936129114554,0.0,5.44821305411337
2021,3,New Mexico State,South Carolina State,4.818239359533656,8,-3.1817606404663437,3.1817606404663437,-0.8441173373538562,-0.21414364277414255,5.44821305411337
2021,3,Texas,Rice,5.21504953897682,58,-52.78495046102318,52.78495046102318,-0.3104918717476665,-0.07732835661111705,5.44821305411337
2021,3,South Alabama,Alcorn State,5.3261370627819895,7,-1.6738629372180105,1.6738629372180105,-0.1220759913313801,0.0,5.44821305411337
2021,3,Ole Miss,Tulane,5.768728730959443,40,-34.231271269040555,34.231271269040555,0.04498332742993225,-0.2755323494161403,5.44821305411337
2021,3,Boise State,Oklahoma State,5.138800586069891,-1,6.138800586069891,6.138800586069891,-0.34829026369294236,-0.03887779564946328,5.44821305411337
