season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units
2022,10,401416632,2022-11-01 19:00:00-04:00,Kent State,Ball State,False,consensus,-7.0,61.5,2.460652804830704,56.397379593976154,4.539347195169296,5.102620406023846,none,none,7.0,7.0,home_off_eckel_rate: +3.70,home_adj_def_epa_pp: -2.24,away_adj_off_epa_pp: +1.88,home_adj_def_ypp: +2.19,away_adj_off_epa_pp: -1.90,home_adj_off_epa_pp: -1.51,1
2022,10,401416633,2022-11-01 19:30:00-04:00,Ohio,Buffalo,False,consensus,2.5,61.0,-2.652944070654369,57.90790649362733,0.1529440706543692,3.09209350637267,none,none,7.0,7.0,home_adj_def_epa_pp: -2.80,away_adj_def_epa_pp: -2.15,home_adj_def_sr: -2.14,home_adj_off_expl_rate_overall_10: +1.02,home_adj_def_ypp: +0.88,home_adj_off_epa_pp: +0.79,1
2022,10,401416635,2022-11-02 19:00:00-04:00,Bowling Green,Western Michigan,False,consensus,-5.0,48.0,9.651374318158686,57.83787000724952,4.651374318158686,9.83787000724952,none,over,7.0,7.0,away_adj_def_sr: +3.18,away_adj_def_epa_pp: +2.96,away_off_eckel_rate: +2.51,home_adj_off_epa_pp: -2.08,away_adj_def_sr: +1.98,away_adj_off_epa_pp: -1.94,1
2022,10,401416634,2022-11-02 19:00:00-04:00,Northern Illinois,Central Michigan,False,consensus,-4.5,53.5,6.9389252641824255,53.33383949163482,2.4389252641824255,0.1661605083651807,none,none,7.0,7.0,home_havoc_rate: +2.92,away_adj_off_epa_pp: +2.14,home_adj_def_epa_pp: -1.55,away_adj_off_epa_pp: -2.15,home_off_finish_pts_per_opp: -0.79,home_adj_def_ypp: +0.46,1
2022,10,401426601,2022-11-03 19:00:00-04:00,Rice,UTEP,False,consensus,-3.5,47.0,0.8647254988762576,51.80170099425104,2.6352745011237424,4.801700994251043,none,none,7.0,9.0,home_adj_off_epa_pp: -3.84,away_adj_off_epa_pp: +2.43,home_havoc_rate: -2.02,home_adj_off_epa_pp: -4.48,away_adj_off_epa_pp: -2.45,home_adj_def_ypp: +0.91,1
2022,10,401426364,2022-11-03 19:30:00-04:00,Coastal Carolina,App State,False,consensus,3.0,65.5,4.027352434203108,64.0784476896167,7.027352434203108,1.421552310383305,home,none,7.0,6.0,home_adj_def_epa_pp: -3.10,home_adj_off_epa_pp: +2.88,home_havoc_rate: +1.86,home_adj_off_epa_pp: +3.36,home_off_finish_pts_per_opp: +0.82,home_adj_def_epa_pp: +0.63,1
2022,10,401404155,2022-11-04 19:00:00-04:00,UConn,Massachusetts,False,consensus,-15.0,40.0,10.168030211044313,50.781032743301424,4.831969788955687,10.781032743301424,none,over,8.0,7.0,away_off_eckel_rate: +4.27,away_adj_off_epa_pp: +2.62,home_off_eckel_rate: -2.58,away_adj_off_epa_pp: -2.64,away_off_eckel_rate: -2.09,away_adj_def_sr: +1.20,1
2022,10,401411151,2022-11-04 19:00:00-04:00,Boston College,Duke,False,consensus,11.5,47.5,-9.600414425089227,57.83808926113362,1.8995855749107733,10.338089261133618,none,over,7.0,7.0,home_havoc_rate: -4.37,home_off_eckel_rate: -2.50,away_off_eckel_rate: -1.98,home_adj_off_epa_pp: -1.78,home_off_finish_pts_per_opp: +1.33,away_off_eckel_rate: +0.97,1
2022,10,401404031,2022-11-04 22:30:00-04:00,Washington,Oregon State,False,consensus,-4.5,53.5,2.3839465072475283,62.1060605223112,2.1160534927524717,8.606060522311203,none,over,7.0,7.0,home_adj_def_epa_pp: -3.83,home_off_eckel_rate: +2.65,home_adj_off_epa_pp: +2.62,home_adj_off_epa_pp: +3.06,home_adj_off_expl_rate_overall_10: +1.38,home_adj_def_sr: +0.81,1
2022,10,401404141,2022-11-05 11:30:00-04:00,Army,Air Force,True,consensus,7.0,40.5,-5.597200572293293,56.35702016774917,1.4027994277067073,15.85702016774917,none,over,5.0,7.0,away_havoc_rate: -5.05,same_conference: +3.94,home_havoc_rate: +3.85,home_adj_off_expl_rate_overall_10: -2.04,home_off_finish_pts_per_opp: +1.15,home_adj_def_sr: +0.86,1
