category,value,n_games,mean_residual,rmse,hit_rate
Favorite,Home Favorite,500,1.4631793441702217,16.475252285320707,0.754
Favorite,Away Favorite,266,0.5527629915166761,16.803584584609045,0.6954887218045113
Spread Magnitude,<7,346,1.0002637021282563,15.893304085507475,0.7427745664739884
Spread Magnitude,7-14,187,0.904926266330055,17.81540738538613,0.7058823529411765
Spread Magnitude,14-21,109,0.7543929399330033,15.445785300613505,0.7431192660550459
Spread Magnitude,21+,124,2.2668011664173546,17.52191597364807,0.7419354838709677
Season Period,Early (1-5),254,0.6017261374074037,17.029896520722243,0.7559055118110236
Season Period,Mid (6-10),266,1.8390735138862704,15.333175530428896,0.7330827067669173
Season Period,Late (11-15),246,0.9617586757451949,17.416720338017136,0.7113821138211383
