Strategy,RMSE,Bias,Avg_Correction
Baseline (No Calib),18.365192936175315,-0.32812621679983406,0.0
Rolling 2 Weeks,18.497411048227985,-0.2719617948008959,1.389947389202644
Rolling 4 Weeks,18.442487301762405,-0.056577863066995145,1.1050680709563854
Rolling 8 Weeks,18.41409395536291,0.0780185839361791,1.0039046810636583
Season-to-Date,18.42322612829884,-0.02630787227852577,0.8242918809135842
