season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units,pick_win,total_pick_win
2019,14,401119310,2019-11-26 18:00:00-05:00,Akron,Ohio,False,consensus,27.5,53.0,-13.50966025512811,63.80296059392553,13.99033974487189,10.802960593925532,home,over,11.0,10.0,home_havoc_rate: -4.74,home_off_eckel_rate: -4.04,home_adj_off_epa_pp: -3.09,home_adj_off_epa_pp: -5.87,home_adj_off_expl_rate_overall_10: -1.30,away_adj_def_epa_pp: +1.28,1,0.0,1.0
2019,14,401119311,2019-11-26 19:00:00-05:00,Northern Illinois,Western Michigan,False,consensus,10.0,51.5,-4.561171486320666,64.0429846203591,5.438828513679334,12.542984620359109,home,over,10.0,10.0,home_off_eckel_rate: -2.79,home_adj_def_epa_pp: -1.72,home_adj_def_sr: -1.41,home_adj_off_epa_pp: -1.90,home_off_eckel_rate: -0.66,home_adj_def_epa_pp: +0.66,1,1.0,0.0
2019,14,401110863,2019-11-28 19:30:00-05:00,Mississippi State,Ole Miss,False,consensus,1.5,59.0,7.276295950896559,65.20423965592225,8.776295950896559,6.204239655922251,home,over,10.0,10.0,home_adj_off_epa_pp: +1.89,home_off_eckel_rate: +1.51,home_havoc_rate: +1.03,home_adj_off_epa_pp: +3.58,home_adj_off_expl_rate_overall_10: +0.97,home_adj_def_ypp: -0.55,1,1.0,0.0
2019,14,401112521,2019-11-29 12:00:00-05:00,Virginia,Virginia Tech,False,consensus,1.5,48.5,2.333659356528313,63.18733804680521,3.833659356528313,14.687338046805207,none,over,10.0,9.0,home_off_eckel_rate: +2.90,away_adj_def_epa_pp: -2.10,away_adj_def_sr: -1.65,home_adj_def_ypp: +1.09,away_adj_def_epa_pp: -0.90,away_adj_def_ypp: -0.84,1,,1.0
2019,14,401119312,2019-11-29 12:00:00-05:00,Buffalo,Bowling Green,False,consensus,-28.0,53.5,15.412708094462973,55.98305681966237,12.587291905537027,2.483056819662373,away,none,10.0,10.0,away_adj_off_epa_pp: +2.41,home_havoc_rate: +1.91,home_off_eckel_rate: +1.85,away_adj_off_epa_pp: -2.70,home_adj_def_ypp: -0.99,away_off_finish_pts_per_opp: -0.95,1,0.0,
2019,14,401119313,2019-11-29 12:00:00-05:00,Eastern Michigan,Kent State,False,consensus,-3.5,68.5,2.1924567180530823,69.24292135461442,1.3075432819469175,0.742921354614424,none,none,10.0,10.0,home_adj_def_epa_pp: -3.35,away_adj_def_epa_pp: +2.68,home_adj_def_sr: -2.62,home_adj_def_epa_pp: +1.29,away_adj_def_epa_pp: +1.15,home_adj_def_sr: +1.04,1,,
2019,14,401119314,2019-11-29 12:00:00-05:00,Ball State,Miami (OH),False,consensus,-3.0,55.5,8.908677650831592,63.054111335082425,5.908677650831592,7.554111335082425,home,over,10.0,10.0,home_adj_def_epa_pp: -2.24,away_off_eckel_rate: +1.78,home_havoc_rate: +1.46,home_adj_def_ypp: +1.52,away_adj_off_epa_pp: -1.30,away_off_eckel_rate: -1.16,1,1.0,1.0
2019,14,401119315,2019-11-29 12:00:00-05:00,Central Michigan,Toledo,False,consensus,-14.5,65.0,5.136806601908301,66.58491261777156,9.3631933980917,1.584912617771565,away,none,10.0,10.0,away_adj_def_epa_pp: +3.10,away_off_eckel_rate: -2.34,away_adj_def_sr: +1.11,away_off_eckel_rate: +1.53,away_adj_def_ypp: +1.51,away_adj_def_epa_pp: +1.33,1,0.0,
2019,14,401112138,2019-11-29 12:00:00-05:00,Texas,Texas Tech,False,consensus,-8.0,65.5,6.550440823293023,68.23425588537991,1.4495591767069769,2.734255885379909,none,none,11.0,10.0,home_adj_off_epa_pp: +1.46,away_off_eckel_rate: -1.05,home_havoc_rate: +0.79,home_adj_off_epa_pp: +2.76,away_adj_def_ypp: +0.86,home_stuff_rate: +0.82,1,,
2019,14,401112200,2019-11-29 14:30:00-05:00,Nebraska,Iowa,False,consensus,4.0,46.0,2.859915605842331,63.3978077805975,6.859915605842331,17.397807780597503,home,over,11.0,11.0,home_off_eckel_rate: +2.09,away_adj_def_epa_pp: -1.60,away_off_eckel_rate: -1.13,away_adj_def_ypp: -0.84,away_off_eckel_rate: +0.74,away_adj_def_epa_pp: -0.69,1,1.0,1.0
2019,14,401110864,2019-11-29 14:30:00-05:00,Arkansas,Missouri,False,consensus,15.0,53.0,-5.654139292715786,57.70603037917911,9.345860707284212,4.706030379179111,home,none,10.0,10.0,home_off_eckel_rate: -3.48,home_havoc_rate: -2.76,home_adj_def_epa_pp: -2.59,home_adj_off_epa_pp: -1.96,away_off_eckel_rate: -1.59,home_adj_def_ypp: +1.15,1,1.0,
2019,14,401117554,2019-11-29 15:30:00-05:00,Colorado State,Boise State,False,consensus,13.5,57.5,-3.1623608594479267,64.49815091106355,10.337639140552074,6.998150911063547,home,over,10.0,10.0,away_off_eckel_rate: -1.59,home_adj_def_epa_pp: -1.41,home_havoc_rate: -1.08,away_off_eckel_rate: +1.04,away_adj_def_ypp: -0.61,home_adj_def_epa_pp: +0.54,1,1.0,0.0
2019,14,401117913,2019-11-29 15:30:00-05:00,Memphis,Cincinnati,False,consensus,-13.5,59.5,5.739336057117916,66.46674626760912,7.760663942882084,6.966746267609125,away,over,10.0,11.0,home_adj_off_epa_pp: +1.98,away_adj_def_epa_pp: -1.32,away_havoc_rate: -1.06,home_adj_off_epa_pp: +3.76,home_adj_off_expl_rate_overall_10: +1.00,home_adj_def_ypp: +0.80,1,1.0,0.0
2019,14,401114232,2019-11-29 16:00:00-05:00,Washington,Washington State,False,consensus,-7.0,65.0,5.128903206201332,66.10903052173951,1.871096793798668,1.1090305217395129,none,none,10.0,10.0,away_off_eckel_rate: -2.49,away_adj_def_epa_pp: +2.26,home_adj_def_epa_pp: +2.12,away_off_eckel_rate: +1.63,away_adj_def_ypp: +1.36,away_adj_def_epa_pp: +0.97,1,,
2019,14,401112134,2019-11-29 16:15:00-05:00,TCU,West Virginia,False,consensus,-13.5,43.0,12.188058277675928,58.74006917411835,1.3119417223240737,15.740069174118346,none,over,10.0,10.0,away_havoc_rate: +2.82,home_off_eckel_rate: +2.34,home_adj_def_epa_pp: +2.15,away_adj_off_epa_pp: -0.93,home_adj_def_epa_pp: -0.83,away_off_finish_pts_per_opp: -0.81,1,,0.0
2019,14,401121979,2019-11-29 17:00:00-05:00,South Alabama,Arkansas State,False,consensus,10.5,53.0,0.8428970686545814,60.17555341865173,11.34289706865458,7.175553418651731,home,over,10.0,10.0,home_off_eckel_rate: -1.81,home_adj_off_epa_pp: -1.50,away_adj_def_epa_pp: +1.08,home_adj_off_epa_pp: -2.85,home_stuff_rate: -0.74,home_adj_def_ypp: +0.74,1,1.0,1.0
2019,14,401121978,2019-11-29 18:00:00-05:00,Troy,App State,False,consensus,11.0,64.0,2.9878296911361244,63.4450595146283,13.987829691136124,0.5549404853717022,home,none,10.0,10.0,away_adj_def_epa_pp: -1.79,away_adj_def_sr: -1.63,away_off_eckel_rate: +1.12,home_adj_off_epa_pp: +1.64,home_adj_off_expl_rate_overall_10: +0.78,away_adj_def_epa_pp: -0.77,1,0.0,
2019,14,401117912,2019-11-29 20:00:00-05:00,UCF,South Florida,False,consensus,-24.0,61.5,8.213970440806792,58.9698044933385,15.786029559193208,2.5301955066614994,away,none,10.0,10.0,away_adj_def_epa_pp: -2.14,home_adj_def_epa_pp: +1.31,home_off_eckel_rate: -1.31,home_adj_off_epa_pp: +2.35,away_adj_off_epa_pp: -1.08,away_adj_def_epa_pp: -0.92,1,0.0,
2019,14,401117915,2019-11-30 12:00:00-05:00,East Carolina,Tulsa,False,consensus,7.0,64.0,-4.0540485755142806,65.31031305609483,2.9459514244857194,1.3103130560948273,none,none,9.0,11.0,home_adj_def_epa_pp: -4.61,home_adj_def_sr: -2.41,home_off_eckel_rate: -1.38,home_adj_def_epa_pp: +1.77,home_adj_def_ypp: +1.25,home_adj_def_sr: +0.95,1,,
2019,14,401112156,2019-11-30 12:00:00-05:00,Illinois,Northwestern,False,consensus,-6.0,39.5,5.490577023368893,53.52229703297374,0.5094229766311074,14.02229703297374,none,over,11.0,11.0,away_off_eckel_rate: +3.07,home_off_eckel_rate: -3.06,home_adj_def_epa_pp: +2.97,away_off_eckel_rate: -2.00,away_adj_off_epa_pp: -1.56,home_adj_def_epa_pp: -1.14,1,,0.0
2019,14,401121980,2019-11-30 12:00:00-05:00,Coastal Carolina,Texas State,False,consensus,-7.0,52.0,4.91850972246988,61.50354016391319,2.0814902775301203,9.503540163913186,none,over,10.0,9.0,home_adj_def_sr: -2.84,away_havoc_rate: +2.55,home_adj_def_epa_pp: -2.47,home_adj_off_epa_pp: -2.34,away_adj_off_epa_pp: -1.27,home_adj_def_sr: +1.13,1,,0.0
2019,14,401112168,2019-11-30 12:00:00-05:00,Purdue,Indiana,False,consensus,7.0,56.5,-6.0351007896851625,63.08772904991128,0.9648992103148376,6.587729049911275,none,over,11.0,10.0,home_off_eckel_rate: -1.91,home_havoc_rate: -1.68,away_off_eckel_rate: -1.54,away_off_eckel_rate: +1.00,home_adj_off_epa_pp: +0.81,away_adj_def_ypp: -0.76,1,,1.0
2019,14,401110867,2019-11-30 12:00:00-05:00,Georgia Tech,Georgia,False,consensus,28.5,46.0,-8.336414870694068,60.15318040261293,20.16358512930593,14.153180402612932,home,over,10.0,10.0,away_adj_def_epa_pp: -3.95,same_conference: +3.91,home_off_eckel_rate: -3.73,away_adj_def_ypp: -2.06,away_adj_def_epa_pp: -1.70,home_stuff_rate: -0.95,1,0.0,1.0
2019,14,401110868,2019-11-30 12:00:00-05:00,Kentucky,Louisville,False,consensus,-3.5,51.5,13.6519370160456,62.364939833377846,10.1519370160456,10.864939833377846,home,over,10.0,10.0,same_conference: +3.91,away_adj_def_epa_pp: +1.70,away_havoc_rate: +1.68,away_adj_def_ypp: +1.15,away_adj_off_epa_pp: +1.14,home_adj_off_epa_pp: -1.08,1,1.0,1.0
2019,14,401114321,2019-11-30 12:00:00-05:00,Marshall,Florida International,False,consensus,-10.0,50.0,8.450698957335863,59.24896218751469,1.549301042664137,9.248962187514692,none,over,10.0,10.0,away_havoc_rate: +1.63,home_adj_def_epa_pp: +1.31,home_havoc_rate: +0.98,home_adj_off_epa_pp: -0.94,home_adj_def_ypp: -0.72,away_adj_off_epa_pp: -0.64,1,,1.0
2019,14,401112228,2019-11-30 12:00:00-05:00,Michigan,Ohio State,False,consensus,9.0,53.0,-4.709216158337187,64.14852353617535,4.290783841662813,11.148523536175349,none,over,11.0,11.0,away_off_eckel_rate: -5.04,away_adj_def_epa_pp: -4.12,home_adj_def_epa_pp: +4.05,away_off_eckel_rate: +3.29,away_adj_off_epa_pp: +3.04,home_adj_off_epa_pp: +2.13,1,,1.0
2019,14,401110870,2019-11-30 12:00:00-05:00,South Carolina,Clemson,False,consensus,27.5,50.5,-3.5619949813929117,59.890956780610125,23.93800501860709,9.390956780610123,home,over,10.0,10.0,away_adj_def_epa_pp: -4.80,same_conference: +3.91,away_off_eckel_rate: -2.46,away_adj_def_ypp: -2.13,away_adj_def_epa_pp: -2.06,away_adj_off_epa_pp: +1.97,1,0.0,0.0
2019,14,401112525,2019-11-30 12:30:00-05:00,Syracuse,Wake Forest,False,consensus,6.5,68.0,2.232327999052649,62.97608806184657,8.73232799905265,5.023911938153432,home,none,10.0,10.0,home_adj_def_epa_pp: -1.91,away_off_eckel_rate: +1.03,home_adj_def_sr: -0.96,home_adj_def_ypp: +1.07,home_adj_off_expl_rate_overall_10: -0.96,home_adj_off_epa_pp: -0.94,1,1.0,
2019,14,401117556,2019-11-30 14:00:00-05:00,Air Force,Wyoming,False,consensus,-13.0,41.5,7.426940118562395,56.44342474777335,5.573059881437605,14.94342474777335,away,over,10.0,10.0,home_havoc_rate: +3.84,away_havoc_rate: -1.22,home_adj_def_sr: +0.97,home_adj_def_ypp: -1.46,home_adj_off_epa_pp: +1.18,home_adj_off_expl_rate_overall_10: -1.01,1,0.0,0.0
2019,14,401114320,2019-11-30 14:00:00-05:00,Old Dominion,Charlotte,False,consensus,10.5,51.0,-5.168660959761378,62.4218474514732,5.331339040238622,11.421847451473198,home,over,10.0,10.0,home_havoc_rate: -3.60,away_adj_def_epa_pp: +2.54,home_off_eckel_rate: -2.49,home_adj_off_epa_pp: -4.36,away_adj_def_epa_pp: +1.09,away_off_eckel_rate: +0.93,1,0.0,1.0
2019,14,401114346,2019-11-30 14:00:00-05:00,Liberty,New Mexico State,False,consensus,-14.5,68.0,17.404900164318764,65.05787207550155,2.9049001643187644,2.9421279244984504,none,none,9.0,10.0,away_adj_def_epa_pp: +2.59,away_adj_off_epa_pp: +2.08,away_havoc_rate: +1.85,away_adj_off_epa_pp: -2.33,away_adj_def_ypp: +1.31,home_stuff_rate: +1.11,1,,
2019,14,401114324,2019-11-30 14:00:00-05:00,Western Kentucky,Middle Tennessee,False,consensus,-10.0,46.5,10.642484838756875,63.11893166299807,0.6424848387568751,16.618931662998065,none,over,10.0,10.0,away_adj_def_epa_pp: +2.37,away_adj_def_sr: +1.63,away_off_eckel_rate: +1.51,away_adj_def_epa_pp: +1.02,away_off_eckel_rate: -0.98,home_adj_off_expl_rate_overall_10: -0.57,1,,1.0
