season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units
2019,5,401117871,2019-09-26 20:00:00-04:00,Memphis,Navy,False,consensus,-10.5,54.0,5.595933215308448,63.697289768162904,4.904066784691552,9.697289768162904,none,none,2.0,1.0,home_off_eckel_rate: +6.77,away_havoc_rate: -3.36,away_adj_off_epa_pp: -2.71,away_adj_off_epa_pp: +3.04,away_adj_def_ypp: -1.89,home_off_eckel_rate: +1.61,1
2019,5,401112465,2019-09-27 19:00:00-04:00,Virginia Tech,Duke,False,consensus,-2.5,51.5,10.908851504260998,59.57898192989147,8.408851504260998,8.07898192989147,none,none,2.0,2.0,away_havoc_rate: -3.63,away_adj_def_epa_pp: +2.75,away_adj_def_sr: +2.54,away_adj_off_epa_pp: -2.32,away_off_eckel_rate: -1.57,away_adj_def_epa_pp: +1.18,1
2019,5,401112204,2019-09-27 20:00:00-04:00,Maryland,Penn State,False,consensus,6.5,61.0,0.7010718703290477,68.39686286865799,7.201071870329048,7.3968628686579905,none,none,2.0,2.0,away_adj_def_epa_pp: -5.11,home_adj_def_epa_pp: -3.73,home_off_eckel_rate: +3.55,home_adj_off_epa_pp: +5.63,away_adj_def_epa_pp: -2.19,home_adj_off_expl_rate_overall_10: +1.69,1
2019,5,401117512,2019-09-27 20:00:00-04:00,Air Force,San José State,False,consensus,-19.5,58.0,16.592151234937266,66.89018249835236,2.9078487650627345,8.89018249835236,none,none,2.0,2.0,home_havoc_rate: +4.67,away_adj_def_epa_pp: +3.90,away_off_eckel_rate: -3.79,away_off_eckel_rate: +2.47,home_adj_off_epa_pp: +2.30,away_adj_def_epa_pp: +1.67,1
2019,5,401114156,2019-09-27 22:30:00-04:00,California,Arizona State,False,consensus,-4.0,43.0,-2.202780024942345,56.150207375714686,6.202780024942345,13.150207375714686,none,none,3.0,3.0,away_adj_def_epa_pp: -5.25,away_adj_def_sr: -2.79,away_adj_def_expl_rate_overall_10: -1.19,away_adj_def_epa_pp: -2.25,away_adj_def_ypp: -2.04,away_adj_def_sr: -0.97,1
2019,5,401112247,2019-09-28 12:00:00-04:00,Wisconsin,Northwestern,False,consensus,-23.5,46.0,18.21989094332165,49.413512283263,5.280109056678349,3.413512283263003,none,none,3.0,3.0,home_adj_def_epa_pp: +7.04,home_adj_def_sr: +5.60,away_adj_def_epa_pp: -4.60,home_adj_def_ypp: -3.28,home_adj_def_epa_pp: -2.70,home_adj_off_epa_pp: +2.45,1
2019,5,401112100,2019-09-28 12:00:00-04:00,TCU,Kansas,False,consensus,-15.0,48.0,14.163319928357492,56.08463827990265,0.8366800716425082,8.084638279902649,none,none,2.0,3.0,home_adj_def_epa_pp: +7.94,home_adj_def_sr: +3.76,away_havoc_rate: -3.06,home_adj_def_epa_pp: -3.05,home_adj_def_ypp: -2.49,home_adj_off_epa_pp: -2.46,1
2019,5,401119270,2019-09-28 12:00:00-04:00,Miami (OH),Buffalo,False,consensus,2.5,47.0,0.679599833432964,69.43453311431976,3.179599833432964,22.434533114319763,none,none,3.0,3.0,away_adj_def_epa_pp: +6.58,home_off_eckel_rate: -5.55,away_off_eckel_rate: -2.99,away_adj_def_epa_pp: +2.82,away_off_eckel_rate: +1.95,away_adj_def_ypp: +1.41,1
2019,5,401119271,2019-09-28 12:00:00-04:00,Western Michigan,Central Michigan,False,consensus,-16.5,60.5,22.45902922806469,64.42528807475745,5.95902922806469,3.9252880747574466,none,none,3.0,3.0,away_off_eckel_rate: +6.35,home_adj_def_epa_pp: -5.01,away_adj_def_epa_pp: +4.60,away_off_eckel_rate: -4.14,home_adj_def_ypp: +2.93,away_adj_def_epa_pp: +1.97,1
2019,5,401112225,2019-09-28 12:00:00-04:00,Michigan,Rutgers,False,consensus,-27.5,48.5,15.780494158273523,60.18121876515801,11.719505841726477,11.681218765158007,none,none,3.0,3.0,home_off_eckel_rate: +6.00,away_off_eckel_rate: +3.63,away_adj_def_epa_pp: -1.92,away_off_eckel_rate: -2.36,home_off_eckel_rate: +1.43,away_adj_def_ypp: -0.97,1
2019,5,401110811,2019-09-28 12:00:00-04:00,Vanderbilt,Northern Illinois,False,consensus,-7.0,51.5,15.052520572960951,63.9124570871065,8.052520572960951,12.412457087106503,none,none,3.0,2.0,away_off_eckel_rate: +6.47,same_conference: +3.45,home_off_eckel_rate: -2.88,away_off_eckel_rate: -4.22,away_adj_def_ypp: +1.25,away_adj_off_epa_pp: +1.11,1
2019,5,401110807,2019-09-28 12:00:00-04:00,Arkansas,Texas A&M,True,consensus,23.0,60.0,-14.019530657378656,61.632025564173404,8.980469342621344,1.6320255641734036,none,none,3.0,3.0,away_adj_def_epa_pp: -2.52,home_havoc_rate: -2.44,home_adj_off_epa_pp: -2.25,home_adj_off_epa_pp: -4.27,away_adj_def_ypp: -2.19,away_adj_off_epa_pp: +2.03,1
2019,5,401117213,2019-09-28 12:00:00-04:00,Toledo,BYU,False,consensus,2.5,63.0,-1.8665990650256408,61.97524451431053,0.6334009349743592,1.024755485689468,none,none,2.0,4.0,same_conference: +3.45,home_off_eckel_rate: -3.39,away_adj_def_epa_pp: -2.47,home_adj_off_epa_pp: -2.05,away_off_eckel_rate: +1.60,home_stuff_rate: +1.48,1
2019,5,401112193,2019-09-28 12:00:00-04:00,Iowa,Middle Tennessee,False,consensus,-23.5,51.0,33.74577617070784,56.05218746470358,10.245776170707842,5.052187464703579,none,none,3.0,2.0,home_adj_def_epa_pp: +6.09,away_off_eckel_rate: +5.16,home_adj_def_sr: +3.55,home_adj_def_ypp: -4.98,away_off_eckel_rate: -3.37,home_adj_def_epa_pp: -2.34,1
