season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units
2019,9,401117889,2019-10-24 19:30:00-04:00,Houston,SMU,False,consensus,12.5,65.0,-8.098694748823743,67.70851733985143,4.401305251176257,2.7085173398514257,none,none,6.0,7.0,home_adj_def_epa_pp: -3.31,away_havoc_rate: -2.50,away_adj_off_epa_pp: -1.76,away_adj_off_epa_pp: +1.98,home_adj_def_ypp: +1.87,home_adj_def_epa_pp: +1.27,1
2019,9,401114188,2019-10-25 21:00:00-04:00,Colorado,USC,False,consensus,10.5,64.5,-2.8710104601349373,67.95493616340516,7.628989539865063,3.454936163405165,home,none,7.0,7.0,home_adj_def_epa_pp: -3.13,away_havoc_rate: -1.79,home_adj_def_sr: -1.75,home_adj_def_epa_pp: +1.20,home_adj_def_ypp: +1.11,away_adj_off_epa_pp: +1.10,1
2019,9,401112197,2019-10-26 12:00:00-04:00,Northwestern,Iowa,False,consensus,8.0,36.5,-0.625219070974036,53.934534881185925,7.374780929025964,17.434534881185925,home,over,6.0,7.0,home_adj_def_epa_pp: +4.56,home_adj_def_sr: +3.10,home_off_eckel_rate: -2.70,home_adj_off_epa_pp: -2.91,home_adj_def_epa_pp: -1.75,home_adj_def_ypp: -1.34,1
2019,9,401112110,2019-10-26 12:00:00-04:00,Kansas State,Oklahoma,False,consensus,23.5,59.0,-10.089918180512129,64.27488252245499,13.410081819487871,5.274882522454988,home,none,5.0,6.0,away_off_eckel_rate: -3.34,away_adj_off_epa_pp: -2.83,away_adj_off_expl_rate_overall_10: -2.42,away_adj_off_epa_pp: +3.17,away_off_eckel_rate: +2.18,away_adj_off_ypp: +1.69,1
2019,9,401114330,2019-10-26 12:00:00-04:00,Army,San José State,False,consensus,-9.5,54.5,12.694734003539178,66.41767704614664,3.1947340035391782,11.917677046146636,none,over,6.0,6.0,same_conference: +3.99,home_havoc_rate: +3.14,away_havoc_rate: +2.40,home_adj_off_expl_rate_overall_10: -1.14,away_adj_def_epa_pp: +0.99,home_adj_def_sr: +0.92,1
2019,9,401119288,2019-10-26 12:00:00-04:00,Western Michigan,Bowling Green,False,consensus,-27.0,65.5,12.831749121779009,62.39812284823408,14.168250878220991,3.101877151765919,away,none,7.0,6.0,away_adj_def_epa_pp: +5.29,away_adj_def_sr: +2.85,away_adj_off_epa_pp: +2.25,away_adj_off_epa_pp: -2.52,away_adj_def_epa_pp: +2.27,home_adj_off_epa_pp: -2.25,1
2019,9,401121957,2019-10-26 12:00:00-04:00,South Alabama,App State,False,consensus,27.5,50.5,-12.498919029477474,57.22954732679689,15.001080970522526,6.72954732679689,home,over,6.0,5.0,away_havoc_rate: -3.70,home_adj_off_epa_pp: -2.74,home_off_eckel_rate: -2.09,home_adj_off_epa_pp: -5.19,home_adj_off_expl_rate_overall_10: -1.70,away_off_finish_pts_per_opp: +0.87,1
2019,9,401112266,2019-10-26 12:00:00-04:00,Rutgers,Liberty,False,consensus,7.5,44.0,-5.313433029355131,57.99205572635125,2.1865669706448694,13.992055726351253,none,over,7.0,5.0,home_off_eckel_rate: -6.46,same_conference: +3.99,home_adj_off_epa_pp: -2.55,home_adj_off_epa_pp: -4.84,home_adj_off_expl_rate_overall_10: -1.59,home_off_eckel_rate: -1.54,1
2019,9,401112254,2019-10-26 12:00:00-04:00,Ohio State,Wisconsin,False,consensus,-14.5,48.0,7.027566821988974,63.90240891982319,7.472433178011026,15.902408919823188,away,over,7.0,7.0,away_adj_def_epa_pp: -5.31,away_havoc_rate: -5.11,home_off_eckel_rate: +4.09,home_adj_off_epa_pp: +7.15,away_adj_def_epa_pp: -2.28,away_adj_def_ypp: -2.28,1
2019,9,401110835,2019-10-26 12:00:00-04:00,Texas A&M,Mississippi State,False,consensus,-11.0,50.0,3.081437229843801,63.66609162750623,7.918562770156199,13.666091627506233,away,over,6.0,7.0,away_off_eckel_rate: -1.49,home_adj_def_epa_pp: +1.39,home_off_eckel_rate: +1.01,home_adj_off_expl_rate_overall_10: +1.35,home_adj_off_epa_pp: +1.30,home_adj_def_ypp: -1.13,1
2019,9,401112152,2019-10-26 12:00:00-04:00,Purdue,Illinois,False,consensus,-9.5,54.5,1.0422580396935244,59.98746258680835,8.457741960306475,5.487462586808348,away,none,7.0,7.0,home_off_eckel_rate: -4.25,home_havoc_rate: -3.83,away_off_eckel_rate: +2.91,away_off_eckel_rate: -1.90,home_off_eckel_rate: -1.01,away_adj_def_ypp: +0.85,1
