game_id,season,week,home_team,away_team,Spread Prediction,home_team_spread_line,edge_spread,Spread Bet,Total Prediction,total_line,edge_total,Total Bet,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401762468,2025,4,Charlotte,Rice,-6.802139601493385,2.0,-4.802139601493385,Away,37.866928075300805,42.0,-4.133071924699195,No Bet,401762468,17.0,28.0,Win,No Bet,-11.0,45.0
401756900,2025,4,Oklahoma State,Tulsa,-9.75624511732514,-10.0,-19.756245117325143,Away,46.50191516767897,55.0,-8.498084832321027,Under,401756900,12.0,19.0,Win,Win,-7.0,31.0
401752844,2025,4,Rutgers,Iowa,3.185346100836514,2.0,5.185346100836513,Home,41.91265726659734,46.5,-4.587342733402657,No Bet,401752844,28.0,38.0,Loss,No Bet,-10.0,66.0
401752708,2025,4,Memphis,Arkansas,3.95351326260377,7.0,10.95351326260377,Home,63.599539175895266,60.0,3.5995391758952664,No Bet,401752708,32.0,31.0,Win,No Bet,1.0,63.0
401752845,2025,4,Wisconsin,Maryland,-1.9277489785574256,-10.5,-12.427748978557425,Away,43.03010098382175,44.5,-1.4698990161782532,No Bet,401752845,10.0,27.0,Win,No Bet,-17.0,37.0
401754537,2025,4,Clemson,Syracuse,0.8453698088239663,-17.5,-16.654630191176032,Away,51.44393976121737,54.5,-3.056060238782628,No Bet,401754537,21.0,34.0,Win,No Bet,-13.0,55.0
401754636,2025,4,TCU,SMU,16.01426151505472,-6.5,9.51426151505472,Home,50.39762618959243,63.5,-13.10237381040757,Under,401754636,35.0,24.0,Win,Win,11.0,59.0
401754642,2025,4,Louisville,Bowling Green,7.090152463410318,-26.5,-19.40984753658968,Away,51.13412316509428,51.0,0.1341231650942802,No Bet,401754642,40.0,17.0,Win,No Bet,23.0,57.0
401756901,2025,4,Utah,Texas Tech,5.60803454563993,-3.5,2.1080345456399296,Home,59.28004288109101,58.0,1.2800428810910134,No Bet,401756901,10.0,34.0,Loss,No Bet,-24.0,44.0
401760376,2025,4,Miami (OH),UNLV,-5.419713012013432,1.5,-3.919713012013432,Away,52.489527411950746,49.0,3.4895274119507462,No Bet,401760376,38.0,41.0,Win,No Bet,-3.0,79.0
