game_id,Game,Spread Bet,home_team_spread_line,Spread Prediction,edge_spread,Spread Confidence,total_line,Total Prediction,edge_total,Total Bet,id_x,start_date,home_team,away_team,Date,Time,Home Team,Away Team,id_y,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401752726,Vanderbilt @ Alabama,Away,-13.5,7.08,20.58,High,57.5,59.22883126596546,0.0,No Bet,401752726,2025-10-04 15:30:00-04:00,Alabama,Vanderbilt,2025-10-04,15:30:00,Alabama,Vanderbilt,401752726,30.0,14.0,Loss,No Bet,16.0,44.0
401752727,Texas @ Florida,Home,4.5,2.36,2.14,High,42.5,33.956535467312634,0.0,No Bet,401752727,2025-10-04 15:30:00-04:00,Florida,Texas,2025-10-04,15:30:00,Florida,Texas,401752727,29.0,21.0,Win,No Bet,8.0,50.0
401752855,Penn State @ UCLA,Home,24.5,-15.87,40.37,High,48.0,62.18901216377115,14.189012163771151,Over,401752855,2025-10-04 15:30:00-04:00,UCLA,Penn State,2025-10-04,15:30:00,UCLA,Penn State,401752855,42.0,37.0,Win,Win,5.0,79.0
401752857,Washington @ Maryland,No Bet,5.5,4.7,0.0,,52.0,55.74780905454645,0.0,No Bet,401752857,2025-10-04 15:30:00-04:00,Maryland,Washington,2025-10-04,15:30:00,Maryland,Washington,401752857,20.0,24.0,No Bet,No Bet,-4.0,44.0
401752858,UL Monroe @ Northwestern,Away,-12.5,11.13,23.630000000000003,High,43.0,47.955000163868064,0.0,No Bet,401752858,2025-10-04 15:30:00-04:00,Northwestern,UL Monroe,2025-10-04,15:30:00,Northwestern,UL Monroe,401752858,42.0,7.0,Loss,No Bet,35.0,49.0
401752940,Oregon State @ App State,Away,-2.0,4.91,6.91,High,53.5,55.49788761264961,0.0,No Bet,401752940,2025-10-04 15:30:00-04:00,App State,Oregon State,2025-10-04,15:30:00,App State,Oregon State,401752940,27.0,23.0,Loss,No Bet,4.0,50.0
401754554,Virginia @ Louisville,Away,-6.5,2.4,8.9,High,60.0,54.54245096571513,0.0,No Bet,401754554,2025-10-04 15:30:00-04:00,Louisville,Virginia,2025-10-04,15:30:00,Louisville,Virginia,401754554,27.0,30.0,Win,No Bet,-3.0,57.0
401754555,Syracuse @ SMU,Away,-17.5,9.15,26.65,High,57.0,61.32011114328408,0.0,No Bet,401754555,2025-10-04 15:30:00-04:00,SMU,Syracuse,2025-10-04,15:30:00,SMU,Syracuse,401754555,31.0,18.0,Win,No Bet,13.0,49.0
401757165,Boise State @ Notre Dame,Away,-21.5,18.32,39.82,High,63.0,56.29394079673047,0.0,No Bet,401757165,2025-10-04 15:30:00-04:00,Notre Dame,Boise State,2025-10-04,15:30:00,Notre Dame,Boise State,401757165,28.0,7.0,Win,No Bet,21.0,35.0
401757171,Florida International @ UConn,Away,-7.0,16.64,23.64,High,52.0,54.401469013974435,0.0,No Bet,401757171,2025-10-04 15:30:00-04:00,UConn,Florida International,2025-10-04,15:30:00,UConn,Florida International,401757171,51.0,10.0,Loss,No Bet,41.0,61.0
