,rating,hdi_lower,hdi_upper
Air Force,0.07943912107342307,-8.682120765018004,9.453165523263081
Akron,0.07541724939226004,-8.628146489808087,9.480529642823553
Alabama,0.068874673284286,-8.54339179805559,9.313542983601739
Central Michigan,0.06521874701847766,-8.659183232444267,9.396675463885314
Auburn,0.059745787606246666,-8.715515899177895,9.568947282982725
Bowling Green,0.05805937050545965,-8.707319329418729,9.646645917003152
Buffalo,0.0573517574398971,-8.583955287904018,9.621209200641916
Cincinnati,0.05645817864689074,-9.09399879716289,9.347052002919979
Charlotte,0.05477644803749765,-8.932908692894188,9.459412715603971
App State,0.05168199347447854,-8.691275184172115,9.539363936427184
BYU,0.04919461758167972,-8.630341962082593,9.432122287964408
Boston College,0.048853938927272224,-8.86285113961565,9.441366629904548
California,0.04744340781075542,-8.789033985225098,9.502503827244404
Arkansas State,0.04357974209801814,-8.774383393299908,9.52945508610387
Arizona State,0.043563435614707796,-8.692339729928156,9.71246624435058
Arizona,0.042424286249147625,-8.654231438458169,9.467792228862036
Army,0.04226751097156454,-8.782398302611377,9.438449464459733
Boise State,0.04064475846934989,-8.603814570956853,9.492053794753772
Clemson,0.03935613274290694,-9.107661383361604,9.593384771007676
Baylor,0.03806706677432462,-8.774874293417687,9.498456041632828
Arkansas,0.03614700534088386,-8.862751889595557,9.804682491211953
Ball State,0.03348657776775505,-8.715811061949312,9.315462333845453
Coastal Carolina,0.0322802969203068,-9.110944709788113,9.557212043530312
Colorado,0.029935061153019294,-9.105450866508033,9.516836155493202
East Carolina,0.029838948569383107,-9.121944763907306,9.425584646199974
Duke,0.028149245776910213,-9.127090205336938,9.490431906742007
Colorado State,0.02768504121982596,-9.116293782983414,9.493257444791892
Eastern Michigan,0.027278696929372338,-8.984763495300555,9.522237663398887
Florida,0.020158106525685424,-8.87967150354515,9.459807690834856
Florida Atlantic,0.019706322237136305,-8.871639622241002,9.564143103208048
Florida International,0.0189513960560981,-8.993395399342642,9.666483409001941
Fresno State,0.012661106464918387,-9.34704361703996,9.686776001554835
Florida State,0.011175813104516397,-9.27096915035411,9.538469850823446
Louisiana Tech,0.005395126745226314,-9.520316099377117,9.98193821890095
Oregon,0.004290066634187181,-9.741763537734897,10.578610184468921
South Carolina,0.004269136784831377,-9.820844885932615,11.102426045238277
Ole Miss,0.0034426986557388353,-9.836585010038968,10.685026954081225
Louisville,0.002169578733719167,-9.414427492517213,10.023777134225723
Louisiana,0.0012893208662902178,-9.585046655043064,9.971509340472043
Hawai'i,0.0010180536718245553,-9.633045941427445,9.551665782446216
Old Dominion,0.00044086360981456484,-9.939376779133507,10.442973584534835
South Florida,0.0003417099046469252,-9.89564031512146,11.132643489076939
Georgia Tech,-0.0002638137090432,-9.419420804252804,9.662224309748835
Southern Miss,-0.0011129928790293046,-9.859047890102055,11.260634643789842
Oregon State,-0.0012402066444986838,-9.873847410274786,10.80518514701432
Houston,-0.0014177149027359386,-9.589512795593635,9.557785181641762
Georgia Southern,-0.0034187442730727645,-9.208325992471403,9.54071506916718
Georgia,-0.003683335543730718,-9.313492973629515,9.694032073554625
Rice,-0.004662616441611595,-9.747257049495325,10.778098743321019
Georgia State,-0.004888818203590461,-9.216505617550352,9.568783833231876
South Alabama,-0.005073518730745866,-9.837205372601886,11.13090394505782
Oklahoma State,-0.005177446649516606,-9.549344694282789,10.40993453865413
Illinois,-0.006093201770649952,-9.57431279855692,9.640760134089794
Purdue,-0.006328095778434401,-9.959759066342738,10.785769661865139
Penn State,-0.0065035343964400935,-9.599949443330729,10.974474507501883
Liberty,-0.006646577978968059,-9.74893252431707,9.883469285333652
Stanford,-0.006988110917423941,-10.167042173868156,11.104719816917841
Indiana,-0.007258823029333085,-9.55416522070763,9.74916119572899
Oklahoma,-0.007481072899166781,-9.539405568320618,10.421815700438467
Michigan State,-0.007544733972819991,-9.249767505101515,10.301477805366687
Pittsburgh,-0.00794862911985222,-9.773349525732156,10.76684214262112
Marshall,-0.008237849124090701,-9.526924605769803,9.880248932345628
Iowa State,-0.009010923125920296,-9.426324934862658,9.861194842961261
Middle Tennessee,-0.009368627954103424,-9.302687060268571,10.121852085442706
SMU,-0.009932815288551847,-9.742140070183313,10.923193135014062
Jacksonville State,-0.010322159036303888,-9.46594603279271,9.70685721360092
Michigan,-0.010515944897626748,-9.22514496874921,9.997417908938813
Kansas,-0.010850789273253572,-9.688917758760306,9.620002588458886
Sam Houston,-0.011242336559282844,-9.793796107788895,10.613869465324568
Minnesota,-0.011374794025012945,-9.371239394548093,10.14262199188508
Memphis,-0.012339437134143306,-9.381699571231971,10.004935214763336
Rutgers,-0.012409381056259683,-9.786453868309003,10.816044878454687
James Madison,-0.012606128262227427,-9.57904524628437,9.627183806783917
Missouri,-0.012777639577092914,-9.36745068161538,10.277214234729406
San Diego State,-0.01335354320809231,-9.900028505390754,10.64361577031482
Miami (OH),-0.013912387005010771,-9.43537720611344,10.122812137968465
Miami,-0.013985751456827646,-9.471705069861619,10.01047591719397
San José State,-0.0141444581075771,-9.811073734365168,10.823629674935622
Massachusetts,-0.015034570717232448,-9.248237665341522,10.029800070821905
Maryland,-0.015452131257968791,-9.613880127998016,9.993892867628476
Iowa,-0.01547929343230531,-9.468292867664575,9.896381781261102
Kansas State,-0.015770931788391875,-9.484292975109813,9.70361723749654
Mississippi State,-0.01755629630062646,-9.333657353163293,10.268920312329483
LSU,-0.01849870772707145,-9.593900088802446,9.812990659462251
NC State,-0.0193756951974145,-9.400329803202373,10.401868068682267
