game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401416648,11/22/2022,07:00 PM,Ball State @ Miami (OH),Miami (OH),Ball State,Away,-2.5,5.69,8.190000000000001,High,40.72,5.69,Under,45.0,40.72,4.280000000000001,401416648,18,17,Win,Win,1,35
401416649,11/22/2022,07:00 PM,Bowling Green @ Ohio,Ohio,Bowling Green,Away,-5.5,14.09,19.59,High,65.93,14.09,Over,52.5,65.93,13.430000000000009,401416649,38,14,Loss,Loss,24,52
401403956,11/24/2022,07:00 PM,Mississippi State @ Ole Miss,Ole Miss,Mississippi State,Away,-2.5,4.17,6.67,High,65.97,4.17,No Bet,63.0,65.97,0.0,401403956,22,24,Win,No Bet,-2,46
401415269,11/25/2022,12:00 PM,Utah State @ Boise State,Boise State,Utah State,Away,-16.5,19.19,35.69,High,51.62,19.19,No Bet,52.0,51.62,0.0,401415269,42,23,Loss,No Bet,19,65
401404119,11/25/2022,12:00 PM,Baylor @ Texas,Texas,Baylor,Away,-10.0,12.91,22.91,High,55.52,12.91,No Bet,56.0,55.52,0.0,401404119,38,27,Loss,No Bet,11,65
401415665,11/25/2022,12:00 PM,Tulane @ Cincinnati,Cincinnati,Tulane,No Bet,1.0,0.45,0.0,,46.8,0.45,No Bet,44.5,46.8,0.0,401415665,24,27,No Bet,No Bet,-3,51
401416650,11/25/2022,12:00 PM,Central Michigan @ Eastern Michigan,Eastern Michigan,Central Michigan,Away,-1.0,2.51,3.51,High,53.66,2.51,No Bet,53.0,53.66,0.0,401416650,38,19,Loss,No Bet,19,57
401416651,11/25/2022,12:00 PM,Toledo @ Western Michigan,Western Michigan,Toledo,Home,8.5,-6.36,14.86,High,52.09,-6.36,No Bet,50.0,52.09,0.0,401416651,20,14,Win,No Bet,6,34
401404045,11/25/2022,03:00 PM,Arizona State @ Arizona,Arizona,Arizona State,Away,-4.5,5.26,9.76,High,62.68,5.26,Under,66.5,62.68,3.82,401404045,38,35,Win,Loss,3,73
401403961,11/25/2022,03:30 PM,Arkansas @ Missouri,Missouri,Arkansas,No Bet,3.0,1.39,0.0,,54.77,1.39,No Bet,55.5,54.77,0.0,401403961,29,27,No Bet,No Bet,2,56
401411172,11/25/2022,03:30 PM,NC State @ North Carolina,North Carolina,NC State,Away,-6.5,5.2,11.7,High,57.01,5.2,No Bet,56.5,57.01,0.0,401411172,27,30,Win,No Bet,-3,57
401415268,11/25/2022,03:30 PM,New Mexico @ Colorado State,Colorado State,New Mexico,Away,-7.5,4.37,11.87,High,35.91,4.37,No Bet,36.0,35.91,0.0,401415268,17,0,Loss,No Bet,17,17
401405148,11/25/2022,04:00 PM,Nebraska @ Iowa,Iowa,Nebraska,Away,-10.5,16.15,26.65,High,37.49,16.15,No Bet,38.0,37.49,0.0,401405148,17,24,Win,No Bet,-7,41
401404046,11/25/2022,04:30 PM,UCLA @ California,California,UCLA,Home,11.5,-6.28,17.78,High,58.39,-6.28,Under,63.0,58.39,4.609999999999999,401404046,28,35,Win,Push,-7,63
401403958,11/25/2022,07:30 PM,Florida @ Florida State,Florida State,Florida,Away,-10.0,14.09,24.09,High,59.48,14.09,No Bet,58.0,59.48,0.0,401403958,45,38,Win,No Bet,7,83
401415270,11/25/2022,10:00 PM,Wyoming @ Fresno State,Fresno State,Wyoming,Away,-14.0,12.91,26.91,High,51.52,12.91,No Bet,50.5,51.52,0.0,401415270,30,0,Loss,No Bet,30,30
401403962,11/26/2022,12:00 PM,South Carolina @ Clemson,Clemson,South Carolina,Away,-14.0,12.99,26.99,High,59.49,12.99,Over,53.5,59.49,5.990000000000002,401403962,30,31,Win,Win,-1,61
401405152,11/26/2022,12:00 PM,Rutgers @ Maryland,Maryland,Rutgers,Away,-14.5,16.99,31.49,High,47.39,16.99,No Bet,48.5,47.39,0.0,401405152,37,0,Loss,No Bet,37,37
401426390,11/26/2022,12:00 PM,Georgia State @ Marshall,Marshall,Georgia State,Away,-6.5,12.53,19.03,High,44.5,12.53,No Bet,45.5,44.5,0.0,401426390,28,23,Win,No Bet,5,51
401403959,11/26/2022,12:00 PM,Georgia Tech @ Georgia,Georgia,Georgia Tech,Away,-36.5,36.95,73.45,High,41.06,36.95,Under,49.0,41.06,7.939999999999998,401403959,37,14,Win,Loss,23,51
401426615,11/26/2022,12:00 PM,Western Kentucky @ Florida Atlantic,Florida Atlantic,Western Kentucky,Home,7.5,-3.75,11.25,High,57.89,-3.75,Under,62.5,57.89,4.609999999999999,401426615,31,32,Win,Loss,-1,63
401404166,11/26/2022,12:00 PM,New Mexico State @ Liberty,Liberty,New Mexico State,Away,-24.0,22.95,46.95,High,49.63,22.95,No Bet,51.0,49.63,0.0,401404166,14,49,Win,No Bet,-35,63
401426383,11/26/2022,12:00 PM,Coastal Carolina @ James Madison,James Madison,Coastal Carolina,Away,-16.0,12.31,28.31,High,60.83,12.31,Over,53.0,60.83,7.829999999999998,401426383,47,7,Loss,Win,40,54
401426389,11/26/2022,12:00 PM,Old Dominion @ South Alabama,South Alabama,Old Dominion,Away,-16.5,18.22,34.72,High,45.04,18.22,No Bet,47.0,45.04,0.0,401426389,27,20,Win,No Bet,7,47
401405153,11/26/2022,12:00 PM,Michigan @ Ohio State,Ohio State,Michigan,Away,-9.0,10.31,19.31,High,63.81,10.31,Over,56.5,63.81,7.310000000000002,401405153,23,45,Win,Win,-22,68
401404123,11/26/2022,12:00 PM,West Virginia @ Oklahoma State,Oklahoma State,West Virginia,Away,-5.5,9.09,14.59,High,70.98,9.09,Over,59.5,70.98,11.480000000000004,401404123,19,24,Win,Loss,-5,43
401404144,11/26/2022,12:00 PM,Army @ Massachusetts,Massachusetts,Army,Home,20.0,-11.75,31.75,High,43.82,-11.75,No Bet,45.5,43.82,0.0,401404144,7,44,Loss,No Bet,-37,51
401415664,11/26/2022,01:00 PM,East Carolina @ Temple,Temple,East Carolina,Home,9.5,-6.86,16.36,High,46.27,-6.86,Under,52.0,46.27,5.729999999999997,401415664,46,49,Win,Loss,-3,95
401416653,11/26/2022,01:00 PM,Kent State @ Buffalo,Buffalo,Kent State,Away,-4.5,7.03,11.53,High,56.24,7.03,Over,51.0,56.24,5.240000000000002,401416653,27,30,Win,Win,-3,57
401416652,11/26/2022,01:30 PM,Akron @ Northern Illinois,Northern Illinois,Akron,Away,-9.5,14.67,24.17,High,58.84,14.67,Over,51.5,58.84,7.340000000000003,401416652,12,44,Win,Win,-32,56
401426617,11/26/2022,02:00 PM,Rice @ North Texas,North Texas,Rice,Away,-14.5,15.64,30.14,High,65.35,15.64,Over,57.5,65.35,7.849999999999994,401426617,21,17,Win,Loss,4,38
401403960,11/26/2022,03:00 PM,Louisville @ Kentucky,Kentucky,Louisville,No Bet,-3.5,-1.61,0.0,,35.53,-1.61,Under,42.5,35.53,6.969999999999999,401403960,26,13,No Bet,Win,13,39
401426618,11/26/2022,03:30 PM,UTEP @ UTSA,UTSA,UTEP,Away,-16.5,22.14,38.64,High,53.41,22.14,Under,56.5,53.41,3.0900000000000034,401426618,34,31,Win,Loss,3,65
401415271,11/26/2022,03:30 PM,Hawai'i @ San José State,San José State,Hawai'i,Away,-15.5,21.78,37.28,High,55.93,21.78,No Bet,58.0,55.93,0.0,401415271,27,14,Win,No Bet,13,41
401405149,11/26/2022,03:30 PM,Illinois @ Northwestern,Northwestern,Illinois,Home,15.0,-10.83,25.83,High,36.47,-10.83,No Bet,38.0,36.47,0.0,401405149,3,41,Loss,No Bet,-38,44
401426616,11/26/2022,03:30 PM,UAB @ Louisiana Tech,Louisiana Tech,UAB,Home,18.5,-10.2,28.7,High,58.97,-10.2,Over,55.0,58.97,3.969999999999999,401426616,27,37,Win,Win,-10,64
401405151,11/26/2022,03:30 PM,Purdue @ Indiana,Indiana,Purdue,Home,10.0,-4.96,14.96,High,61.99,-4.96,Over,53.0,61.99,8.990000000000002,401405151,16,30,Loss,Loss,-14,46
401403957,11/26/2022,03:30 PM,Auburn @ Alabama,Alabama,Auburn,Away,-21.5,26.07,47.57,High,52.69,26.07,No Bet,51.0,52.69,0.0,401403957,49,27,Loss,No Bet,22,76
401405150,11/26/2022,03:30 PM,Minnesota @ Wisconsin,Wisconsin,Minnesota,Away,-3.0,1.82,4.82,High,42.93,1.82,Over,37.0,42.93,5.93,401405150,16,23,Win,Win,-7,39
401404047,11/26/2022,03:30 PM,Oregon @ Oregon State,Oregon State,Oregon,Away,-1.5,2.39,3.89,High,60.03,2.39,Over,56.5,60.03,3.530000000000001,401404047,38,34,Loss,Win,4,72
401411174,11/26/2022,03:30 PM,Wake Forest @ Duke,Duke,Wake Forest,No Bet,3.0,2.06,0.0,,67.49,2.06,No Bet,67.5,67.49,0.0,401411174,34,31,No Bet,No Bet,3,65
401426384,11/26/2022,03:30 PM,Troy @ Arkansas State,Arkansas State,Troy,Home,13.5,-5.0,18.5,High,41.69,-5.0,No Bet,43.5,41.69,0.0,401426384,19,48,Loss,No Bet,-29,67
401415666,11/26/2022,03:30 PM,Memphis @ SMU,SMU,Memphis,Away,-4.5,2.66,7.16,High,74.75,2.66,Over,69.0,74.75,5.75,401415666,34,31,Win,Loss,3,65
401405154,11/26/2022,04:00 PM,Michigan State @ Penn State,Penn State,Michigan State,Away,-19.5,21.31,40.81,High,53.77,21.31,No Bet,54.5,53.77,0.0,401405154,35,16,Win,No Bet,19,51
401404120,11/26/2022,04:00 PM,Iowa State @ TCU,TCU,Iowa State,Away,-9.5,12.37,21.869999999999997,High,43.04,12.37,No Bet,46.0,43.04,0.0,401404120,62,14,Loss,No Bet,48,76
401404048,11/26/2022,04:00 PM,Utah @ Colorado,Colorado,Utah,Home,30.0,-30.1,60.1,High,54.41,-30.1,No Bet,52.0,54.41,0.0,401404048,21,63,Loss,No Bet,-42,84
401426386,11/26/2022,05:00 PM,Louisiana @ Texas State,Texas State,Louisiana,Home,5.0,-1.04,6.04,High,44.32,-1.04,No Bet,44.0,44.32,0.0,401426386,13,41,Loss,No Bet,-28,54
401426385,11/26/2022,05:00 PM,Southern Miss @ UL Monroe,UL Monroe,Southern Miss,Home,3.0,-2.31,5.3100000000000005,High,56.31,-2.31,Over,50.0,56.31,6.310000000000002,401426385,10,20,Loss,Loss,-10,30
401426614,11/26/2022,06:00 PM,Middle Tennessee @ Florida International,Florida International,Middle Tennessee,Home,19.5,-14.88,34.38,High,57.55,-14.88,Over,54.5,57.55,3.049999999999997,401426614,28,33,Win,Win,-5,61
401426382,11/26/2022,06:00 PM,App State @ Georgia Southern,Georgia Southern,App State,Home,6.5,-1.07,7.57,High,69.83,-1.07,Over,66.0,69.83,3.8299999999999983,401426382,51,48,Win,Win,3,99
401415272,11/26/2022,06:00 PM,Nevada @ UNLV,UNLV,Nevada,Away,-12.5,12.94,25.44,High,56.33,12.94,Over,49.0,56.33,7.329999999999998,401415272,27,22,Win,Push,5,49
401415667,11/26/2022,07:00 PM,UCF @ South Florida,South Florida,UCF,Home,20.0,-17.14,37.14,High,65.26,-17.14,No Bet,67.0,65.26,0.0,401415667,39,46,Win,No Bet,-7,85
401403963,11/26/2022,07:00 PM,LSU @ Texas A&M,Texas A&M,LSU,Home,10.0,-8.7,18.7,High,38.21,-8.7,Under,47.5,38.21,9.29,401403963,38,23,Win,Loss,15,61
401404122,11/26/2022,07:30 PM,Oklahoma @ Texas Tech,Texas Tech,Oklahoma,Away,1.5,5.36,3.86,High,61.28,5.36,Under,65.5,61.28,4.219999999999999,401404122,51,48,Loss,Loss,3,99
401415668,11/26/2022,07:30 PM,Tulsa @ Houston,Houston,Tulsa,Away,-13.0,14.01,27.01,High,70.55,14.01,Over,67.0,70.55,3.549999999999997,401415668,30,37,Win,Push,-7,67
401411173,11/26/2022,07:30 PM,Syracuse @ Boston College,Boston College,Syracuse,Home,10.0,-10.25,20.25,High,46.19,-10.25,No Bet,47.0,46.19,0.0,401411173,23,32,Win,No Bet,-9,55
401403964,11/26/2022,07:30 PM,Tennessee @ Vanderbilt,Vanderbilt,Tennessee,Home,14.0,-18.16,32.16,High,76.32,-18.16,Over,64.0,76.32,12.319999999999991,401403964,0,56,Loss,Loss,-56,56
401404133,11/26/2022,07:30 PM,Notre Dame @ USC,USC,Notre Dame,Away,-4.0,7.44,11.44,High,65.57,7.44,No Bet,63.0,65.57,0.0,401404133,38,27,Loss,No Bet,11,65
401404121,11/26/2022,08:00 PM,Kansas @ Kansas State,Kansas State,Kansas,Away,-12.5,15.08,27.58,High,59.29,15.08,Under,63.0,59.29,3.710000000000001,401404121,47,27,Loss,Loss,20,74
401411175,11/26/2022,08:00 PM,Pittsburgh @ Miami,Miami,Pittsburgh,Home,4.0,-2.23,6.23,High,50.7,-2.23,Over,44.0,50.7,6.700000000000003,401411175,16,42,Loss,Win,-26,58
401415267,11/26/2022,09:00 PM,Air Force @ San Diego State,San Diego State,Air Force,Home,2.0,-2.44,4.4399999999999995,High,36.24,-2.44,Under,43.5,36.24,7.259999999999998,401415267,3,13,Loss,Win,-10,16
401404051,11/26/2022,10:30 PM,Washington @ Washington State,Washington State,Washington,No Bet,2.5,2.38,0.0,,56.02,2.38,Under,60.0,56.02,3.979999999999997,401404051,33,51,No Bet,Loss,-18,84
401404049,11/26/2022,11:00 PM,BYU @ Stanford,Stanford,BYU,Home,6.5,-1.25,7.75,High,55.98,-1.25,No Bet,58.0,55.98,0.0,401404049,26,35,Loss,No Bet,-9,61
