depth,home_rmse,home_mae,away_rmse,away_mae,spread_rmse,spread_mae,spread_bias,total_rmse,total_mae,total_bias,n_train,n_test,n_features
0,13.854547557129957,11.028725444248353,12.283353786734624,9.795834386196763,19.507700282847793,15.118858427421978,-0.9168045749826444,17.467345711364025,13.785930312313937,0.6534135857857996,2839,732,80
1,13.357659249564929,10.787018362433685,11.714454743215711,9.209906492711664,18.109938779204853,14.007569649652327,-0.4974674419336396,17.41669137724285,13.808190571556262,0.3348414630019123,2839,732,96
2,13.234167750274533,10.595896387787576,11.969944163451249,9.446285596780621,18.35608241097595,14.143673948700096,-0.4121553669713791,17.317614072341303,13.72285737037702,0.6072883866548499,2839,732,96
3,13.33129654669285,10.703051114133162,11.838835053654403,9.363507622854138,18.133032221751222,13.988010303034601,-0.6133108300634807,17.520162913966697,13.798873963518169,0.4081181354534263,2839,732,96
4,13.182161119949685,10.646085594594409,11.698934743743939,9.227132164797482,17.92077390589378,13.970992148474634,-1.6517768128357857,17.323820435320293,13.747175688289582,0.7966535038710227,2841,737,116
