depth,home_rmse,home_mae,away_rmse,away_mae,spread_rmse,spread_mae,spread_bias,total_rmse,total_mae,total_bias,n_train,n_test
0,0.2847230164071405,0.18033440991908561,0.5648055539043256,0.18923630876654698,0.6369652098755832,0.28925408058911595,0.05231504768064017,0.6280289332462794,0.28364448498940964,-0.03399950074787249,2688,670
1,0.25205915683617114,0.15599034798897365,0.573095921967974,0.20830213192270164,0.6194223659462124,0.2851519711908989,0.03598654095489572,0.6326621856948336,0.2829329506640761,-0.0025921015755570207,2688,670
2,0.2605588619974265,0.15264636608621018,0.5349938133061805,0.19974658150601454,0.5848838772034278,0.26818034101336996,0.041471746707520005,0.6050863177019044,0.2783391354802099,-0.013706579242961994,2688,670
3,0.25608526316155394,0.15415338062708647,0.5851607464023434,0.21260049344716664,0.6279660843944291,0.28612549226205103,0.0363136663762766,0.6493412963362707,0.28936629540569453,-0.005853004128660952,2688,670
4,0.2908339350409547,0.1799895038904721,0.5648714349664427,0.19585613440210806,0.6355466551773613,0.2868288149364841,0.022060158557717768,0.6351446140193406,0.27901125627969975,-0.038138514655457784,2711,700
