game_id,season,week,home_team,away_team,Date,Time,Spread Prediction,home_team_spread_line,edge_spread,Spread Bet,Total Prediction,total_line,edge_total,Total Bet,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401644769,2024,13,Kent State,Akron,11/19/2024,07:00 PM,-11.60210413914195,10.5,-1.1021041391419502,Away,52.144838813894246,49.0,3.1448388138942462,Over,401644769,17.0,38.0,Win,Win,-21.0,55.0
401644770,2024,13,Central Michigan,Western Michigan,11/19/2024,07:30 PM,-5.7869002850407405,6.0,0.2130997149592595,Home,58.27511324447909,56.0,2.275113244479087,Over,401644770,16.0,14.0,Win,Loss,2.0,30.0
401644690,2024,13,Miami (OH),Northern Illinois,11/19/2024,08:00 PM,4.004066368354761,-1.5,2.504066368354761,Home,50.156212640405656,43.0,7.156212640405656,Over,401644690,20.0,9.0,Win,Loss,11.0,29.0
401644772,2024,13,Eastern Michigan,Buffalo,11/20/2024,07:00 PM,3.1044341953193872,-1.0,2.1044341953193872,Home,52.88444278282694,51.0,1.8844427828269377,Over,401644772,20.0,37.0,Loss,Win,-17.0,57.0
401644773,2024,13,Toledo,Ohio,11/20/2024,07:00 PM,0.547153581364527,-1.5,-0.952846418635473,Away,53.7810939935362,45.0,8.781093993536203,Over,401644773,7.0,24.0,Win,Loss,-17.0,31.0
401634772,2024,13,Georgia Tech,NC State,11/21/2024,07:30 PM,8.681339204748857,-8.5,0.1813392047488573,Home,61.57778230757633,51.0,10.577782307576328,Over,401634772,30.0,29.0,Loss,Win,1.0,59.0
401645374,2024,13,UTSA,Temple,11/22/2024,07:00 PM,10.427495217339764,-16.5,-6.072504782660236,Away,47.91400161230379,56.0,-8.085998387696208,Under,401645374,51.0,27.0,Loss,Loss,24.0,78.0
401628558,2024,13,Michigan State,Purdue,11/22/2024,08:00 PM,19.27967303174173,-14.0,5.27967303174173,Home,59.320318452747735,48.0,11.320318452747737,Over,401628558,24.0,17.0,Loss,Loss,7.0,41.0
401643767,2024,13,San José State,UNLV,11/22/2024,10:00 PM,-9.82067856588666,7.5,-2.320678565886661,Away,60.37795874157285,60.0,0.3779587415728471,Over,401643767,16.0,27.0,Win,Loss,-11.0,43.0
401628555,2024,13,Ohio State,Indiana,11/23/2024,12:00 PM,4.32666198064514,-10.5,-6.17333801935486,Away,66.64730540142546,52.5,14.147305401425456,Over,401628555,38.0,15.0,Loss,Win,23.0,53.0
401628554,2024,13,Rutgers,Illinois,11/23/2024,12:00 PM,1.2861976035333886,-2.0,-0.7138023964666114,Away,62.28923409867429,48.0,14.289234098674292,Over,401628554,31.0,38.0,Win,Win,-7.0,69.0
401628429,2024,13,Florida,Ole Miss,11/23/2024,12:00 PM,-10.92736076427462,12.5,1.5726392357253791,Home,59.934660515474626,55.5,4.434660515474626,Over,401628429,24.0,17.0,Win,Loss,7.0,41.0
401628556,2024,13,Maryland,Iowa,11/23/2024,12:00 PM,-10.243306961204302,4.0,-6.243306961204302,Away,50.97632643903331,42.0,8.976326439033308,Over,401628556,13.0,29.0,Win,Push,-16.0,42.0
401635518,2024,13,Syracuse,UConn,11/23/2024,12:00 PM,3.4231025685059295,-10.0,-6.5768974314940705,Away,60.0045232518006,54.5,5.504523251800599,Over,401635518,31.0,24.0,Win,Win,7.0,55.0
401641005,2024,13,Jacksonville State,Sam Houston,11/23/2024,12:00 PM,5.121131534598099,-5.0,0.1211315345980992,Home,47.45798961104351,57.0,-9.542010388956491,Under,401641005,21.0,11.0,Win,Win,10.0,32.0
401635612,2024,13,Boston College,North Carolina,11/23/2024,12:00 PM,0.1371336505133298,3.0,3.13713365051333,Home,58.47856751906394,51.0,7.478567519063937,Over,401635612,41.0,21.0,Win,Win,20.0,62.0
401635618,2024,13,Miami,Wake Forest,11/23/2024,12:00 PM,23.28264757051247,-23.5,-0.2173524294875299,Away,68.25534057381033,67.5,0.7553405738103294,Over,401635618,42.0,14.0,Loss,Loss,28.0,56.0
401635619,2024,13,Virginia,SMU,11/23/2024,12:00 PM,-8.045558220004699,10.5,2.4544417799953013,Home,52.30899470464844,54.5,-2.191005295351559,Under,401635619,7.0,33.0,Loss,Win,-26.0,40.0
401628430,2024,13,Georgia,Massachusetts,11/23/2024,12:45 PM,20.935150926070207,-42.0,-21.064849073929793,Away,57.61962392689524,55.5,2.119623926895237,Over,401628430,59.0,21.0,Win,Win,38.0,80.0
401628435,2024,13,Tennessee,UTEP,11/23/2024,01:00 PM,20.158551796946032,-41.5,-21.341448203053968,Away,51.28679539008455,53.0,-1.7132046099154508,Under,401628435,56.0,0.0,Loss,Loss,56.0,56.0
401640996,2024,13,Liberty,Western Kentucky,11/23/2024,01:00 PM,0.9681285305270512,-1.0,-0.0318714694729487,Away,67.3954213710294,55.5,11.8954213710294,Over,401640996,38.0,21.0,Loss,Win,17.0,59.0
401645373,2024,13,UAB,Rice,11/23/2024,02:00 PM,-2.4354930112536293,7.0,4.564506988746371,Home,54.56812441643337,52.0,2.5681244164333705,Over,401645373,40.0,14.0,Win,Win,26.0,54.0
401644774,2024,13,Ball State,Bowling Green,11/23/2024,02:00 PM,-12.655550167392152,12.5,-0.1555501673921533,Away,59.68721809187543,54.5,5.18721809187543,Over,401644774,13.0,38.0,Win,Loss,-25.0,51.0
401641027,2024,13,Middle Tennessee,New Mexico State,11/23/2024,02:30 PM,2.07036755951013,-3.0,-0.92963244048987,Away,48.4453597053755,53.0,-4.554640294624498,Under,401641027,21.0,36.0,Win,Loss,-15.0,57.0
401643836,2024,13,App State,James Madison,11/23/2024,02:30 PM,-12.43107103835122,7.0,-5.43107103835122,Away,59.009659281484886,57.5,1.5096592814848862,Over,401643836,34.0,20.0,Loss,Loss,14.0,54.0
401636935,2024,13,TCU,Arizona,11/23/2024,03:00 PM,11.230256802052615,-11.0,0.2302568020526152,Home,61.11349195777487,60.0,1.113491957774869,Over,401636935,49.0,28.0,Win,Win,21.0,77.0
401643841,2024,13,Southern Miss,South Alabama,11/23/2024,03:00 PM,-14.360131624628911,24.0,9.639868375371089,Home,62.167891012863144,54.0,8.167891012863144,Over,401643841,14.0,35.0,Win,Loss,-21.0,49.0
401643839,2024,13,Arkansas State,UL Monroe,11/23/2024,03:00 PM,1.621481292123787,-3.0,-1.378518707876213,Away,59.54384977326664,51.5,8.043849773266643,Over,401643839,28.0,21.0,Loss,Loss,7.0,49.0
401640987,2024,13,Kennesaw State,Florida International,11/23/2024,03:00 PM,-9.706963629032854,9.0,-0.7069636290328543,Away,48.40579142156514,42.0,6.405791421565141,Over,401640987,27.0,26.0,Loss,Win,1.0,53.0
401645371,2024,13,Florida Atlantic,Charlotte,11/23/2024,03:00 PM,-4.766574440568467,3.0,-1.7665744405684674,Away,54.685760405827146,49.5,5.185760405827146,Over,401645371,27.0,39.0,Win,Win,-12.0,66.0
401636930,2024,13,Arizona State,BYU,11/23/2024,03:30 PM,-0.8341391979898489,-3.5,-4.334139197989849,Away,64.59578698782194,48.5,16.09578698782194,Over,401636930,28.0,23.0,Loss,Win,5.0,51.0
401645372,2024,13,North Texas,East Carolina,11/23/2024,03:30 PM,-1.388233679856384,-2.5,-3.888233679856384,Away,64.49033571918677,73.5,-9.009664280813226,Under,401645372,28.0,40.0,Win,Win,-12.0,68.0
401628560,2024,13,Nebraska,Wisconsin,11/23/2024,03:30 PM,-0.0965691157465613,-1.0,-1.0965691157465614,Away,58.30345912663119,40.5,17.80345912663119,Over,401628560,44.0,25.0,Loss,Win,19.0,69.0
401628559,2024,13,Minnesota,Penn State,11/23/2024,03:30 PM,-8.428023232102515,11.0,2.5719767678974854,Home,53.00867156330439,45.0,8.00867156330439,Over,401628559,25.0,26.0,Win,Win,-1.0,51.0
401628557,2024,13,Michigan,Northwestern,11/23/2024,03:30 PM,5.296996385650083,-10.5,-5.203003614349917,Away,46.709076325356634,35.0,11.709076325356634,Over,401628557,50.0,6.0,Loss,Win,44.0,56.0
401645375,2024,13,South Florida,Tulsa,11/23/2024,03:30 PM,14.941934166380594,-17.0,-2.0580658336194055,Away,46.468095542078906,60.0,-13.531904457921094,Under,401645375,63.0,30.0,Loss,Loss,33.0,93.0
401628436,2024,13,Texas,Kentucky,11/23/2024,03:30 PM,18.969438434761948,-19.0,-0.0305615652380524,Away,55.423990600808466,47.0,8.423990600808466,Over,401628436,31.0,14.0,Win,Loss,17.0,45.0
401643837,2024,13,Coastal Carolina,Georgia Southern,11/23/2024,03:30 PM,3.3953559881821676,-2.0,1.3953559881821676,Home,53.15562257378565,59.0,-5.844377426214351,Under,401643837,6.0,26.0,Loss,Win,-20.0,32.0
401635613,2024,13,California,Stanford,11/23/2024,03:30 PM,16.20382769186121,-14.5,1.7038276918612103,Home,54.129401158625114,53.5,0.6294011586251145,Over,401635613,24.0,21.0,Loss,Loss,3.0,45.0
401636934,2024,13,Oklahoma State,Texas Tech,11/23/2024,03:30 PM,-4.085197146836473,5.0,0.9148028531635272,Home,69.68967987112919,64.5,5.1896798711291865,Over,401636934,48.0,56.0,Loss,Win,-8.0,104.0
401636932,2024,13,Kansas,Colorado,11/23/2024,03:30 PM,-4.452315060783456,2.5,-1.952315060783456,Away,67.8765866958312,59.0,8.876586695831193,Over,401636932,37.0,21.0,Loss,Loss,16.0,58.0
401636937,2024,13,West Virginia,UCF,11/23/2024,03:30 PM,-5.5632861924044175,3.0,-2.5632861924044175,Away,57.97472726744573,60.5,-2.5252727325542708,Under,401636937,31.0,21.0,Loss,Win,10.0,52.0
401643766,2024,13,Utah State,San Diego State,11/23/2024,03:30 PM,5.780238150233411,-5.0,0.7802381502334113,Home,67.29997954361419,60.0,7.299979543614185,Over,401643766,41.0,20.0,Win,Win,21.0,61.0
401628427,2024,13,Arkansas,Louisiana Tech,11/23/2024,04:00 PM,14.998036119677977,-23.5,-8.501963880322023,Away,49.82481340637759,48.5,1.3248134063775865,Over,401628427,35.0,14.0,Win,Win,21.0,49.0
