game_id,Year,Week,Date,Time,Game,home_team,away_team,Spread,home_team_spread_line,Over/Under,total_line,home_moneyline,away_moneyline,Spread Prediction,Total Prediction,predicted_spread_std_dev,predicted_total_std_dev,edge_spread,edge_total,Spread Bet,bet_units_spread,spread_bet_reason,Total Bet,bet_units_total,total_bet_reason,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401673466,2024,15,2024-12-06,19:00:00,Western Kentucky @ Jacksonville State,Jacksonville State,Western Kentucky,Jacksonville State -4.5,-4.5,58.5,58.5,-185.0,154.0,6.349714393748177,54.47937770822738,1.3689849203315825,0.7038122807936276,1.8497143937481768,4.020622291772618,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673466,52.0,12.0,No Bet,No Bet,40.0,64.0
401673462,2024,15,2024-12-06,20:00:00,Tulane @ Army,Army,Tulane,Army +5.0,5.0,46.5,46.5,185.0,-225.0,-2.680864029282674,54.56947492499444,2.410586530078057,2.01339567853109,2.319135970717326,8.069474924994438,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence,401673462,35.0,14.0,No Bet,No Bet,21.0,49.0
401673468,2024,15,2024-12-06,20:00:00,UNLV @ Boise State,Boise State,UNLV,Boise State -4.0,-4.0,57.5,57.5,-192.0,160.0,1.936852981478682,55.13146991234048,1.5820326287444253,0.3310483164593201,2.0631470185213177,2.368530087659522,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673468,21.0,7.0,No Bet,No Bet,14.0,28.0
401673465,2024,15,2024-12-07,12:00:00,Iowa State @ Arizona State,Arizona State,Iowa State,Arizona State +1.5,1.5,51.0,51.0,100.0,-120.0,8.699348586688165,58.589807392408616,0.3358221031346044,4.034943836017664,10.199348586688163,7.589807392408616,home,3.12,Bet Placed,none,0.0,No Bet - Low Confidence,401673465,45.0,19.0,Win,No Bet,26.0,64.0
401673467,2024,15,2024-12-07,12:00:00,Ohio @ Miami (OH),Miami (OH),Ohio,Miami (OH) -2.5,-2.5,44.0,44.0,-135.0,114.0,-1.3020768116655688,49.189573394908386,1.3172884224077404,2.0821888532272723,3.802076811665569,5.189573394908386,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673467,3.0,38.0,No Bet,No Bet,-35.0,41.0
401673469,2024,15,2024-12-07,16:00:00,Georgia @ Texas,Texas,Georgia,Texas -3.0,-3.0,51.0,51.0,-155.0,130.0,6.976654738356998,49.54568238018523,0.8641954786910058,4.643770088683169,3.9766547383569977,1.4543176198147734,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673469,19.0,22.0,No Bet,No Bet,-3.0,41.0
401673470,2024,15,2024-12-07,19:30:00,Marshall @ Louisiana,Louisiana,Marshall,Louisiana -5.0,-5.0,57.0,57.0,-200.0,170.0,7.70510279103931,62.53989796395987,0.4023637492034025,2.2717776035472035,2.7051027910393097,5.5398979639598736,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673470,3.0,31.0,No Bet,No Bet,-28.0,34.0
401673463,2024,15,2024-12-07,20:00:00,Clemson @ SMU,SMU,Clemson,SMU -2.5,-2.5,56.5,56.5,-135.0,114.0,3.71633679571789,58.87120663436744,2.0183884079081045,1.182886905386976,1.21633679571789,2.3712066343674394,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673463,31.0,34.0,No Bet,No Bet,-3.0,65.0
401673464,2024,15,2024-12-07,20:00:00,Penn State @ Oregon,Oregon,Penn State,Oregon -3.5,-3.5,52.0,52.0,-180.0,150.0,1.892871290353951,56.922766936204575,2.7665269638758936,1.196739866530926,1.607128709646049,4.9227669362045745,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401673464,45.0,37.0,No Bet,No Bet,8.0,82.0
