game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401643809,10/15/2024,07:30 PM,Troy @ South Alabama,South Alabama,Troy,Away,-10.0,12.99,22.99,High,55.65,12.99,No Bet,53.5,55.65,0.0,401643809,25.0,9.0,Loss,No Bet,16.0,34.0
401641019,10/15/2024,08:00 PM,Kennesaw State @ Middle Tennessee,Middle Tennessee,Kennesaw State,Away,-8.0,7.59,15.59,High,56.47,7.59,Over,50.0,56.47,6.469999999999999,401641019,14.0,5.0,Loss,Loss,9.0,19.0
401641010,10/15/2024,09:00 PM,Louisiana Tech @ New Mexico State,New Mexico State,Louisiana Tech,Home,12.5,-7.28,19.78,High,45.73,-7.28,No Bet,48.5,45.73,0.0,401641010,33.0,30.0,Win,No Bet,3.0,63.0
401641038,10/16/2024,07:00 PM,Western Kentucky @ Sam Houston,Sam Houston,Western Kentucky,Away,-1.0,7.86,8.86,High,52.68,7.86,No Bet,54.5,52.68,0.0,401641038,14.0,31.0,Win,No Bet,-17.0,45.0
401640983,10/16/2024,09:00 PM,Florida International @ UTEP,UTEP,Florida International,Home,7.0,-10.91,17.91,High,49.73,-10.91,No Bet,47.0,49.73,0.0,401640983,30.0,21.0,Win,No Bet,9.0,51.0
401643810,10/17/2024,07:00 PM,Georgia State @ Marshall,Marshall,Georgia State,Away,-9.5,15.31,24.81,High,51.1,15.31,No Bet,51.5,51.1,0.0,401643810,35.0,20.0,Loss,No Bet,15.0,55.0
401634768,10/17/2024,07:30 PM,Boston College @ Virginia Tech,Virginia Tech,Boston College,Away,-8.0,9.46,17.46,High,47.9,9.46,No Bet,47.5,47.9,0.0,401634768,42.0,21.0,Loss,No Bet,21.0,63.0
401634769,10/18/2024,07:00 PM,Florida State @ Duke,Duke,Florida State,Away,-3.0,14.65,17.65,High,34.66,14.65,Under,43.0,34.66,8.340000000000003,401634769,23.0,16.0,Loss,Win,7.0,39.0
401628523,10/18/2024,08:00 PM,Oregon @ Purdue,Purdue,Oregon,Home,29.5,-21.42,50.92,High,65.3,-21.42,Over,61.0,65.3,4.299999999999997,401628523,0.0,35.0,Loss,Loss,-35.0,35.0
401636898,10/18/2024,10:15 PM,Oklahoma State @ BYU,BYU,Oklahoma State,Away,-8.5,19.38,27.88,High,53.44,19.38,No Bet,53.0,53.44,0.0,401636898,38.0,35.0,Win,No Bet,3.0,73.0
