game_id,Year,Week,Date,Time,Game,home_team,away_team,Spread,home_team_spread_line,Over/Under,total_line,home_moneyline,away_moneyline,Spread Prediction,Total Prediction,predicted_spread_std_dev,predicted_total_std_dev,edge_spread,edge_total,Spread Bet,bet_units_spread,spread_bet_reason,Total Bet,bet_units_total,total_bet_reason,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401640982,2024,7,2024-10-08,19:00:00,Florida International @ Liberty,Liberty,Florida International,Liberty -15.5,-15.5,56.0,56.0,-800.0,550.0,8.167091606853111,54.83011097853222,0.9988394365561678,2.8719103802065296,7.332908393146889,1.1698890214677815,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401640982,31.0,24.0,No Bet,No Bet,7.0,55.0
401641002,2024,7,2024-10-09,19:30:00,New Mexico State @ Jacksonville State,Jacksonville State,New Mexico State,Jacksonville State -21.0,-21.0,58.5,58.5,-1600.0,900.0,18.87524079294877,50.09290867668107,0.6535107934544395,4.522956932110773,2.1247592070512304,8.40709132331893,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence,401641002,54.0,13.0,No Bet,No Bet,41.0,67.0
401643803,2024,7,2024-10-10,19:30:00,Coastal Carolina @ James Madison,James Madison,Coastal Carolina,James Madison -7.0,-7.0,59.0,59.0,-265.0,215.0,10.977454395203075,56.20687252585265,0.782822389776406,1.068522766229678,3.977454395203077,2.7931274741473473,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401643803,39.0,7.0,No Bet,No Bet,32.0,46.0
401641030,2024,7,2024-10-10,20:00:00,UTEP @ Western Kentucky,Western Kentucky,UTEP,Western Kentucky -19.0,-19.0,55.5,55.5,-1200.0,750.0,7.236253829396602,55.565633563112875,0.3642235719743497,2.626065054923667,11.763746170603396,0.0656335631128754,away,3.12,Bet Placed,none,0.0,No Bet - Small Edge,401641030,44.0,17.0,Loss,No Bet,27.0,61.0
401641009,2024,7,2024-10-10,20:00:00,Middle Tennessee @ Louisiana Tech,Louisiana Tech,Middle Tennessee,Louisiana Tech -5.0,-5.0,48.0,48.0,-218.0,180.0,8.356782062821184,50.68598916418143,3.19727160189915,2.398959958580128,3.3567820628211837,2.6859891641814286,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401641009,48.0,21.0,No Bet,No Bet,27.0,69.0
401628513,2024,7,2024-10-11,20:00:00,Northwestern @ Maryland,Maryland,Northwestern,Maryland -11.0,-11.0,45.0,45.0,-425.0,330.0,14.64475286113858,49.82702725310035,1.771573649346483,1.4992627499980338,3.644752861138579,4.827027253100347,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401628513,10.0,37.0,No Bet,No Bet,-27.0,47.0
401643733,2024,7,2024-10-11,21:00:00,UNLV @ Utah State,Utah State,UNLV,Utah State +19.0,19.0,67.5,67.5,700.0,-1100.0,-9.369826600689189,58.55858883337552,3.0959314367354955,1.7929743743664808,9.630173399310811,8.941411166624484,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Low Confidence,401643733,34.0,50.0,No Bet,No Bet,-16.0,84.0
401636892,2024,7,2024-10-11,22:30:00,Utah @ Arizona State,Arizona State,Utah,Arizona State +6.0,6.0,46.5,46.5,180.0,-218.0,6.767916473139199,51.64526063066921,1.2216567707987087,0.5360249253341559,12.7679164731392,5.145260630669213,home,3.12,Bet Placed,none,0.0,No Bet - Small Edge,401636892,27.0,19.0,Win,No Bet,8.0,46.0
401628512,2024,7,2024-10-12,12:00:00,Washington @ Iowa,Iowa,Washington,Iowa -2.5,-2.5,41.5,41.5,-142.0,120.0,-5.804870289296694,53.29307750186636,4.676029728440677,1.6083469490564175,8.304870289296694,11.793077501866357,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Low Confidence,401628512,40.0,16.0,No Bet,No Bet,24.0,56.0
401628517,2024,7,2024-10-12,12:00:00,Wisconsin @ Rutgers,Rutgers,Wisconsin,Rutgers -1.0,-1.0,43.5,43.5,-130.0,110.0,0.4841775311435416,50.984607076249425,0.8950499859920865,3.791422505361578,0.5158224688564583,7.484607076249425,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401628517,7.0,42.0,No Bet,No Bet,-35.0,49.0
401645342,2024,7,2024-10-12,12:00:00,UAB @ Army,Army,UAB,Army -27.0,-27.0,55.5,55.5,-4500.0,1700.0,20.874203954721427,51.80498187995223,0.883812512611371,3.7318367031704143,6.125796045278573,3.69501812004777,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401645342,44.0,10.0,No Bet,No Bet,34.0,54.0
401644743,2024,7,2024-10-12,12:00:00,Ball State @ Kent State,Kent State,Ball State,Kent State +3.0,3.0,58.0,58.0,124.0,-148.0,-5.052297301285863,57.117384204711264,2.7867431738597306,2.1636590948769547,2.052297301285863,0.8826157952887357,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401644743,35.0,37.0,No Bet,No Bet,-2.0,72.0
401644745,2024,7,2024-10-12,12:00:00,Toledo @ Buffalo,Buffalo,Toledo,Buffalo +10.5,10.5,44.5,44.5,310.0,-395.0,-7.0074817101595075,46.19380836502512,3.5466662817947157,0.4996830756574168,3.4925182898404925,1.69380836502512,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401644745,30.0,15.0,No Bet,No Bet,15.0,45.0
401628385,2024,7,2024-10-12,12:00:00,South Carolina @ Alabama,Alabama,South Carolina,Alabama -21.0,-21.0,50.0,50.0,-1800.0,1000.0,7.739830127809756,52.92764098668747,2.448126829783525,0.916131738460309,13.260169872190245,2.9276409866874715,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Small Edge,401628385,27.0,25.0,No Bet,No Bet,2.0,52.0
401635577,2024,7,2024-10-12,12:00:00,Georgia Tech @ North Carolina,North Carolina,Georgia Tech,North Carolina +3.5,3.5,60.5,60.5,142.0,-170.0,-4.295110160162852,57.43834119210605,1.72344779372794,0.8222450420756472,0.7951101601628521,3.0616588078939557,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401635577,34.0,41.0,No Bet,No Bet,-7.0,75.0
401635576,2024,7,2024-10-12,12:00:00,Clemson @ Wake Forest,Wake Forest,Clemson,Wake Forest +21.0,21.0,63.0,63.0,950.0,-1650.0,-2.9549643576191897,64.45581819553674,2.20175058541744,0.9165979705728,18.04503564238081,1.455818195536736,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Small Edge,401635576,14.0,49.0,No Bet,No Bet,-35.0,63.0
401628389,2024,7,2024-10-12,12:00:00,Missouri @ Massachusetts,Massachusetts,Missouri,Massachusetts +27.0,27.0,54.0,54.0,1600.0,-4000.0,3.2046907198776915,56.366434090231856,1.8292069554226031,0.9085220570319584,30.204690719877693,2.3664340902318557,home,3.12,Bet Placed,none,0.0,No Bet - Small Edge,401628389,3.0,45.0,Loss,No Bet,-42.0,48.0
401644685,2024,7,2024-10-12,14:00:00,Miami (OH) @ Eastern Michigan,Eastern Michigan,Miami (OH),Eastern Michigan +3.0,3.0,45.5,45.5,124.0,-148.0,7.629694573994736,52.42756413349448,1.2808450029043053,2.0089784283532364,10.629694573994737,6.927564133494478,home,3.12,Bet Placed,none,0.0,No Bet - Small Edge,401644685,14.0,38.0,Loss,No Bet,-24.0,52.0
401636895,2024,7,2024-10-12,15:30:00,Cincinnati @ UCF,UCF,Cincinnati,UCF -2.0,-2.0,58.0,58.0,-125.0,105.0,1.4986663291795477,59.391211663875985,1.5345693509658285,1.154293768718909,0.5013336708204523,1.3912116638759855,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401636895,13.0,19.0,No Bet,No Bet,-6.0,32.0
401643729,2024,7,2024-10-12,15:30:00,San José State @ Colorado State,Colorado State,San José State,Colorado State -2.5,-2.5,55.5,55.5,-130.0,110.0,-5.838790855074818,49.74643267011063,2.7093254450363107,3.164747038625103,8.33879085507482,5.753567329889371,none,0.0,No Bet - Low Confidence,none,0.0,No Bet - Small Edge,401643729,31.0,24.0,No Bet,No Bet,7.0,55.0
401635578,2024,7,2024-10-12,15:30:00,Louisville @ Virginia,Virginia,Louisville,Virginia +7.0,7.0,54.0,54.0,225.0,-278.0,-1.0086223777189085,55.340356097453025,1.7030280642459037,0.8897133655565741,5.9913776222810915,1.340356097453025,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401635578,20.0,24.0,No Bet,No Bet,-4.0,44.0
401628511,2024,7,2024-10-12,15:30:00,Purdue @ Illinois,Illinois,Purdue,Illinois -22.5,-22.5,47.5,47.5,-1800.0,1000.0,11.80030237994854,55.07710885549102,1.962094134248008,1.6525407284287492,10.69969762005146,7.577108855491019,away,3.12,Bet Placed,none,0.0,No Bet - Small Edge,401628511,50.0,49.0,Win,No Bet,1.0,99.0
401644744,2024,7,2024-10-12,15:30:00,Northern Illinois @ Bowling Green,Bowling Green,Northern Illinois,Bowling Green -3.0,-3.0,46.5,46.5,-155.0,130.0,-1.5707630536232635,58.9914190432111,1.3829179212369518,3.906307416222506,4.5707630536232635,12.491419043211105,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence,401644744,7.0,17.0,No Bet,No Bet,-10.0,24.0
401643732,2024,7,2024-10-12,15:30:00,San Diego State @ Wyoming,Wyoming,San Diego State,Wyoming -1.5,-1.5,43.0,43.0,-122.0,102.0,-3.5783840497614463,51.668759420189325,1.7350569577722978,3.2145906640967676,5.078384049761446,8.668759420189325,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Low Confidence,401643732,24.0,27.0,No Bet,No Bet,-3.0,51.0
401643805,2024,7,2024-10-12,15:30:00,Old Dominion @ Georgia State,Georgia State,Old Dominion,Georgia State -3.0,-3.0,53.0,53.0,-135.0,114.0,6.994699589227676,49.768719481245874,2.2118914070193787,4.345132949723253,3.994699589227676,3.231280518754126,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401643805,14.0,21.0,No Bet,No Bet,-7.0,35.0
401628981,2024,7,2024-10-12,15:30:00,Stanford @ Notre Dame,Notre Dame,Stanford,Notre Dame -22.5,-22.5,45.5,45.5,-2100.0,1100.0,17.34863692793968,47.74216039984392,1.7425690952633488,1.719814611643279,5.15136307206032,2.242160399843918,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401628981,49.0,7.0,No Bet,No Bet,42.0,56.0
401628390,2024,7,2024-10-12,15:30:00,Texas @ Oklahoma,Oklahoma,Texas,Oklahoma +16.5,16.5,48.5,48.5,600.0,-900.0,-14.280229062761572,44.125074585255426,4.980130888518657,1.992022516320462,2.219770937238428,4.374925414744574,none,0.0,No Bet - Small Edge,none,0.0,No Bet - Small Edge,401628390,3.0,34.0,No Bet,No Bet,-31.0,37.0
