game_id,season,week,home_team,away_team,Date,Time,Spread Prediction,home_team_spread_line,edge_spread,Spread Bet,Total Prediction,total_line,edge_total,Total Bet,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401645331,2024,5,Temple,Army,09/26/2024,07:30 PM,-13.31124990674864,11.0,-2.311249906748639,Away,52.10813199526202,47.0,5.1081319952620206,Over,401645331,14.0,42.0,Win,Win,-28.0,56.0
401634767,2024,5,Miami,Virginia Tech,09/27/2024,07:30 PM,23.262224319028473,-18.0,5.262224319028473,Home,66.64189473555017,55.5,11.141894735550167,Over,401634767,38.0,34.0,Loss,Win,4.0,72.0
401628501,2024,5,Rutgers,Washington,09/27/2024,08:00 PM,3.757519879190577,-1.0,2.757519879190577,Home,55.32499629616659,45.5,9.824996296166589,Over,401628501,21.0,18.0,Win,Loss,3.0,39.0
401636883,2024,5,Kansas State,Oklahoma State,09/28/2024,12:00 PM,0.4561642566461836,-6.0,-5.543835743353816,Away,57.30711285980295,58.0,-0.6928871401970511,Under,401636883,42.0,20.0,Loss,Loss,22.0,62.0
401628499,2024,5,Purdue,Nebraska,09/28/2024,12:00 PM,-11.511519735143022,10.0,-1.5115197351430218,Away,55.88914404193748,47.0,8.889144041937477,Over,401628499,10.0,28.0,Win,Loss,-18.0,38.0
401635560,2024,5,Boston College,Western Kentucky,09/28/2024,12:00 PM,17.108403660742336,-7.5,9.608403660742336,Home,56.6332088881723,48.0,8.633208888172298,Over,401635560,21.0,20.0,Loss,Loss,1.0,41.0
401636880,2024,5,Baylor,BYU,09/28/2024,12:00 PM,-1.7135239431837856,-3.0,-4.713523943183786,Away,48.45105374122724,46.5,1.9510537412272413,Over,401636880,28.0,34.0,Win,Win,-6.0,62.0
401645332,2024,5,UAB,Navy,09/28/2024,12:00 PM,0.1745758276280007,4.5,4.674575827628001,Home,54.57072620326513,56.5,-1.9292737967348683,Under,401645332,18.0,41.0,Loss,Loss,-23.0,59.0
401645337,2024,5,Tulane,South Florida,09/28/2024,12:00 PM,5.8551263917163405,-4.0,1.8551263917163403,Home,54.2141240547318,60.5,-6.285875945268202,Under,401645337,45.0,10.0,Win,Win,35.0,55.0
401628377,2024,5,Ole Miss,Kentucky,09/28/2024,12:00 PM,22.67048009884066,-14.5,8.17048009884066,Home,52.692374771026934,51.5,1.192374771026934,Over,401628377,17.0,20.0,Loss,Loss,-3.0,37.0
401629032,2024,5,UConn,Buffalo,09/28/2024,12:00 PM,11.000911325996844,-6.0,5.000911325996844,Home,61.7066879704618,44.5,17.2066879704618,Over,401629032,47.0,3.0,Win,Win,44.0,50.0
401628497,2024,5,Michigan,Minnesota,09/28/2024,12:00 PM,-1.2597401765604692,-10.5,-11.75974017656047,Away,49.09745131183235,34.5,14.597451311832351,Over,401628497,27.0,24.0,Win,Win,3.0,51.0
401635564,2024,5,NC State,Northern Illinois,09/28/2024,12:00 PM,-12.330167617713276,-7.0,-19.330167617713276,Away,58.20883340409084,46.5,11.70883340409084,Over,401635564,24.0,17.0,Push,Loss,7.0,41.0
401628496,2024,5,Indiana,Maryland,09/28/2024,12:00 PM,13.065613286746396,-7.5,5.5656132867463946,Home,56.33754350081032,49.5,6.83754350081032,Over,401628496,42.0,28.0,Win,Win,14.0,70.0
401643793,2024,5,James Madison,Ball State,09/28/2024,01:30 PM,21.895462573535543,-22.0,-0.1045374264644571,Away,48.02980552681905,56.5,-8.470194473180953,Under,401643793,63.0,7.0,Loss,Loss,56.0,70.0
401641041,2024,5,Sam Houston,Texas State,09/28/2024,03:00 PM,-4.6178654256845615,11.0,6.3821345743154385,Home,43.478983084889435,55.5,-12.021016915110565,Under,401641041,40.0,39.0,Win,Loss,1.0,79.0
401636882,2024,5,Kansas,TCU,09/28/2024,03:30 PM,1.8336196483784757,-1.5,0.3336196483784754,Home,65.5833052676432,58.5,7.083305267643198,Over,401636882,27.0,38.0,Loss,Win,-11.0,65.0
401628980,2024,5,Notre Dame,Louisville,09/28/2024,03:30 PM,3.382019900760499,-6.5,-3.117980099239501,Away,55.465807464328826,45.0,10.465807464328826,Over,401628980,31.0,24.0,Loss,Win,7.0,55.0
401643720,2024,5,UNLV,Fresno State,09/28/2024,03:30 PM,10.239536722868625,-2.5,7.739536722868625,Home,48.911138949239366,50.5,-1.5888610507606344,Under,401643720,59.0,14.0,Win,Loss,45.0,73.0
401628502,2024,5,USC,Wisconsin,09/28/2024,03:30 PM,19.57786857052857,-13.5,6.077868570528569,Home,66.32116745431428,50.0,16.321167454314278,Over,401628502,38.0,21.0,Win,Win,17.0,59.0
401629043,2024,5,Miami (OH),Massachusetts,09/28/2024,03:30 PM,8.333622869768789,-14.5,-6.166377130231211,Away,46.042629247334645,44.5,1.542629247334645,Over,401629043,23.0,20.0,Win,Loss,3.0,43.0
401636885,2024,5,UCF,Colorado,09/28/2024,03:30 PM,16.785494280535502,-12.5,4.285494280535502,Home,61.24364192972336,60.5,0.7436419297233599,Over,401636885,21.0,48.0,Loss,Win,-27.0,69.0
401644738,2024,5,Ohio,Akron,09/28/2024,03:30 PM,10.915078546787289,-8.0,2.915078546787287,Home,47.55757638641105,46.5,1.05757638641105,Over,401644738,30.0,10.0,Win,Loss,20.0,40.0
401644739,2024,5,Kent State,Eastern Michigan,09/28/2024,03:30 PM,-11.837861955343294,14.0,2.1621380446567056,Home,61.665255409825136,46.0,15.665255409825136,Over,401644739,33.0,52.0,Loss,Win,-19.0,85.0
