game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401532433,10/31/2023,07:00 PM,Northern Illinois @ Central Michigan,Central Michigan,Northern Illinois,Home,6.5,-3.06,9.56,High,50.56,-3.06,No Bet,48.0,50.56,0.0,401532433,37,31,Win,No Bet,6,68
401532434,10/31/2023,07:30 PM,Buffalo @ Toledo,Toledo,Buffalo,Away,-14.5,16.13,30.63,High,53.13,16.13,Over,47.0,53.13,6.130000000000003,401532434,31,13,Loss,Loss,18,44
401532435,11/01/2023,07:00 PM,Ball State @ Bowling Green,Bowling Green,Ball State,Away,-4.5,17.13,21.63,High,40.21,17.13,No Bet,39.5,40.21,0.0,401532435,24,21,Win,No Bet,3,45
401532436,11/01/2023,07:30 PM,Kent State @ Akron,Akron,Kent State,Away,-3.5,6.7,10.2,High,40.88,6.7,No Bet,39.0,40.88,0.0,401532436,31,27,Loss,No Bet,4,58
401525879,11/02/2023,07:00 PM,TCU @ Texas Tech,Texas Tech,TCU,Away,-2.5,3.71,6.21,High,52.18,3.71,Under,59.0,52.18,6.82,401525879,35,28,Loss,Loss,7,63
401525539,11/02/2023,07:30 PM,Wake Forest @ Duke,Duke,Wake Forest,Away,-7.0,19.16,26.16,High,36.34,19.16,Under,41.0,36.34,4.659999999999997,401525539,24,21,Win,Loss,3,45
401531904,11/02/2023,07:30 PM,South Alabama @ Troy,Troy,South Alabama,Away,-6.5,6.2,12.7,High,42.7,6.2,No Bet,43.5,42.7,0.0,401531904,28,10,Loss,No Bet,18,38
401525540,11/03/2023,07:30 PM,Boston College @ Syracuse,Syracuse,Boston College,Away,1.0,6.67,5.67,High,50.7,6.67,Over,47.0,50.7,3.700000000000003,401525540,10,17,Win,Loss,-7,27
401532609,11/03/2023,08:00 PM,Colorado State @ Wyoming,Wyoming,Colorado State,Away,-6.0,7.23,13.23,High,49.24,7.23,Over,44.0,49.24,5.240000000000002,401532609,24,15,Loss,Loss,9,39
401525884,11/04/2023,12:00 PM,Kansas State @ Texas,Texas,Kansas State,Away,-3.5,2.96,6.46,High,48.75,2.96,No Bet,49.0,48.75,0.0,401525884,33,30,Win,No Bet,3,63
401520374,11/04/2023,12:00 PM,Texas A&M @ Ole Miss,Ole Miss,Texas A&M,Away,-3.0,9.13,12.13,High,54.63,9.13,No Bet,52.5,54.63,0.0,401520374,38,35,Push,No Bet,3,73
401520377,11/04/2023,12:00 PM,UConn @ Tennessee,Tennessee,UConn,Away,-35.0,24.96,59.96,High,45.17,24.96,Under,55.5,45.17,10.329999999999998,401520377,59,3,Loss,Loss,56,62
401520365,11/04/2023,12:00 PM,Wisconsin @ Indiana,Indiana,Wisconsin,Home,9.5,-5.7,15.2,High,45.12,-5.7,No Bet,45.5,45.12,0.0,401520365,20,14,Win,No Bet,6,34
401520369,11/04/2023,12:00 PM,Nebraska @ Michigan State,Michigan State,Nebraska,Home,3.0,-2.28,5.279999999999999,High,36.27,-2.28,No Bet,34.5,36.27,0.0,401520369,20,17,Win,No Bet,3,37
401525441,11/04/2023,12:00 PM,Notre Dame @ Clemson,Clemson,Notre Dame,Home,3.0,-7.34,10.34,High,50.71,-7.34,Over,44.5,50.71,6.210000000000001,401525441,31,23,Win,Win,8,54
401520363,11/04/2023,12:00 PM,Arkansas @ Florida,Florida,Arkansas,Away,-3.0,2.91,5.91,High,47.59,2.91,No Bet,49.0,47.59,0.0,401520363,36,39,Win,No Bet,-3,75
401520375,11/04/2023,12:00 PM,Ohio State @ Rutgers,Rutgers,Ohio State,Home,19.0,-10.38,29.380000000000003,High,37.06,-10.38,Under,43.0,37.06,5.939999999999998,401520375,16,35,Push,Loss,-19,51
401520376,11/04/2023,12:00 PM,Jacksonville State @ South Carolina,South Carolina,Jacksonville State,Away,-15.5,1.5,17.0,High,49.16,1.5,Under,55.0,49.16,5.840000000000003,401520376,38,28,Win,Loss,10,66
