game_id,season,week,home_team,away_team,Date,Time,Spread Prediction,home_team_spread_line,edge_spread,Spread Bet,Total Prediction,total_line,edge_total,Total Bet,id,home_points,away_points,home_margin,total_score,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401640982,2024,7,Liberty,Florida International,10/08/2024,07:00 PM,1.739731152598729,-16.0,-14.26026884740127,Away,49.41425598066863,55.5,-6.085744019331372,Under,401640982,31.0,24.0,7.0,55.0,Win,Win,7.0,55.0
401641002,2024,7,Jacksonville State,New Mexico State,10/09/2024,07:30 PM,15.60942540758458,-21.0,-5.390574592415419,Away,47.54074399899695,59.0,-11.459256001003048,Under,401641002,54.0,13.0,41.0,67.0,Loss,Loss,41.0,67.0
401643803,2024,7,James Madison,Coastal Carolina,10/10/2024,07:30 PM,19.254063139740772,-7.0,12.254063139740772,Home,48.45015357686925,59.0,-10.549846423130752,Under,401643803,39.0,7.0,32.0,46.0,Win,Win,32.0,46.0
401641030,2024,7,Western Kentucky,UTEP,10/10/2024,08:00 PM,18.47808574542919,-19.5,-1.021914254570806,Away,60.66780234545296,56.0,4.667802345452962,Over,401641030,44.0,17.0,27.0,61.0,Loss,Win,27.0,61.0
401641009,2024,7,Louisiana Tech,Middle Tennessee,10/10/2024,08:00 PM,8.107531088966333,-5.0,3.107531088966333,Home,48.7907874477846,47.5,1.2907874477846022,Over,401641009,48.0,21.0,27.0,69.0,Win,Win,27.0,69.0
401628513,2024,7,Maryland,Northwestern,10/11/2024,08:00 PM,17.173500802486082,-11.0,6.173500802486082,Home,48.85217889059122,45.5,3.352178890591219,Over,401628513,10.0,37.0,-27.0,47.0,Loss,Win,-27.0,47.0
401643733,2024,7,Utah State,UNLV,10/11/2024,09:00 PM,-16.795418772382693,18.5,1.7045812276173071,Home,61.99724587706445,67.0,-5.002754122935549,Under,401643733,34.0,50.0,-16.0,84.0,Win,Loss,-16.0,84.0
401636892,2024,7,Arizona State,Utah,10/11/2024,10:30 PM,5.369226924084741,5.5,10.86922692408474,Home,48.17004678856939,46.0,2.170046788569387,Over,401636892,27.0,19.0,8.0,46.0,Win,Push,8.0,46.0
401628512,2024,7,Iowa,Washington,10/12/2024,12:00 PM,1.88037049965568,-3.0,-1.11962950034432,Away,51.42525488289934,41.5,9.925254882899338,Over,401628512,40.0,16.0,24.0,56.0,Loss,Win,24.0,56.0
401628517,2024,7,Rutgers,Wisconsin,10/12/2024,12:00 PM,9.235560429480344,-1.0,8.235560429480344,Home,58.95462719804527,43.5,15.454627198045271,Over,401628517,7.0,42.0,-35.0,49.0,Loss,Win,-35.0,49.0
401645342,2024,7,Army,UAB,10/12/2024,12:00 PM,24.06828766280946,-27.0,-2.9317123371905396,Away,47.75208471008017,55.5,-7.747915289919831,Under,401645342,44.0,10.0,34.0,54.0,Loss,Win,34.0,54.0
401644743,2024,7,Kent State,Ball State,10/12/2024,12:00 PM,-3.2438228549337156,3.0,-0.2438228549337155,Away,53.502993369745894,58.0,-4.497006630254106,Under,401644743,35.0,37.0,-2.0,72.0,Loss,Loss,-2.0,72.0
401644745,2024,7,Buffalo,Toledo,10/12/2024,12:00 PM,-8.931315698862777,10.5,1.568684301137223,Home,52.39668263555661,44.0,8.396682635556608,Over,401644745,30.0,15.0,15.0,45.0,Win,Win,15.0,45.0
401628385,2024,7,Alabama,South Carolina,10/12/2024,12:00 PM,16.449127641038135,-21.5,-5.050872358961865,Away,58.69812479839683,50.0,8.698124798396833,Over,401628385,27.0,25.0,2.0,52.0,Win,Win,2.0,52.0
401635577,2024,7,North Carolina,Georgia Tech,10/12/2024,12:00 PM,-4.361358009892904,3.5,-0.8613580098929043,Away,60.57039323125119,61.5,-0.929606768748812,Under,401635577,34.0,41.0,-7.0,75.0,Win,Loss,-7.0,75.0
401635576,2024,7,Wake Forest,Clemson,10/12/2024,12:00 PM,-9.65684974760648,21.0,11.34315025239352,Home,67.25198466077525,63.0,4.25198466077525,Over,401635576,14.0,49.0,-35.0,63.0,Loss,Push,-35.0,63.0
401628389,2024,7,Massachusetts,Missouri,10/12/2024,12:00 PM,-16.25470851579885,27.0,10.74529148420115,Home,56.220063270940926,53.5,2.7200632709409263,Over,401628389,3.0,45.0,-42.0,48.0,Loss,Loss,-42.0,48.0
401644685,2024,7,Eastern Michigan,Miami (OH),10/12/2024,02:00 PM,8.878459932568454,3.0,11.878459932568454,Home,54.91294303304253,45.5,9.412943033042524,Over,401644685,14.0,38.0,-24.0,52.0,Loss,Win,-24.0,52.0
401636895,2024,7,UCF,Cincinnati,10/12/2024,03:30 PM,1.7081364555963217,-2.5,-0.7918635444036783,Away,53.66058962876081,58.0,-4.33941037123919,Under,401636895,13.0,19.0,-6.0,32.0,Win,Win,-6.0,32.0
401643729,2024,7,Colorado State,San José State,10/12/2024,03:30 PM,-8.49166011474492,-2.5,-10.99166011474492,Away,40.97036876275344,55.5,-14.529631237246562,Under,401643729,31.0,24.0,7.0,55.0,Loss,Win,7.0,55.0
401635578,2024,7,Virginia,Louisville,10/12/2024,03:30 PM,-3.4105593313404237,7.0,3.5894406686595763,Home,59.89379370600402,54.0,5.893793706004018,Over,401635578,20.0,24.0,-4.0,44.0,Win,Loss,-4.0,44.0
401628511,2024,7,Illinois,Purdue,10/12/2024,03:30 PM,21.351617737182057,-23.0,-1.6483822628179432,Away,55.01155354144018,47.0,8.011553541440179,Over,401628511,50.0,49.0,1.0,99.0,Win,Win,1.0,99.0
401644744,2024,7,Bowling Green,Northern Illinois,10/12/2024,03:30 PM,3.7789726886157737,-3.0,0.7789726886157733,Home,60.449777631058446,46.5,13.949777631058446,Over,401644744,7.0,17.0,-10.0,24.0,Loss,Loss,-10.0,24.0
401643732,2024,7,Wyoming,San Diego State,10/12/2024,03:30 PM,-4.307722610923763,-2.0,-6.307722610923763,Away,50.88360631111263,43.0,7.883606311112629,Over,401643732,24.0,27.0,-3.0,51.0,Win,Win,-3.0,51.0
401643805,2024,7,Georgia State,Old Dominion,10/12/2024,03:30 PM,-5.032488778289922,-3.0,-8.032488778289922,Away,49.16677127026194,53.5,-4.33322872973806,Under,401643805,14.0,21.0,-7.0,35.0,Win,Win,-7.0,35.0
401628981,2024,7,Notre Dame,Stanford,10/12/2024,03:30 PM,18.425505717432472,-22.5,-4.074494282567528,Away,51.5745721852056,45.0,6.5745721852055965,Over,401628981,49.0,7.0,42.0,56.0,Loss,Win,42.0,56.0
401628390,2024,7,Oklahoma,Texas,10/12/2024,03:30 PM,-10.56200749092712,17.0,6.437992509072879,Home,42.04036271234385,49.0,-6.95963728765615,Under,401628390,3.0,34.0,-31.0,37.0,Loss,Win,-31.0,37.0
401628516,2024,7,USC,Penn State,10/12/2024,03:30 PM,-2.5417046917059034,4.0,1.4582953082940966,Home,52.41636107833668,52.0,0.4163610783366778,Over,401628516,30.0,33.0,-3.0,63.0,Win,Win,-3.0,63.0
401645341,2024,7,South Florida,Memphis,10/12/2024,03:30 PM,-6.32473804663449,10.0,3.67526195336551,Home,46.47714573152225,61.0,-14.52285426847775,Under,401645341,3.0,21.0,-18.0,24.0,Loss,Win,-18.0,24.0
401635575,2024,7,Pittsburgh,California,10/12/2024,03:30 PM,6.489223530287099,-3.5,2.989223530287098,Home,62.98101907773281,57.5,5.48101907773281,Over,401635575,17.0,15.0,2.0,32.0,Loss,Loss,2.0,32.0
401644742,2024,7,Western Michigan,Akron,10/12/2024,03:30 PM,7.997521320723203,-9.5,-1.5024786792767966,Away,50.2072382526066,48.5,1.7072382526066008,Over,401644742,34.0,24.0,10.0,58.0,Loss,Win,10.0,58.0
401636893,2024,7,BYU,Arizona,10/12/2024,04:00 PM,16.710233882903815,-2.5,14.210233882903816,Home,53.28497008686523,48.5,4.784970086865229,Over,401636893,41.0,19.0,22.0,60.0,Win,Win,22.0,60.0
401644746,2024,7,Central Michigan,Ohio,10/12/2024,04:00 PM,-2.263437955113547,3.0,0.7365620448864529,Home,55.15128082931978,50.5,4.651280829319781,Over,401644746,25.0,27.0,-2.0,52.0,Win,Win,-2.0,52.0
401628386,2024,7,Georgia,Mississippi State,10/12/2024,04:15 PM,20.9495814254469,-33.0,-12.0504185745531,Away,52.41874224571167,53.5,-1.0812577542883304,Under,401628386,41.0,31.0,10.0,72.0,Win,Loss,10.0,72.0
401643807,2024,7,UL Monroe,Southern Miss,10/12/2024,05:00 PM,11.593744047375676,-4.0,7.593744047375676,Home,48.47382872650271,41.0,7.47382872650271,Over,401643807,38.0,21.0,17.0,59.0,Win,Win,17.0,59.0
401645343,2024,7,Florida Atlantic,North Texas,10/12/2024,07:00 PM,2.2867984476219956,5.5,7.786798447621996,Home,49.315693351913424,58.5,-9.184306648086576,Under,401645343,37.0,41.0,-4.0,78.0,Win,Loss,-4.0,78.0
401643808,2024,7,Texas State,Arkansas State,10/12/2024,07:00 PM,19.821295574134368,-13.5,6.321295574134368,Home,54.73288881415983,66.0,-11.267111185840172,Under,401643808,41.0,9.0,32.0,50.0,Win,Win,32.0,50.0
401643727,2024,7,New Mexico,Air Force,10/12/2024,07:00 PM,5.310043999438035,-7.0,-1.6899560005619652,Away,57.477955323955086,56.0,1.4779553239550864,Over,401643727,52.0,37.0,15.0,89.0,Loss,Win,15.0,89.0
401645344,2024,7,Rice,UTSA,10/12/2024,07:00 PM,4.352662943643524,3.5,7.852662943643524,Home,47.14858368457892,51.0,-3.851416315421083,Under,401645344,29.0,27.0,2.0,56.0,Win,Loss,2.0,56.0
401628391,2024,7,Tennessee,Florida,10/12/2024,07:00 PM,22.4766456651436,-14.0,8.4766456651436,Home,59.93783342685813,55.5,4.437833426858127,Over,401628391,23.0,17.0,6.0,40.0,Loss,Loss,6.0,40.0
