,rating,hdi_lower,hdi_upper
Western Michigan,11.438693964249232,-4.473890736871428,34.717500960107046
Wisconsin,11.43467480538463,-4.5970923276119136,34.71910366300105
Western Kentucky,11.432447757649529,-4.526733913379174,34.54460191677477
Wyoming,11.419891602867438,-4.769910542813488,34.83267026531091
West Virginia,11.407310708225353,-4.345974087235875,34.491456289924784
Washington,11.404568439021386,-4.628310701858752,34.49452751691089
Washington State,11.40080691456741,-4.622313941377237,34.55856661476962
Wake Forest,11.362530875831045,-4.717631332729438,34.28741956810749
Virginia Tech,11.316040026950565,-4.638717518765214,34.306960053056706
Virginia,11.303299183429425,-4.659090539413415,34.36317794759661
Vanderbilt,11.256350005063073,-4.8361146973847795,34.53394430118225
Utah State,11.211025730708947,-4.642780860885557,34.42058823187161
Utah,11.138546065675085,-4.741928221143975,34.240019974594404
UTSA,11.091677954185228,-4.937316638789072,34.24040230597647
UTEP,11.059585074260639,-4.794603467349578,33.96994992920656
USC,11.004783005606424,-4.897954389403735,33.428363583204195
UNLV,10.96313224572719,-4.6651539032895135,33.31885337803349
UL Monroe,10.898856071333373,-4.633117135664159,33.364155490040325
Troy,10.87224574210221,-4.676496142049293,33.87545367096159
Tulane,10.865523017785518,-4.321788359439509,33.553707945860275
UConn,10.853048464818482,-4.884937286147727,33.26620319304797
Toledo,10.85119308111877,-4.649626502492502,34.13359220829982
Tulsa,10.842265673575918,-4.509623188360674,33.5059293855302
UAB,10.827029772129391,-4.395874155699602,33.708328875897024
UCF,10.82426501023081,-4.616101379005531,33.742655169876606
UCLA,10.820824140519084,-4.792701388991823,33.32834845733698
Texas Tech,10.815263317491961,-4.764596028801313,33.98528884196991
Texas State,10.798987262549169,-4.6532999543265126,33.93175891615383
South Carolina,10.786525818002428,-4.567223006651286,33.857031686657514
South Florida,10.773309828920507,-4.709158552387952,33.976038702568324
Texas A&M,10.763066698622229,-4.717671165277536,33.647131935931164
Southern Miss,10.757097836570804,-4.62914568073812,34.13772108989786
South Alabama,10.744344603036257,-4.6525211642815,33.78629756297239
Texas,10.738775413813416,-4.729685254226503,33.711252207724414
Tennessee,10.719565301757983,-4.775773837015052,33.54253982114557
San José State,10.713372878070052,-4.727437954564508,34.11788777287039
Stanford,10.700387892367848,-4.597212324901274,34.09010687159126
