season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units,pick_win,total_pick_win
2024,7,401640982,2024-10-08 19:00:00-04:00,Liberty,Florida International,False,DraftKings,-15.5,56.0,5.200332254109128,56.173988408101344,10.299667745890872,0.1739884081013443,none,none,3.0,4.0,away_adj_off_epa_pp: +1.50,home_adj_def_sr: -1.36,away_adj_off_sr: +1.25,away_adj_def_expl_rate_overall_10: -1.53,away_adj_off_epa_pp: -1.33,away_adj_off_expl_rate_overall_10: +0.73,1,,
2024,7,401641002,2024-10-09 19:30:00-04:00,Jacksonville State,New Mexico State,False,DraftKings,-21.0,58.5,15.81565338328884,49.83470578369639,5.18434661671116,8.665294216303607,away,under,5.0,4.0,away_adj_off_sr: +4.38,away_adj_off_epa_pp: +4.33,home_adj_def_sr: -2.96,away_adj_off_epa_pp: -3.83,away_havoc_rate: +1.56,home_adj_def_sr: +1.30,1,0.0,0.0
2024,7,401643803,2024-10-10 19:30:00-04:00,James Madison,Coastal Carolina,False,DraftKings,-7.0,59.0,3.849672842086895,59.04491670873799,3.150327157913105,0.0449167087379933,none,none,4.0,4.0,home_adj_def_ypp: -1.85,home_adj_def_sr: -1.77,home_adj_off_epa_pp: +1.45,away_off_finish_pts_per_opp: +1.01,away_adj_off_expl_rate_overall_10: -1.00,home_adj_def_expl_rate_overall_10: +0.92,1,,
2024,7,401641030,2024-10-10 20:00:00-04:00,Western Kentucky,UTEP,False,DraftKings,-19.0,55.5,16.268768691537215,56.75967647943912,2.7312313084627853,1.2596764794391149,none,none,4.0,4.0,away_adj_off_sr: +2.32,home_adj_off_epa_pp: +2.30,away_adj_off_epa_pp: +2.25,away_adj_off_epa_pp: -1.99,home_adj_off_epa_pp: +1.31,away_havoc_rate: +1.08,1,,
2024,7,401641009,2024-10-10 20:00:00-04:00,Louisiana Tech,Middle Tennessee,False,DraftKings,-5.0,48.0,-0.3809993461982885,56.702456527395306,5.380999346198289,8.702456527395306,none,none,3.0,4.0,away_adj_def_epa_pp: +4.64,home_adj_off_epa_pp: -4.61,home_off_eckel_rate: -3.39,home_adj_off_epa_pp: -2.62,away_adj_def_expl_rate_overall_10: +2.18,away_adj_def_sr: +2.16,1,,
2024,7,401628513,2024-10-11 20:00:00-04:00,Maryland,Northwestern,False,DraftKings,-11.0,45.0,12.536199189338742,50.62931653825176,1.536199189338742,5.629316538251757,none,none,4.0,4.0,away_adj_off_epa_pp: +2.38,home_adj_def_epa_pp: +2.37,away_adj_def_epa_pp: -2.14,away_adj_off_epa_pp: -2.11,away_havoc_rate: +1.55,away_adj_def_sr: -1.34,1,,
2024,7,401643733,2024-10-11 21:00:00-04:00,Utah State,UNLV,False,DraftKings,19.0,67.5,-10.287194659334563,57.31616320488816,8.712805340665437,10.183836795111835,home,under,4.0,4.0,home_adj_def_sr: -2.70,away_off_eckel_rate: -2.26,away_adj_def_epa_pp: -1.66,away_havoc_rate: -1.48,home_adj_def_sr: +1.19,away_off_eckel_rate: +1.15,1,1.0,0.0
2024,7,401636892,2024-10-11 22:30:00-04:00,Arizona State,Utah,False,DraftKings,6.0,46.5,8.317560001594009,54.3975245097759,14.317560001594009,7.897524509775899,home,over,5.0,4.0,home_off_eckel_rate: +4.63,home_adj_def_epa_pp: +2.26,away_adj_def_epa_pp: -2.10,away_adj_def_sr: -1.46,away_adj_def_ypp: +0.92,home_adj_off_epa_pp: +0.91,1,1.0,0.0
2024,7,401635576,2024-10-12 12:00:00-04:00,Wake Forest,Clemson,False,DraftKings,21.0,63.0,-4.187750955235469,60.415137548736375,16.81224904476453,2.584862451263625,home,none,4.0,5.0,home_adj_def_epa_pp: -3.72,home_adj_def_sr: -2.64,home_adj_off_epa_pp: -1.84,away_adj_off_epa_pp: +1.30,home_adj_def_sr: +1.16,home_adj_def_epa_pp: +1.06,1,0.0,
2024,7,401645342,2024-10-12 12:00:00-04:00,Army,UAB,False,DraftKings,-27.0,55.5,10.972356137277448,58.51114048756229,16.027643862722552,3.011140487562294,away,none,4.0,4.0,home_adj_off_epa_pp: +4.38,home_adj_def_ypp: +2.50,home_havoc_rate: +2.39,home_adj_off_epa_pp: +2.49,away_adj_def_expl_rate_overall_10: +1.93,away_adj_def_sr: +1.67,1,0.0,
2024,7,401644743,2024-10-12 12:00:00-04:00,Kent State,Ball State,False,DraftKings,3.0,58.0,-4.101756495301971,55.06925461679184,1.101756495301971,2.930745383208162,none,none,4.0,4.0,away_adj_def_epa_pp: +8.06,home_adj_def_epa_pp: -5.46,home_off_eckel_rate: -5.22,away_adj_def_ypp: -3.00,away_adj_def_sr: +2.94,away_adj_off_epa_pp: -2.79,1,,
2024,7,401628385,2024-10-12 12:00:00-04:00,Alabama,South Carolina,False,DraftKings,-21.0,50.0,9.246906513394048,56.07786720361729,11.753093486605952,6.077867203617288,away,none,5.0,5.0,home_adj_off_epa_pp: +4.70,home_adj_def_epa_pp: +2.95,away_adj_def_epa_pp: -2.58,home_adj_off_epa_pp: +2.67,away_adj_off_epa_pp: +1.22,away_adj_def_sr: -1.18,1,1.0,
