week,games_available,spread_bets,spread_wins,spread_hit_rate,total_bets,total_wins,total_hit_rate,overall_bets,overall_wins,overall_hit_rate
2,61,0,0,,0,0,,0,0,
3,53,0,0,,0,0,,0,0,
4,61,0,0,,0,0,,0,0,
5,52,2,1,0.5,1,0,0.0,3,1,0.3333333333333333
6,51,13,7,0.5384615384615384,7,6,0.8571428571428571,20,13,0.65
7,56,13,4,0.3076923076923077,14,4,0.2857142857142857,27,8,0.2962962962962963
season,334,28,12,0.42857142857142855,22,10,0.45454545454545453,50,22,0.44
