season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,predicted_spread_std_dev,predicted_total_std_dev,kelly_fraction_spread,kelly_fraction_total,bet_units_spread,bet_units_total,bet_units
2024,5,401644738,2024-09-28 15:30:00-04:00,Ohio,Akron,False,DraftKings,-8.5,46.0,10.996613241021084,52.482691671516534,2.496613241021084,6.482691671516534,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401635659,2024-09-28 15:30:00-04:00,Wake Forest,Louisiana,False,DraftKings,-3.0,59.5,2.0930797063334943,62.17221754315837,0.9069202936665057,2.672217543158368,none,none,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643720,2024-09-28 15:30:00-04:00,UNLV,Fresno State,False,DraftKings,-2.5,51.0,8.606493797219983,48.11822982151122,6.106493797219983,2.881770178488779,none,none,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628502,2024-09-28 15:30:00-04:00,USC,Wisconsin,False,DraftKings,-14.0,50.5,-0.8633972121689566,59.99312878508807,14.863397212168957,9.493128785088068,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401636882,2024-09-28 15:30:00-04:00,Kansas,TCU,True,DraftKings,-1.5,58.5,-8.261975417852831,53.90416385772813,9.761975417852831,4.595836142271871,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401640992,2024-09-28 15:30:00-04:00,App State,Liberty,False,,,,-12.599680792994302,58.69385919113432,,,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628980,2024-09-28 15:30:00-04:00,Notre Dame,Louisville,False,DraftKings,-6.5,45.0,-4.2242781395891225,57.63436262518038,10.724278139589122,12.63436262518038,none,none,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643792,2024-09-28 15:30:00-04:00,Georgia State,Georgia Southern,False,DraftKings,-3.5,57.5,11.591863706065546,60.20582122438051,8.091863706065546,2.7058212243805073,none,none,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401636885,2024-09-28 15:30:00-04:00,UCF,Colorado,False,DraftKings,-12.5,60.5,23.34200235106975,55.94826184644291,10.842002351069748,4.551738153557089,none,none,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643721,2024-09-28 15:30:00-04:00,Central Michigan,San Diego State,False,DraftKings,-2.5,47.5,8.565479291684602,47.18144018273666,6.065479291684602,0.3185598172633419,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401629043,2024-09-28 15:30:00-04:00,Miami (OH),Massachusetts,False,DraftKings,-15.5,44.5,8.341208447276731,53.65984080096831,7.158791552723269,9.159840800968311,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401645334,2024-09-28 16:00:00-04:00,East Carolina,UTSA,False,DraftKings,-2.0,53.5,-8.376891073741383,48.17973991837403,10.376891073741383,5.3202600816259675,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401635562,2024-09-28 16:00:00-04:00,Duke,North Carolina,False,DraftKings,1.0,55.5,-9.10752022430733,49.875241994137426,8.10752022430733,5.624758005862574,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628378,2024-09-28 16:15:00-04:00,Texas,Mississippi State,False,DraftKings,-37.0,58.5,24.970480714544834,60.13128726052155,12.029519285455166,1.6312872605215532,none,none,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643795,2024-09-28 17:00:00-04:00,Bowling Green,Old Dominion,False,DraftKings,-11.0,51.5,5.55493091819532,57.953067120112294,5.44506908180468,6.453067120112294,none,none,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401640981,2024-09-28 18:00:00-04:00,Florida International,Louisiana Tech,True,DraftKings,2.0,49.0,-4.0004855955936955,44.678710325233745,2.0004855955936955,4.3212896747662555,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643796,2024-09-28 19:00:00-04:00,Troy,UL Monroe,False,DraftKings,-6.0,46.0,0.16705946050273024,51.57098375360402,5.83294053949727,5.570983753604018,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401645336,2024-09-28 19:00:00-04:00,North Texas,Tulsa,False,DraftKings,-7.0,65.5,1.4396186560553335,60.119668325080916,5.560381343944666,5.380331674919084,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401636881,2024-09-28 19:00:00-04:00,Houston,Iowa State,False,DraftKings,16.0,43.0,-8.023156554252722,46.400652776185915,7.976843445747278,3.4006527761859147,none,none,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401645333,2024-09-28 19:00:00-04:00,Rice,Charlotte,False,DraftKings,-4.0,48.0,-4.800948718842691,49.83831289088031,8.80094871884269,1.8383128908803101,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401635561,2024-09-28 19:00:00-04:00,Clemson,Stanford,False,DraftKings,-24.0,58.0,-8.076970262818204,57.517270771999804,32.07697026281821,0.4827292280001956,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628374,2024-09-28 19:30:00-04:00,Alabama,Georgia,False,DraftKings,2.0,50.0,17.25675935976711,52.772278406647395,19.25675935976711,2.772278406647395,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628495,2024-09-28 19:30:00-04:00,Penn State,Illinois,False,DraftKings,-19.5,48.0,14.836169113414442,53.671550174960835,4.663830886585558,5.671550174960835,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401641025,2024-09-28 19:30:00-04:00,Memphis,Middle Tennessee,False,DraftKings,-27.0,62.0,31.88905875889131,60.355942308112404,4.889058758891309,1.6440576918875962,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628498,2024-09-28 19:30:00-04:00,Michigan State,Ohio State,False,DraftKings,23.5,48.5,-11.767519899498318,49.90725912425221,11.732480100501682,1.4072591242522066,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628376,2024-09-28 19:45:00-04:00,LSU,South Alabama,False,DraftKings,-21.0,64.5,10.045356098189313,63.93244518521069,10.954643901810687,0.567554814789311,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401641035,2024-09-28 20:00:00-04:00,New Mexico State,New Mexico,False,DraftKings,9.5,54.0,-4.942219299032176,60.90725088160217,4.557780700967824,6.907250881602167,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401635563,2024-09-28 20:00:00-04:00,SMU,Florida State,False,DraftKings,-6.0,46.0,14.912567324184472,55.11694356979012,8.912567324184472,9.116943569790124,none,none,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401636884,2024-09-28 20:00:00-04:00,Texas Tech,Cincinnati,False,DraftKings,-3.0,60.0,5.68060823007531,54.75946305325316,2.6806082300753102,5.240536946746843,none,none,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643718,2024-09-28 20:00:00-04:00,Wyoming,Air Force,False,DraftKings,4.0,33.5,-15.473039665176135,45.34229885998647,11.473039665176135,11.842298859986471,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401643719,2024-09-28 22:00:00-04:00,Boise State,Washington State,False,DraftKings,-6.5,66.0,13.284374333286081,66.23703823021955,6.784374333286081,0.23703823021955372,none,none,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401636886,2024-09-28 22:15:00-04:00,Utah,Arizona,False,DraftKings,-7.5,47.0,-1.112505377346336,50.57747865904085,8.612505377346336,3.5774786590408496,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,5,401628500,2024-09-28 23:00:00-04:00,UCLA,Oregon,False,DraftKings,23.5,54.5,-7.348292299936053,50.24865295456245,16.151707700063948,4.251347045437548,none,none,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
