threshold,picks,wins,hit_rate
1.0,409,212,0.5183374083129584
1.5,377,197,0.5225464190981433
2.0,344,185,0.5377906976744186
2.5,306,164,0.5359477124183006
3.0,287,156,0.5435540069686411
3.5,269,149,0.5539033457249071
4.0,242,133,0.5495867768595041
4.5,216,116,0.5370370370370371
5.0,199,105,0.5276381909547738
5.5,181,99,0.5469613259668509
6.0,154,84,0.5454545454545454
6.5,137,72,0.5255474452554745
7.0,114,63,0.5526315789473685
