week,wins,bets,hit_rate
6,6,6,1.0
7,13,27,0.48148148148148145
8,10,21,0.47619047619047616
9,10,20,0.5
10,9,16,0.5625
11,9,17,0.5294117647058824
12,12,19,0.631578947368421
13,10,17,0.5882352941176471
14,7,16,0.4375
15,1,1,1.0
16,1,1,1.0
