season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,predicted_spread_std_dev,predicted_total_std_dev,bet_units,pick_win,total_pick_win
2024,13,401636930,2024-11-23 15:30:00-05:00,Arizona State,BYU,False,DraftKings,-3.5,49.0,5.83015195570589,55.67771488881569,2.3301519557058903,6.677714888815693,none,over,10.0,9.0,home_adj_off_epa_pp: +2.20,home_off_eckel_rate: +1.97,home_adj_def_ypp: +1.60,home_adj_def_expl_rate_rush: -2.32,home_adj_off_sr: +1.73,away_adj_off_expl_rate_overall_10: -1.42,2.751981285135373,0.0137682106223664,1,,1.0
2024,13,401628559,2024-11-23 15:30:00-05:00,Minnesota,Penn State,False,DraftKings,11.0,45.0,-2.818138050443038,55.96404404212031,8.181861949556962,10.964044042120308,home,over,9.0,10.0,away_adj_def_epa_pp: -1.81,away_off_eckel_rate: -1.74,away_adj_def_sr: -1.39,away_adj_off_ypp: +2.60,away_off_eckel_rate: +2.32,away_adj_off_sr: +1.57,0.5866281171959923,0.5647923845561778,1,1.0,1.0
2024,13,401635613,2024-11-23 15:30:00-05:00,California,Stanford,False,DraftKings,-15.0,53.5,9.143050953785227,55.41237547539532,5.856949046214773,1.912375475395315,none,none,9.0,9.0,home_off_eckel_rate: +2.55,home_adj_def_sr: +1.92,home_adj_off_epa_pp: +1.05,away_adj_off_expl_rate_overall_10: +2.36,home_adj_off_expl_rate_overall_10: +1.20,away_off_eckel_rate: -1.18,3.0589147401866645,0.4025343791530957,1,,
2024,13,401643837,2024-11-23 15:30:00-05:00,Coastal Carolina,Georgia Southern,False,DraftKings,-2.0,59.5,1.4275472315007234,55.00220756430311,0.5724527684992766,4.497792435696887,none,none,9.0,9.0,away_adj_def_epa_pp: +2.03,away_adj_def_sr: +1.97,home_adj_def_sr: -1.51,away_off_eckel_rate: -2.73,away_adj_def_expl_rate_rush: +2.14,away_adj_def_sr: +1.48,0.5724791111930085,2.064531591352001,1,,
2024,13,401628560,2024-11-23 15:30:00-05:00,Nebraska,Wisconsin,False,DraftKings,-1.5,40.5,1.879669583067454,53.09412764981515,0.3796695830674539,12.59412764981515,none,over,9.0,9.0,home_off_eckel_rate: +2.27,away_off_eckel_rate: +1.22,home_adj_off_epa_pp: -1.07,away_adj_off_expl_rate_overall_10: +1.64,away_off_finish_pts_per_opp: +1.40,away_adj_off_sr: -1.32,1.6376713917611978,0.8500958373241261,1,,1.0
2024,13,401628557,2024-11-23 15:30:00-05:00,Michigan,Northwestern,False,DraftKings,-10.5,35.5,8.105316668563786,45.54270000340672,2.394683331436214,10.042700003406717,none,over,10.0,9.0,home_off_eckel_rate: -2.80,away_off_eckel_rate: +2.04,away_adj_off_epa_pp: +1.99,home_adj_def_expl_rate_rush: -2.23,home_off_eckel_rate: -1.62,away_adj_off_ypp: -1.56,1.3755297738308483,2.340420642535811,1,,1.0
2024,13,401636932,2024-11-23 15:30:00-05:00,Kansas,Colorado,True,Bovada,2.5,59.0,-2.3589075906313166,62.73376178372691,0.1410924093686834,3.733761783726912,none,none,9.0,9.0,neutral_site: -4.03,home_adj_off_epa_pp: +2.53,away_adj_def_epa_pp: -1.39,home_adj_off_expl_rate_overall_30: +2.25,away_adj_def_sr: -1.81,home_adj_off_sr: +1.74,2.3937928560660056,2.6170191079772493,1,,
2024,13,401643766,2024-11-23 15:30:00-05:00,Utah State,San Diego State,False,DraftKings,-5.0,60.0,5.036057196629253,53.39136727501129,0.0360571966292528,6.608632724988709,none,under,9.0,9.0,home_adj_def_ypp: -2.92,home_adj_def_sr: -2.15,away_adj_def_epa_pp: +1.79,away_adj_def_expl_rate_overall_20: +2.23,away_adj_def_expl_rate_overall_10: +2.15,home_adj_off_expl_rate_overall_20: -2.09,3.79413143816632,1.089800016885878,1,,0.0
2024,13,401628427,2024-11-23 16:00:00-05:00,Arkansas,Louisiana Tech,False,DraftKings,-23.5,48.5,19.19528959688446,55.05372076590602,4.304710403115539,6.5537207659060215,none,over,9.0,9.0,home_adj_off_epa_pp: +3.61,away_adj_off_epa_pp: +3.09,same_conference: +2.22,home_adj_off_expl_rate_overall_30: +2.16,home_adj_off_expl_rate_overall_20: +2.12,away_adj_off_expl_rate_overall_10: -1.94,0.8894482362400429,2.762473554784698,1,,1.0
2024,13,401635617,2024-11-23 16:00:00-05:00,Louisville,Pittsburgh,False,DraftKings,-7.0,57.0,8.390231516808901,56.18311746856871,1.3902315168089014,0.8168825314312897,none,none,9.0,9.0,home_adj_off_epa_pp: +2.16,home_adj_def_sr: +1.94,home_adj_def_ypp: +1.24,away_adj_def_sr: -2.36,home_adj_def_ypp: +1.94,home_adj_off_epa_pp: +1.64,0.4177133064144661,0.0921521214788114,1,,
