edge_threshold,std_dev_threshold,picks,wins,hit_rate
6.0,1.0,47,27,0.574468085106383
6.0,1.5,65,38,0.5846153846153846
6.0,2.0,97,56,0.5773195876288659
6.0,2.5,117,64,0.5470085470085471
6.0,3.0,133,73,0.5488721804511278
6.0,3.5,141,76,0.5390070921985816
6.0,4.0,153,83,0.5424836601307189
6.0,4.5,163,88,0.5398773006134969
6.0,5.0,168,92,0.5476190476190477
6.0,5.5,170,93,0.5470588235294118
6.0,6.0,171,93,0.543859649122807
6.0,6.5,173,94,0.5433526011560693
6.0,7.0,174,94,0.5402298850574713
