season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,bet_units,pick_win
2024,10,401643820,2024-10-29 19:30:00-04:00,Texas State,Louisiana,False,DraftKings,-4.0,60.5,11.0516994793687,59.24221915708073,7.0516994793687005,1.2577808429192672,home,none,6.0,6.0,1,0
2024,10,401641012,2024-10-29 20:00:00-04:00,Sam Houston,Louisiana Tech,False,DraftKings,-10.5,45.5,5.322826662408822,52.70299693824895,5.177173337591178,7.202996938248951,away,none,8.0,6.0,1,1
2024,10,401641020,2024-10-30 19:30:00-04:00,Western Kentucky,Kennesaw State,False,DraftKings,-24.0,49.0,14.500089550493142,52.1652309231044,9.499910449506858,3.165230923104403,away,none,6.0,6.0,1,1
2024,10,401645356,2024-10-31 19:30:00-04:00,Charlotte,Tulane,False,DraftKings,14.5,55.5,-5.231279359747672,53.76849875226332,9.268720640252328,1.731501247736681,home,none,7.0,7.0,1,0
2024,10,401645357,2024-11-01 19:30:00-04:00,Florida Atlantic,South Florida,False,DraftKings,1.5,48.0,6.892236840163882,52.83753012924902,8.392236840163882,4.837530129249018,home,none,6.0,6.0,1,0
2024,10,401643747,2024-11-01 20:00:00-04:00,Boise State,San Diego State,False,DraftKings,-24.5,55.5,15.869217520385956,58.84329331251198,8.630782479614043,3.3432933125119817,away,none,6.0,6.0,1,0
2024,10,401643746,2024-11-02 12:00:00-04:00,Army,Air Force,False,DraftKings,-18.0,38.5,22.54944811294135,55.06574823882323,4.549448112941349,16.565748238823232,home,over,6.0,6.0,1,0
2024,10,401644757,2024-11-02 12:00:00-04:00,Akron,Buffalo,False,DraftKings,-1.0,49.0,-2.728499318679625,53.69295412690463,3.728499318679625,4.692954126904631,away,none,7.0,7.0,1,1
2024,10,401644758,2024-11-02 12:00:00-04:00,Eastern Michigan,Toledo,False,DraftKings,10.0,54.5,-3.7295859771980657,55.54442779770968,6.270414022801934,1.0444277977096803,home,none,7.0,7.0,1,1
2024,10,401628539,2024-11-02 12:00:00-04:00,Penn State,Ohio State,False,DraftKings,3.0,47.5,6.221000880960052,55.64402523711994,9.221000880960052,8.14402523711994,home,over,7.0,7.0,1,0
2024,10,401635601,2024-11-02 12:00:00-04:00,Miami,Duke,False,DraftKings,-21.0,55.5,15.797097240275717,59.670514999547855,5.202902759724283,4.170514999547855,away,none,7.0,7.0,1,0
2024,10,401628406,2024-11-02 12:00:00-04:00,Arkansas,Ole Miss,False,DraftKings,8.0,54.0,-3.712295166666925,53.75178555861707,4.287704833333075,0.2482144413829274,home,none,7.0,7.0,1,0
2024,10,401628538,2024-11-02 12:00:00-04:00,Purdue,Northwestern,False,DraftKings,-3.0,44.5,-3.316706618018433,55.93440260649775,6.316706618018433,11.434402606497748,away,over,6.0,7.0,1,1
2024,10,401628533,2024-11-02 12:00:00-04:00,Illinois,Minnesota,False,DraftKings,2.5,47.0,4.068239813605315,62.33977941707051,6.568239813605315,15.33977941707051,home,over,7.0,7.0,1,0
2024,10,401628407,2024-11-02 12:45:00-04:00,Auburn,Vanderbilt,False,DraftKings,-7.5,48.0,3.654979099061219,57.6913729091967,3.845020900938781,9.6913729091967,away,over,7.0,7.0,1,1
2024,10,401636916,2024-11-02 15:30:00-04:00,UCF,Arizona,False,DraftKings,-6.5,55.0,10.152373706604918,57.25464145919712,3.6523737066049176,2.254641459197124,home,none,7.0,7.0,1,1
2024,10,401636914,2024-11-02 15:30:00-04:00,Iowa State,Texas Tech,False,DraftKings,-13.5,55.0,8.245191412203615,54.151916052693096,5.254808587796385,0.848083947306904,away,none,6.0,7.0,1,1
2024,10,401636913,2024-11-02 15:30:00-04:00,Houston,Kansas State,False,DraftKings,12.5,46.5,-7.240756307783727,53.911899841963184,5.259243692216273,7.411899841963184,home,none,8.0,7.0,1,1
2024,10,401628408,2024-11-02 15:30:00-04:00,Georgia,Florida,True,DraftKings,-14.5,52.5,6.727462000494553,57.99031014325651,7.772537999505447,5.490310143256508,away,none,6.0,6.0,1,1
2024,10,401628537,2024-11-02 15:30:00-04:00,Nebraska,UCLA,False,DraftKings,-7.5,38.5,12.129987063615454,52.14066884175618,4.629987063615454,13.64066884175618,home,over,7.0,7.0,1,0
2024,10,401628536,2024-11-02 15:30:00-04:00,Michigan,Oregon,False,DraftKings,14.5,45.5,-7.049023364306111,53.31477024720137,7.450976635693889,7.814770247201373,home,over,8.0,7.0,1,0
2024,10,401628409,2024-11-02 16:15:00-04:00,Mississippi State,Massachusetts,False,DraftKings,-19.5,59.5,4.52610645373562,59.67920726396806,14.97389354626438,0.1792072639680597,away,none,7.0,6.0,1,0
2024,10,401635600,2024-11-02 19:30:00-04:00,Clemson,Louisville,False,DraftKings,-11.0,62.5,2.2676380954715163,58.088478122817314,8.732361904528483,4.411521877182686,away,none,7.0,7.0,1,1
2024,10,401628540,2024-11-02 19:30:00-04:00,Washington,USC,False,DraftKings,2.0,55.0,10.487458224398432,57.98331794184647,12.487458224398432,2.9833179418464653,home,none,7.0,8.0,1,1
2024,10,401628535,2024-11-02 19:30:00-04:00,Iowa,Wisconsin,False,DraftKings,-2.5,40.0,-3.0785103654683463,55.4088606329296,5.578510365468347,15.408860632929596,away,over,7.0,7.0,1,0
2024,10,401628412,2024-11-02 19:45:00-04:00,Tennessee,Kentucky,False,DraftKings,-17.5,45.5,10.353953974132487,51.55191048250894,7.146046025867511,6.051910482508937,away,none,6.0,8.0,1,1
