season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,predicted_spread_std_dev,predicted_total_std_dev,bet_units,pick_win,total_pick_win
2024,6,401643722,2024-10-05 12:00:00-04:00,Air Force,Navy,False,DraftKings,10.0,37.0,-14.071828898810397,49.56599444156495,4.071828898810397,12.565994441564952,none,none,3.0,3.0,home_off_eckel_rate: -5.56,home_adj_off_epa_pp: -5.41,away_adj_off_epa_pp: -3.38,away_havoc_rate: -4.81,home_adj_off_epa_pp: -2.16,away_adj_off_expl_rate_rush: +1.93,0.8504868500589052,1.7403716526530424,1,,
2024,6,401628509,2024-10-05 12:00:00-04:00,Wisconsin,Purdue,False,DraftKings,-12.0,44.5,20.70334450941301,58.30856849390361,8.703344509413014,13.808568493903609,none,none,3.0,3.0,away_adj_off_epa_pp: +4.74,away_adj_def_epa_pp: +4.08,away_adj_off_sr: +3.88,home_adj_off_expl_rate_rush: +3.44,away_adj_off_epa_pp: -3.29,home_adj_off_epa_pp: +3.20,6.99682937461883,0.9729317943894848,1,,
2024,6,401645338,2024-10-05 13:00:00-04:00,UAB,Tulane,False,DraftKings,19.5,52.0,-2.408594964792324,52.5095377069341,17.091405035207675,0.509537706934104,none,none,3.0,4.0,away_adj_def_epa_pp: -2.50,home_adj_off_epa_pp: -1.63,home_adj_def_ypp: +1.35,home_adj_def_ypp: +2.41,home_adj_off_epa_pp: -2.32,home_stuff_rate: +1.69,1.9196081662512616,2.278845121576921,1,,
2024,6,401644741,2024-10-05 14:00:00-04:00,Ball State,Western Michigan,False,DraftKings,10.0,57.5,-18.085903762103744,55.28136394639196,8.085903762103744,2.218636053608037,none,none,3.0,3.0,home_adj_def_epa_pp: -7.56,home_adj_off_epa_pp: -6.18,home_adj_def_ypp: -5.51,home_adj_off_epa_pp: -4.29,home_adj_def_epa_pp: +2.01,home_adj_def_expl_rate_rush: +1.86,0.8531673803071512,0.1718372389998812,1,,
2024,6,401628382,2024-10-05 15:30:00-04:00,South Carolina,Ole Miss,False,DraftKings,10.0,53.0,-12.267105163167146,57.07488137272115,2.2671051631671464,4.074881372721151,none,none,4.0,4.0,away_adj_off_epa_pp: -3.72,away_adj_off_sr: -3.59,away_adj_def_sr: -2.76,away_adj_off_epa_pp: +2.97,away_adj_def_ypp: +1.97,home_adj_off_epa_pp: -1.67,4.55071173376862,1.750730422302485,1,,
2024,6,401644740,2024-10-05 15:30:00-04:00,Akron,Bowling Green,False,DraftKings,17.0,48.5,-9.635169958495784,51.178891201527904,7.364830041504215,2.678891201527904,none,none,4.0,3.0,home_off_eckel_rate: -6.18,home_adj_def_sr: -4.27,home_adj_off_epa_pp: -3.26,home_adj_def_expl_rate_pass: -2.54,away_off_eckel_rate: -1.74,home_adj_def_epa_pp: +1.69,6.797278604982053,2.971844749869064,1,,
2024,6,401644684,2024-10-05 15:30:00-04:00,Toledo,Miami (OH),False,DraftKings,-4.5,44.0,3.9388143831314495,43.8886881222552,0.5611856168685496,0.1113118777447965,none,none,3.0,4.0,home_adj_off_epa_pp: -4.09,home_adj_def_sr: +2.58,home_adj_off_sr: -2.12,home_adj_off_epa_pp: -3.45,away_adj_def_expl_rate_rush: -1.81,home_adj_def_expl_rate_overall_10: -1.45,2.760736991272303,3.565001732617386,1,,
2024,6,401643799,2024-10-05 15:30:00-04:00,Marshall,App State,False,DraftKings,-3.0,56.5,8.52105154489541,63.12624078866126,5.5210515448954105,6.626240788661264,none,none,3.0,3.0,away_adj_def_epa_pp: +3.87,away_adj_def_ypp: +3.42,away_adj_off_epa_pp: +3.31,away_adj_def_expl_rate_rush: +3.13,away_adj_def_epa_pp: +2.20,away_havoc_rate: +1.91,6.108445311115731,1.228593984550045,1,,
2024,6,401628504,2024-10-05 15:30:00-04:00,Ohio State,Iowa,False,DraftKings,-17.0,46.0,15.30470486835376,61.08497669640319,1.6952951316462386,15.084976696403189,none,none,4.0,3.0,home_adj_off_epa_pp: +7.53,home_off_eckel_rate: +3.00,home_adj_off_sr: +2.15,home_adj_off_epa_pp: +3.19,home_adj_off_expl_rate_overall_20: +2.35,away_adj_off_expl_rate_overall_10: -1.88,1.5281210961428489,0.3237390369682806,1,,
2024,6,401628503,2024-10-05 15:30:00-04:00,Northwestern,Indiana,True,DraftKings,12.5,40.5,-8.86974058627501,58.03767432923223,3.630259413724991,17.537674329232225,none,none,3.0,4.0,neutral_site: -4.08,away_off_eckel_rate: -2.54,away_adj_off_epa_pp: -2.03,home_stuff_rate: -2.82,away_adj_off_sr: +1.69,home_adj_off_epa_pp: -1.52,4.779773645356496,0.5922795549505864,1,,
