threshold,picks,wins,hit_rate
3.0,319,104,0.32601880877742945
3.5,287,104,0.3623693379790941
4.0,260,104,0.4
4.5,228,104,0.45614035087719296
5.0,211,104,0.4928909952606635
5.5,194,93,0.4793814432989691
6.0,179,87,0.4860335195530726
6.5,162,80,0.49382716049382713
7.0,150,71,0.47333333333333333
