season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,bet_units
2024,9,401640984,2024-10-22 19:30:00-04:00,Florida International,Sam Houston,True,Bovada,5.0,47.0,-3.2760357289749287,51.88267243696483,1.7239642710250713,4.882672436964832,none,none,6.0,7.0,1
2024,9,401641011,2024-10-22 20:00:00-04:00,Louisiana Tech,UTEP,False,Bovada,-6.5,49.0,4.818278095732348,50.63664858430243,1.6817219042676523,1.6366485843024279,none,none,5.0,6.0,1
2024,9,401640993,2024-10-23 19:00:00-04:00,Kennesaw State,Liberty,False,Bovada,27.0,48.0,-20.235388452957167,50.85797635471891,6.764611547042833,2.8579763547189074,home,none,5.0,4.0,1
2024,9,401641003,2024-10-23 19:30:00-04:00,Jacksonville State,Middle Tennessee,False,Bovada,-20.5,64.5,20.363634609674104,60.447224426588264,0.13636539032589567,4.052775573411736,none,none,6.0,6.0,1
2024,9,401643815,2024-10-24 19:00:00-04:00,Old Dominion,Georgia Southern,False,Bovada,1.0,52.0,1.9581086292025502,54.0860213593478,2.9581086292025502,2.0860213593477965,none,none,7.0,6.0,1
2024,9,401634770,2024-10-24 19:30:00-04:00,Pittsburgh,Syracuse,False,Bovada,-5.0,62.5,6.738068449969395,60.5106159072744,1.7380684499693952,1.9893840927256008,none,none,5.0,5.0,1
2024,9,401634771,2024-10-25 19:30:00-04:00,Boston College,Louisville,False,Bovada,7.0,54.0,-2.8920030306986204,54.69550186110964,4.10799696930138,0.6955018611096406,home,none,6.0,6.0,1
2024,9,401643740,2024-10-25 22:30:00-04:00,UNLV,Boise State,False,Bovada,4.0,64.0,4.945619357911763,60.41532383403001,8.945619357911763,3.584676165969988,home,none,6.0,5.0,1
2024,9,401628532,2024-10-25 23:00:00-04:00,USC,Rutgers,False,Bovada,-14.0,57.0,12.186180460670878,58.749048973978894,1.8138195393291223,1.7490489739788941,none,none,7.0,6.0,1
2024,9,401635598,2024-10-26 12:00:00-04:00,Virginia,North Carolina,False,Bovada,-3.5,58.5,4.747790104212365,54.747826811302595,1.2477901042123651,3.7521731886974052,none,none,6.0,6.0,1
2024,9,401645353,2024-10-26 12:00:00-04:00,Memphis,Charlotte,False,Bovada,-17.0,56.5,3.3013791170580817,52.13720914761087,13.698620882941919,4.362790852389132,away,none,6.0,6.0,1
2024,9,401644755,2024-10-26 12:00:00-04:00,Ohio,Buffalo,False,Bovada,-4.0,46.5,13.886733120843147,48.640165352355396,9.886733120843147,2.140165352355396,home,none,6.0,6.0,1
2024,9,401635597,2024-10-26 12:00:00-04:00,Virginia Tech,Georgia Tech,False,Bovada,-11.0,52.0,0.4027264688329484,56.48763587305767,10.597273531167051,4.48763587305767,away,none,7.0,7.0,1
2024,9,401645354,2024-10-26 12:00:00-04:00,North Texas,Tulane,False,Bovada,7.5,70.5,-3.994091196422771,59.51891700306403,3.505908803577229,10.981082996935967,home,under,6.0,6.0,1
2024,9,401628526,2024-10-26 12:00:00-04:00,Indiana,Washington,False,Bovada,-5.5,54.0,8.432480665015392,61.07212999558447,2.932480665015392,7.0721299955844685,none,none,6.0,6.0,1
2024,9,401628983,2024-10-26 12:00:00-04:00,Navy,Notre Dame,True,Bovada,14.0,50.5,3.086449316731047,56.295296047311965,17.08644931673105,5.795296047311965,home,none,5.0,7.0,1
2024,9,401628530,2024-10-26 12:00:00-04:00,Ohio State,Nebraska,False,DraftKings,-25.0,48.5,13.05025933418914,56.55394924496751,11.94974066581086,8.053949244967512,away,over,6.0,6.0,1
2024,9,401628402,2024-10-26 12:00:00-04:00,Ole Miss,Oklahoma,False,DraftKings,-19.0,50.0,16.58955298349315,51.052690457867286,2.4104470165068506,1.0526904578672855,none,none,6.0,7.0,1
2024,9,401628403,2024-10-26 12:45:00-04:00,Mississippi State,Arkansas,False,Bovada,7.5,55.0,-7.897751502203615,58.64971507465241,0.3977515022036151,3.6497150746524127,none,none,6.0,6.0,1
2024,9,401643816,2024-10-26 13:00:00-04:00,App State,Georgia State,False,Bovada,-7.5,59.0,2.8750325024393137,57.710017261115944,4.624967497560686,1.2899827388840563,away,none,5.0,5.0,1
2024,9,401645352,2024-10-26 14:00:00-04:00,East Carolina,Temple,False,Bovada,-8.5,48.5,9.846506107244421,51.773402633943824,1.346506107244421,3.2734026339438245,none,none,6.0,7.0,1
2024,9,401644687,2024-10-26 14:00:00-04:00,Miami (OH),Central Michigan,False,Bovada,-10.5,48.5,6.859406655263104,53.62254572962203,3.640593344736896,5.122545729622033,away,none,7.0,6.0,1
2024,9,401643817,2024-10-26 15:30:00-04:00,James Madison,Southern Miss,False,Bovada,-24.0,54.0,22.70528426658527,55.13426031736839,1.29471573341473,1.134260317368387,none,none,6.0,6.0,1
2024,9,401636910,2024-10-26 15:30:00-04:00,TCU,Texas Tech,False,Bovada,-5.0,66.0,2.6751741112485017,61.597631110080805,2.3248258887514983,4.402368889919195,none,none,6.0,6.0,1
2024,9,401644754,2024-10-26 15:30:00-04:00,Toledo,Bowling Green,False,ESPN Bet,-1.5,47.5,2.460474783589903,52.5005245479388,0.9604747835899028,5.000524547938802,none,none,6.0,6.0,1
2024,9,401644753,2024-10-26 15:30:00-04:00,Ball State,Northern Illinois,False,Bovada,13.5,47.5,-9.669902189643757,53.82631803948677,3.830097810356243,6.326318039486772,home,none,6.0,6.0,1
