threshold,picks,wins,hit_rate
1.0,406,209,0.5147783251231527
1.5,377,189,0.5013262599469496
2.0,346,174,0.5028901734104047
2.5,321,159,0.4953271028037383
3.0,294,147,0.5
3.5,266,135,0.5075187969924813
4.0,231,120,0.5194805194805194
4.5,208,111,0.5336538461538461
5.0,195,103,0.5282051282051282
5.5,174,93,0.5344827586206896
6.0,160,87,0.54375
6.5,144,79,0.5486111111111112
7.0,132,73,0.553030303030303
