game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401121950,10/09/2019,08:00 PM,App State @ Louisiana,Louisiana,App State,Away,-3.0,10.13,13.13,High,77.72,10.13,Over,70.0,77.72,7.719999999999999,401121950,7,17,Win,Loss,-10,24
401112477,10/10/2019,08:00 PM,Syracuse @ NC State,NC State,Syracuse,Away,-4.5,7.37,11.87,High,53.91,7.37,No Bet,56.0,53.91,0.0,401112477,16,10,Loss,No Bet,6,26
401121951,10/10/2019,09:15 PM,UL Monroe @ Texas State,Texas State,UL Monroe,No Bet,3.5,4.09,0.0,,59.37,4.09,No Bet,60.5,59.37,0.0,401121951,14,24,No Bet,No Bet,-10,38
401117522,10/11/2019,08:00 PM,Colorado State @ New Mexico,New Mexico,Colorado State,No Bet,4.0,3.32,0.0,,74.99,3.32,Over,66.5,74.99,8.489999999999995,401117522,21,35,No Bet,Loss,-14,56
401112478,10/11/2019,08:00 PM,Virginia @ Miami,Miami,Virginia,Away,-2.5,3.18,5.68,High,57.49,3.18,Over,44.5,57.49,12.990000000000002,401112478,17,9,Loss,Loss,8,26
401114186,10/11/2019,10:00 PM,Colorado @ Oregon,Oregon,Colorado,Away,-22.5,19.59,42.09,High,59.38,19.59,No Bet,61.5,59.38,0.0,401114186,45,3,Loss,No Bet,42,48
401117881,10/12/2019,12:00 PM,Memphis @ Temple,Temple,Memphis,Home,3.5,-0.06,3.56,High,52.49,-0.06,No Bet,50.0,52.49,0.0,401117881,30,28,Win,No Bet,2,58
401119278,10/12/2019,12:00 PM,Miami (OH) @ Western Michigan,Western Michigan,Miami (OH),Away,-12.0,14.52,26.52,High,66.17,14.52,Over,57.5,66.17,8.670000000000002,401119278,38,16,Loss,Loss,22,54
401110817,10/12/2019,12:00 PM,South Carolina @ Georgia,Georgia,South Carolina,Away,-20.5,18.74,39.239999999999995,High,53.92,18.74,No Bet,52.0,53.92,0.0,401110817,17,20,Win,No Bet,-3,37
401110821,10/12/2019,12:00 PM,Mississippi State @ Tennessee,Tennessee,Mississippi State,Home,5.0,-3.7,8.7,High,56.88,-3.7,Over,52.5,56.88,4.380000000000003,401110821,20,10,Win,Loss,10,30
401112162,10/12/2019,12:00 PM,Rutgers @ Indiana,Indiana,Rutgers,Away,-27.5,27.97,55.47,High,55.22,27.97,Over,50.0,55.22,5.219999999999999,401112162,35,0,Loss,Loss,35,35
401119280,10/12/2019,12:00 PM,Toledo @ Bowling Green,Bowling Green,Toledo,Home,27.0,-14.58,41.58,High,55.8,-14.58,Under,65.0,55.8,9.200000000000005,401119280,20,7,Win,Win,13,27
401112206,10/12/2019,12:00 PM,Maryland @ Purdue,Purdue,Maryland,Home,4.0,-10.93,14.93,High,61.23,-10.93,Over,52.0,61.23,9.229999999999997,401112206,40,14,Win,Win,26,54
401112150,10/12/2019,12:00 PM,Michigan @ Illinois,Illinois,Michigan,Home,24.5,-4.39,28.89,High,53.38,-4.39,Over,49.0,53.38,4.380000000000003,401112150,25,42,Win,Win,-17,67
401112118,10/12/2019,12:00 PM,Oklahoma @ Texas,Texas,Oklahoma,Home,11.0,-9.05,20.05,High,70.75,-9.05,Under,78.5,70.75,7.75,401112118,27,34,Win,Win,-7,61
401112480,10/12/2019,12:30 PM,Georgia Tech @ Duke,Duke,Georgia Tech,Away,-17.5,22.08,39.58,High,52.39,22.08,Over,47.5,52.39,4.890000000000001,401112480,41,23,Loss,Win,18,64
401119276,10/12/2019,02:00 PM,Ball State @ Eastern Michigan,Eastern Michigan,Ball State,Away,-2.0,2.75,4.75,High,65.18,2.75,Over,57.0,65.18,8.180000000000007,401119276,23,29,Win,Loss,-6,52
401114283,10/12/2019,02:30 PM,Old Dominion @ Marshall,Marshall,Old Dominion,Away,-16.5,10.61,27.11,High,47.41,10.61,No Bet,46.5,47.41,0.0,401114283,31,17,Win,No Bet,14,48
401114343,10/12/2019,03:00 PM,New Mexico State @ Central Michigan,Central Michigan,New Mexico State,Away,-10.0,19.06,29.06,High,57.43,19.06,No Bet,56.5,57.43,0.0,401114343,42,28,Loss,No Bet,14,70
401117879,10/12/2019,03:30 PM,Cincinnati @ Houston,Houston,Cincinnati,Home,10.0,5.39,4.61,High,52.8,5.39,No Bet,50.5,52.8,0.0,401117879,23,38,Loss,No Bet,-15,61
401114157,10/12/2019,03:30 PM,Washington State @ Arizona State,Arizona State,Washington State,Away,2.5,5.42,2.92,High,58.3,5.42,No Bet,60.0,58.3,0.0,401114157,38,34,Loss,No Bet,4,72
401119279,10/12/2019,03:30 PM,Northern Illinois @ Ohio,Ohio,Northern Illinois,Away,-4.5,13.63,18.130000000000003,High,47.88,13.63,Under,51.0,47.88,3.1199999999999974,401119279,36,39,Win,Loss,-3,75
401110822,10/12/2019,03:30 PM,Alabama @ Texas A&M,Texas A&M,Alabama,Home,17.0,-7.83,24.83,High,63.44,-7.83,No Bet,61.0,63.44,0.0,401110822,28,47,Loss,No Bet,-19,75
401112217,10/12/2019,03:30 PM,Michigan State @ Wisconsin,Wisconsin,Michigan State,Away,-8.0,17.31,25.31,High,50.13,17.31,Over,39.0,50.13,11.130000000000004,401112217,38,0,Loss,Loss,38,38
401119277,10/12/2019,03:30 PM,Kent State @ Akron,Akron,Kent State,Home,14.5,-7.83,22.33,High,57.75,-7.83,No Bet,57.5,57.75,0.0,401119277,3,26,Loss,No Bet,-23,29
401117214,10/12/2019,03:30 PM,BYU @ South Florida,South Florida,BYU,No Bet,4.5,6.83,0.0,,54.59,6.83,Over,50.0,54.59,4.590000000000003,401117214,27,23,No Bet,Push,4,50
401112479,10/12/2019,03:30 PM,Florida State @ Clemson,Clemson,Florida State,Away,-25.5,20.98,46.48,High,56.14,20.98,Under,60.5,56.14,4.359999999999999,401112479,45,14,Loss,Win,31,59
401117880,10/12/2019,03:45 PM,UConn @ Tulane,Tulane,UConn,Away,-33.5,30.85,64.35,High,57.39,30.85,No Bet,57.0,57.39,0.0,401117880,49,7,Loss,No Bet,42,56
401110823,10/12/2019,04:00 PM,UNLV @ Vanderbilt,Vanderbilt,UNLV,Away,-16.5,7.85,24.35,High,63.47,7.85,Over,57.5,63.47,5.969999999999999,401110823,10,34,Win,Loss,-24,44
401117524,10/12/2019,04:00 PM,San José State @ Nevada,Nevada,San José State,Home,-3.0,-5.92,2.92,High,61.06,-5.92,No Bet,60.5,61.06,0.0,401117524,41,38,Push,No Bet,3,79
401112078,10/12/2019,04:00 PM,Texas Tech @ Baylor,Baylor,Texas Tech,Away,-10.5,15.49,25.99,High,56.26,15.49,No Bet,58.5,56.26,0.0,401112078,33,30,Win,No Bet,3,63
401112089,10/12/2019,04:00 PM,Iowa State @ West Virginia,West Virginia,Iowa State,Home,9.5,-6.21,15.71,High,60.26,-6.21,Over,55.0,60.26,5.259999999999998,401112089,14,38,Loss,Loss,-24,52
401114280,10/12/2019,04:00 PM,Middle Tennessee @ Florida Atlantic,Florida Atlantic,Middle Tennessee,Away,-13.0,18.82,31.82,High,60.25,18.82,Under,63.5,60.25,3.25,401114280,28,13,Loss,Win,15,41
401112482,10/12/2019,04:00 PM,Rhode Island @ Virginia Tech,Virginia Tech,Rhode Island,Away,-28.0,8.35,36.35,High,59.29,8.35,Under,65.5,59.29,6.210000000000001,401112482,34,17,Win,Win,17,51
401121952,10/12/2019,05:00 PM,Georgia State @ Coastal Carolina,Coastal Carolina,Georgia State,Away,-3.5,12.96,16.46,High,72.03,12.96,Over,64.5,72.03,7.530000000000001,401121952,21,31,Win,Loss,-10,52
401114284,10/12/2019,06:00 PM,UAB @ UTSA,UTSA,UAB,Home,12.5,-5.93,18.43,High,49.64,-5.93,No Bet,47.0,49.64,0.0,401114284,14,33,Loss,No Bet,-19,47
401114285,10/12/2019,07:00 PM,Army @ Western Kentucky,Western Kentucky,Army,No Bet,5.0,3.43,0.0,,48.83,3.43,Over,43.5,48.83,5.329999999999998,401114285,17,8,No Bet,Loss,9,25
401114281,10/12/2019,07:00 PM,Massachusetts @ Louisiana Tech,Louisiana Tech,Massachusetts,Away,-31.5,29.84,61.34,High,62.11,29.84,No Bet,64.5,62.11,0.0,401114281,69,21,Loss,No Bet,48,90
401114282,10/12/2019,07:00 PM,North Texas @ Southern Miss,Southern Miss,North Texas,Away,-3.0,2.56,5.5600000000000005,High,60.03,2.56,No Bet,58.5,60.03,0.0,401114282,45,27,Loss,No Bet,18,72
401110820,10/12/2019,07:00 PM,Ole Miss @ Missouri,Missouri,Ole Miss,Away,-12.0,17.59,29.59,High,50.26,17.59,Under,55.5,50.26,5.240000000000002,401110820,38,27,Win,Loss,11,65
401114279,10/12/2019,07:00 PM,Charlotte @ Florida International,Florida International,Charlotte,Away,-5.5,8.22,13.72,High,61.57,8.22,Over,57.5,61.57,4.07,401114279,48,23,Loss,Win,25,71
401117520,10/12/2019,07:00 PM,Fresno State @ Air Force,Air Force,Fresno State,Away,-2.5,12.84,15.34,High,56.95,12.84,Over,50.5,56.95,6.450000000000003,401117520,43,24,Loss,Win,19,67
401114222,10/12/2019,07:30 PM,USC @ Notre Dame,Notre Dame,USC,Away,-10.5,18.94,29.44,High,55.07,18.94,Under,60.0,55.07,4.93,401114222,30,27,Win,Win,3,57
401110818,10/12/2019,07:30 PM,Arkansas @ Kentucky,Kentucky,Arkansas,Away,-5.0,9.25,14.25,High,53.35,9.25,No Bet,53.0,53.35,0.0,401110818,24,20,Win,No Bet,4,44
401112233,10/12/2019,07:30 PM,Nebraska @ Minnesota,Minnesota,Nebraska,Away,-7.0,7.86,14.86,High,63.71,7.86,Over,47.0,63.71,16.71,401112233,34,7,Loss,Loss,27,41
401117882,10/12/2019,07:30 PM,Navy @ Tulsa,Tulsa,Navy,No Bet,-1.0,-0.87,0.0,,54.46,-0.87,No Bet,52.0,54.46,0.0,401117882,17,45,No Bet,No Bet,-28,62
401112195,10/12/2019,07:30 PM,Penn State @ Iowa,Iowa,Penn State,Home,3.5,-7.88,11.38,High,40.4,-7.88,Under,43.5,40.4,3.1000000000000014,401112195,12,17,Loss,Win,-5,29
401112481,10/12/2019,07:30 PM,Louisville @ Wake Forest,Wake Forest,Louisville,Away,-7.0,10.57,17.57,High,61.04,10.57,Under,65.0,61.04,3.960000000000001,401112481,59,62,Win,Loss,-3,121
401114204,10/12/2019,08:00 PM,Utah @ Oregon State,Oregon State,Utah,Home,14.5,1.41,13.09,High,56.96,1.41,Under,60.0,56.96,3.039999999999999,401114204,7,52,Loss,Win,-45,59
401110819,10/12/2019,08:00 PM,Florida @ LSU,LSU,Florida,Away,-14.0,14.5,28.5,High,60.43,14.5,Over,55.5,60.43,4.93,401110819,42,28,Push,Win,14,70
401117521,10/12/2019,10:15 PM,Hawai'i @ Boise State,Boise State,Hawai'i,Away,-11.5,7.99,19.49,High,57.13,7.99,Under,60.5,57.13,3.3699999999999974,401117521,59,37,Loss,Loss,22,96
401117523,10/12/2019,10:30 PM,Wyoming @ San Diego State,San Diego State,Wyoming,Away,-3.5,4.56,8.059999999999999,High,34.91,4.56,Under,38.0,34.91,3.0900000000000034,401117523,26,22,Loss,Loss,4,48
401114168,10/12/2019,11:00 PM,Washington @ Arizona,Arizona,Washington,Home,6.0,0.37,5.63,High,57.17,0.37,No Bet,60.0,57.17,0.0,401114168,27,51,Loss,No Bet,-24,78
