week,team,rating
1,Air Force,-1.4791122078112982
1,Akron,-1.486683982805476
1,Alabama,-1.4776246084487505
1,App State,-1.4668759521747503
1,Arizona,-1.4603841516709155
1,Arizona State,-1.4684381195073184
1,Arkansas,-1.4816128044808738
1,Arkansas State,-1.4855768543567243
1,Army,-1.5006117327444588
1,Auburn,-1.511329487519985
1,BYU,-1.513508913989224
1,Ball State,-1.5157263814219535
1,Baylor,-1.5439609181536407
1,Boise State,-1.5585979849359433
1,Boston College,-1.5686652257231868
1,Bowling Green,-1.589650892670969
1,Buffalo,-1.6095784534275084
1,California,-1.6256320392272094
1,Central Michigan,-1.6481494292667023
1,Charlotte,-1.6751549763401212
1,Cincinnati,-1.6857135508924357
1,Clemson,-1.6957445283087698
1,Coastal Carolina,-1.7110227433176326
1,Colorado,-1.7097887127800762
1,Colorado State,-1.708516511235936
1,Duke,-1.7230268005726892
1,East Carolina,-1.7234737508371394
1,Eastern Michigan,-1.7228711741866547
1,Florida,-1.7223541507812794
1,Florida Atlantic,-1.7168897022984346
1,Florida International,-1.711141500593858
1,Florida State,-1.7030410934405387
1,Fresno State,-1.7009204447131745
1,Georgia,-1.689625426192457
1,Georgia Southern,-1.6915248868266108
1,Georgia State,-1.6834986514250112
1,Georgia Tech,-1.6761040746449551
1,Hawai'i,-1.6752876533414705
1,Houston,-1.671542197836295
1,Illinois,-1.6538107040380852
1,Indiana,-1.6349937148725877
1,Iowa,-1.6136759935867386
1,Iowa State,-1.6109077503559601
1,Jacksonville State,-1.5982173150549903
1,James Madison,-1.5821371134432956
1,Kansas,-1.5787435607720577
1,Kansas State,-1.56450921458707
1,Kennesaw State,-1.5575170441639408
1,Kent State,-1.5456285331329787
1,Kentucky,-1.535844773036558
1,LSU,-1.5164447728635928
1,Liberty,-1.500355137589017
1,Louisiana,-1.4888137226354075
1,Louisiana Tech,-1.4822048939060333
1,Louisville,-1.4636918641379477
1,Marshall,-1.4568291457417508
1,Maryland,-1.4559245510687804
1,Massachusetts,-1.451869729661566
1,Memphis,-1.4422644438601004
1,Miami,-1.4309882404168104
1,Miami (OH),-1.4271118785856782
