,rating,hdi_lower,hdi_upper
Rutgers,-4.283380169759858,-37.916358112374496,12.411662285965413
Oklahoma,-4.2835107631830285,-37.83036612585099,12.131263036795177
Oregon,-4.284083996132526,-37.96883856432671,12.179353380420261
Purdue,-4.284863693742908,-38.057960479546495,12.02519666250699
Ole Miss,-4.2849929819686,-37.93570376028279,12.362115914346472
Northwestern,-4.285645531968355,-37.73524914394417,12.045045800746893
Old Dominion,-4.286140296489973,-37.887893991345486,12.327068595517005
Ohio State,-4.286373121578691,-37.86637126571437,12.137409143041516
Oklahoma State,-4.286846051410206,-37.9677906780648,12.239690442626701
Penn State,-4.287887387796069,-38.107977290498404,12.281493593880498
Oregon State,-4.287906153416446,-38.09653543280208,12.283408713949164
Pittsburgh,-4.288472211485898,-38.08823181363636,12.226423611790544
Northern Illinois,-4.288573548751571,-37.76134873650562,11.931654380631489
North Texas,-4.288867294101055,-37.720703968241196,12.00828462077372
Notre Dame,-4.288976689918847,-37.818820107093586,12.081148345722532
Rice,-4.291174258658331,-38.0480563408889,12.096279345639237
New Mexico,-4.291451115358118,-37.4116435336002,11.90949813422943
Nevada,-4.291917880829474,-37.624156998577135,11.927964114078456
North Carolina,-4.292946298829056,-37.63372772281676,11.983470646765374
New Mexico State,-4.294415840032876,-37.59311322051227,12.02760264041949
Ohio,-4.295978434709535,-37.56587010891614,12.009839984218964
Michigan State,-4.296866638146697,-37.68742155424579,11.797878384145383
SMU,-4.297445522543741,-37.987761309401826,12.357615474281472
Nebraska,-4.297876190126355,-37.720976278523224,11.881016587837669
Sam Houston,-4.301564973533464,-37.930247567670904,12.318021565852519
South Alabama,-4.302434306322432,-37.92065213922522,12.533625882926094
Navy,-4.303418184406677,-37.721956875545395,11.848979870320514
Middle Tennessee,-4.303929463216977,-37.6836337761221,11.631873473290014
Stanford,-4.304231399795661,-38.11001318348962,12.966833852755252
South Florida,-4.3047544363966335,-37.973969719430926,12.61890645942361
Temple,-4.305398586592784,-37.857129606690314,12.657553693679526
Southern Miss,-4.305447603630356,-38.05882742994835,12.655872912709842
Michigan,-4.305557287753925,-37.58083010617772,11.883765643646049
Mississippi State,-4.305645739272278,-37.552798108820646,11.604993515403738
Minnesota,-4.3062693636428255,-37.55336181236455,11.567906006156294
San Diego State,-4.306429259624328,-37.890636907755265,12.505289422307506
South Carolina,-4.306954877016287,-37.879389508069586,12.728763516023594
Missouri,-4.307127475002042,-37.89126627067096,11.821591170869155
San José State,-4.307663062811083,-38.020437803723226,12.620378880140093
Kent State,-4.307881256494774,-37.83542237584507,11.631381617251819
TCU,-4.308844995379945,-37.99001776195594,12.839211864191904
Syracuse,-4.309067750289026,-37.929361576161,12.906408273941553
Texas,-4.312027791335517,-37.937297937428426,12.608473532949398
Miami (OH),-4.313157345869425,-37.60999284520354,11.843623976661325
NC State,-4.313185441103669,-37.79224945933022,11.8285412410713
Tennessee,-4.313686474596533,-37.816350123676074,12.572197121673813
Tulane,-4.314268528129415,-37.83156156077606,12.435333400511869
