,rating,hdi_lower,hdi_upper
Colorado State,-1.1340972250684591,-18.444301269039297,8.801331638737699
Duke,-1.135166151205801,-18.615512223872912,8.900477333014562
Colorado,-1.1365139305086716,-18.438225579385268,8.667747390100805
Coastal Carolina,-1.1409456229283186,-18.47447073782704,8.559612418164605
East Carolina,-1.1464385104995918,-18.389060061450394,8.771319491403915
Clemson,-1.1508814489050276,-18.318388037032594,8.373558187659748
Auburn,-1.1574962533847273,-18.133137409158614,9.004983906052312
Bowling Green,-1.1590351275743265,-18.304025646194347,8.807831485601152
Eastern Michigan,-1.1593819172581232,-18.50800177660668,8.587721577051095
BYU,-1.1606229868577937,-18.25007464084756,9.11781443789208
Army,-1.1608844397461109,-18.15640872440221,9.205140272411162
Boston College,-1.1612319330663312,-18.37615665633096,8.788896005108175
Florida,-1.1617236366676889,-18.576235831118197,8.707014538965373
Ball State,-1.1618541809490435,-18.257464317129937,8.890809760546237
California,-1.1621443070933557,-18.30549662948009,8.510774345263124
Baylor,-1.1630365695631795,-18.245285014381235,9.052363386617557
Florida Atlantic,-1.1631810040886017,-18.606331432784348,8.810172699175316
Cincinnati,-1.1632152248840748,-18.390677151945045,8.514767827536646
Arizona State,-1.1637899696283547,-18.3215959040756,9.028931876475708
Buffalo,-1.1638599994233492,-18.224805587115057,8.756228181120996
Boise State,-1.1639167578675427,-18.394436066275905,9.29193868379798
Charlotte,-1.1652583020855747,-18.428994352578744,8.736918734033601
Florida International,-1.166030171094457,-18.637298489788385,8.796820539618642
Arkansas,-1.1671318878199242,-18.239980372035973,8.948233453899505
Arizona,-1.1678050386622802,-18.183682235736697,8.997282602605273
Arkansas State,-1.167962632972064,-18.260428301207007,9.02654549099605
Alabama,-1.1681503787617875,-18.16257877039324,8.8944507168574
Central Michigan,-1.1682193554737754,-18.34095323577751,8.790845312045027
Air Force,-1.169083281920664,-18.305509996027908,8.811493306560854
App State,-1.1696333257782183,-18.253934362221884,8.925748638674095
LSU,-1.1718724805659197,-18.454782832450437,8.656622904407142
Georgia,-1.1726531328648124,-18.58285115933118,8.844273426665751
Fresno State,-1.1739342231146972,-18.581766549395784,8.935398409851993
Florida State,-1.174329266977831,-18.471762503773093,9.001946422416406
Akron,-1.1745577406106518,-18.135896194538695,8.955475895091894
Kentucky,-1.17493835607348,-18.47580913501529,8.765021096405917
Georgia Southern,-1.1759477775769327,-18.559862964594064,8.821309958036203
Kansas State,-1.176971228274437,-18.68165262488966,9.097064520055973
Kansas,-1.1770559172246091,-18.70577401703926,9.043133701200656
Georgia State,-1.1781350690618455,-18.47245596826352,8.688268643806863
Liberty,-1.1785150353329434,-18.563915109248814,8.939740851469177
Louisiana Tech,-1.178785092492777,-18.531551524943005,8.95590241467576
Kent State,-1.1793510722195601,-18.704310050849063,8.687707509721648
Houston,-1.179916554698355,-18.624362526077316,8.86286057878105
James Madison,-1.1803820093627477,-18.718749164149663,9.070875438024714
Louisiana,-1.1809163875337991,-18.601727264848254,8.833682106751656
Hawai'i,-1.181370478312379,-18.548293211856397,8.591348039943503
Georgia Tech,-1.1831220628421535,-18.453810771708092,8.867232126083541
Indiana,-1.1837216263203305,-18.554919364825814,8.949732360930234
Iowa State,-1.184670604862477,-18.623351900981167,8.949549907616849
Iowa,-1.1863333239273448,-18.60602571885755,9.066845216908007
Illinois,-1.1865543846554638,-18.538793536566537,8.88819671420353
San José State,-1.1871916460576202,-18.592747888046414,9.070329046071201
Memphis,-1.1911015084807914,-18.80159938476877,8.898447245316342
Louisville,-1.1911461564928059,-18.58700222796077,8.867913763490034
San Diego State,-1.1915113704593963,-18.670803395634398,8.902978120025336
Rice,-1.1917431060820023,-18.68374105027116,9.343420470976806
Massachusetts,-1.1930049437964738,-18.599639807672546,8.746554859375603
Purdue,-1.193789979237079,-18.576263018959096,9.18095915568532
Maryland,-1.1943939444243796,-18.74759646704427,8.97843393279919
SMU,-1.1954449282371642,-18.62289821828787,8.914298814441247
Marshall,-1.1957640121834463,-18.797192443757137,8.926122190087602
Miami,-1.1966643292802845,-18.738088620971695,8.742061348735753
Ohio,-1.1971923233365893,-18.639150734060678,9.003081658920381
South Alabama,-1.1982045456695025,-18.67228530934222,9.042723434926486
Notre Dame,-1.1985819390468457,-18.462613183677952,8.825499104264313
Northern Illinois,-1.1994349270237106,-18.487616820378165,8.90258097846751
Rutgers,-1.200712099036932,-18.63776004872496,8.839094343553391
Syracuse,-1.2008794426256026,-18.51293934149863,9.223604050923495
Pittsburgh,-1.2010387386191186,-18.57436162059025,9.159363097216188
Stanford,-1.2021098578771976,-18.54845569049236,9.255985253715854
Temple,-1.2027318498431965,-18.36859643945151,9.113653870979233
Southern Miss,-1.2027465136126347,-18.57841926124752,9.331367389220533
Northwestern,-1.202880659097825,-18.429101051593015,8.824453549804003
Ohio State,-1.2033136000515605,-18.684369402599117,9.16069104339149
Michigan,-1.2035354285456086,-18.69948796575536,8.802090510944698
Oregon,-1.2036704535653044,-18.54964201401699,8.877540429923231
Penn State,-1.2042180661627115,-18.616808176305195,8.873076984998612
Oregon State,-1.2044413139500676,-18.602614838409913,8.716008501567437
Miami (OH),-1.2046238253366373,-18.75858949511431,8.829247709365793
TCU,-1.2047425618580323,-18.461488200312402,9.154259436593842
Oklahoma State,-1.205079989812402,-18.524460452176843,9.05242581291464
South Florida,-1.206834858248332,-18.555989617721863,9.18566578552567
Ole Miss,-1.2071684859625096,-18.71837450688341,8.949421182450168
Old Dominion,-1.2076080777315852,-18.594184280535956,9.20039601033938
South Carolina,-1.2076666942256693,-18.62216333038121,9.09560228135492
North Carolina,-1.207758369489031,-18.594891843206657,8.786973712849647
Oklahoma,-1.208480030114285,-18.618480628629076,9.058149073011739
New Mexico State,-1.2088252616108175,-18.63298570346594,8.859560766823336
Navy,-1.2108821617633598,-18.618722017914273,9.06558464327302
Texas,-1.2111516695273634,-18.35929514432494,8.922211178039035
North Texas,-1.2115603967244633,-18.46482099142568,8.908892440040137
Tennessee,-1.2120687801848005,-18.369835291218624,8.89274604272601
Nebraska,-1.212168947326353,-18.543553808910698,9.032282076961257
Michigan State,-1.212383419795623,-18.556557288064212,8.702482153300616
Tulsa,-1.2140611004499369,-18.38818165991136,8.904674326363413
Middle Tennessee,-1.2140990748723255,-18.59202997941567,8.666843096220921
Tulane,-1.215538462031392,-18.76932171777907,8.847897335968659
Nevada,-1.2156425285427992,-18.495400474953417,8.926128057306798
UCF,-1.2166511116651046,-18.478346188808462,9.14139364072287
UAB,-1.216784704761509,-18.400969714944253,8.973395959679808
UCLA,-1.2169475851973452,-18.49327258776831,9.22666055900058
Texas A&M,-1.2173520018199004,-18.615408573379316,8.917438401144693
Toledo,-1.2178334636445047,-18.54650856761544,9.098073317418791
New Mexico,-1.2180089789048916,-18.562580994064145,8.731203563996104
Mississippi State,-1.2183302609265585,-18.48644766363339,8.828129584668744
Texas Tech,-1.2184346191070314,-18.444848511877087,9.057072634663509
NC State,-1.2186238112092689,-18.555296951300182,8.970846087502672
Missouri,-1.2205480695475381,-18.672605576161786,8.877068380819058
Texas State,-1.22061839732705,-18.64501737541735,8.920560563180702
