season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units,pick_win,total_pick_win
2023,10,401532433,2023-10-31 19:00:00-04:00,Central Michigan,Northern Illinois,False,Bovada,6.5,48.0,-7.237536898605891,52.71891503602859,0.7375368986058906,4.718915036028591,none,none,7.0,7.0,home_adj_off_epa_pp: -2.67,home_adj_def_epa_pp: -2.58,away_off_eckel_rate: +2.22,home_adj_off_epa_pp: -3.28,home_adj_def_ypp: +0.93,away_off_eckel_rate: -0.91,1,,
2023,10,401532434,2023-10-31 19:30:00-04:00,Toledo,Buffalo,False,ESPN Bet,-15.5,47.5,13.238337988379165,54.00123248314611,2.261662011620837,6.501232483146112,none,over,7.0,7.0,home_havoc_rate: +2.88,away_adj_off_epa_pp: +2.35,away_havoc_rate: +1.45,away_adj_off_epa_pp: -2.74,home_adj_off_epa_pp: +1.73,away_adj_def_expl_rate_overall_10: +0.95,1,,0.0
2023,10,401532435,2023-11-01 19:00:00-04:00,Bowling Green,Ball State,False,ESPN Bet,-4.5,39.5,-4.207046624201068,49.08782806544061,8.707046624201068,9.587828065440604,away,over,7.0,7.0,home_adj_off_epa_pp: -3.54,home_havoc_rate: -2.25,away_adj_off_epa_pp: +2.20,home_adj_off_epa_pp: -4.36,away_adj_off_epa_pp: -2.57,home_off_finish_pts_per_opp: +1.69,1,1.0,1.0
2023,10,401532436,2023-11-01 19:30:00-04:00,Akron,Kent State,False,ESPN Bet,-3.5,40.5,0.7336453991372811,52.982490098890665,2.766354600862719,12.482490098890665,none,over,7.0,7.0,away_off_eckel_rate: +3.80,home_adj_def_epa_pp: -3.65,home_adj_off_epa_pp: -3.60,home_adj_off_epa_pp: -4.43,away_adj_off_epa_pp: -2.17,home_adj_def_ypp: +1.88,1,,1.0
2023,10,401525879,2023-11-02 19:00:00-04:00,Texas Tech,TCU,False,ESPN Bet,-2.5,59.5,-0.8155573047771028,55.960930224927694,3.3155573047771028,3.5390697750723064,none,none,7.0,7.0,away_off_eckel_rate: -2.28,away_adj_off_expl_rate_overall_10: -0.94,away_adj_def_epa_pp: -0.91,away_off_eckel_rate: +0.93,away_adj_off_epa_pp: +0.81,home_adj_off_epa_pp: +0.77,1,,
2023,10,401525539,2023-11-02 19:30:00-04:00,Duke,Wake Forest,False,ESPN Bet,-6.5,40.5,5.621209790309601,50.62243235682644,0.8787902096903988,10.122432356826437,none,over,7.0,7.0,home_adj_def_epa_pp: +2.81,home_off_eckel_rate: -2.71,away_adj_off_epa_pp: +1.69,away_adj_off_epa_pp: -1.98,home_adj_def_ypp: -1.29,home_adj_def_epa_pp: -0.77,1,,1.0
2023,10,401531904,2023-11-02 19:30:00-04:00,Troy,South Alabama,False,ESPN Bet,-7.0,42.5,-0.822194002114816,52.90756082343579,7.822194002114816,10.407560823435787,away,over,7.0,7.0,home_adj_def_epa_pp: +3.66,away_havoc_rate: -2.30,away_off_eckel_rate: -2.06,away_adj_off_epa_pp: +2.03,home_adj_def_ypp: -1.34,away_adj_def_expl_rate_overall_10: -1.08,1,0.0,0.0
2023,10,401525540,2023-11-03 19:30:00-04:00,Syracuse,Boston College,False,ESPN Bet,-0.5,47.5,-7.331894691738418,55.281746681709386,7.831894691738418,7.781746681709386,away,over,7.0,7.0,home_off_eckel_rate: -2.83,away_off_eckel_rate: -1.96,home_adj_off_epa_pp: -1.50,home_adj_off_epa_pp: -1.84,away_adj_off_epa_pp: +1.12,home_adj_def_ypp: +0.92,1,1.0,0.0
2023,10,401532609,2023-11-03 20:00:00-04:00,Wyoming,Colorado State,False,ESPN Bet,-5.5,43.5,2.9321139943060204,52.072053522517066,2.56788600569398,8.572053522517066,none,over,7.0,7.0,away_havoc_rate: +1.75,away_off_eckel_rate: +1.28,home_havoc_rate: +1.00,home_adj_off_epa_pp: -1.06,home_adj_off_expl_rate_pass: -0.65,away_adj_off_epa_pp: -0.61,1,,0.0
2023,10,401520375,2023-11-04 12:00:00-04:00,Rutgers,Ohio State,False,ESPN Bet,18.5,42.5,-12.6714322024393,51.90048518585925,5.8285677975607,9.400485185859251,home,over,7.0,7.0,away_adj_def_epa_pp: -3.49,away_adj_def_sr: -2.31,home_adj_off_epa_pp: -2.26,home_adj_off_epa_pp: -2.78,away_adj_off_epa_pp: +2.32,away_adj_def_sr: -1.43,1,0.0,1.0
