edge_bin,count,mean_residual,std_residual,rmse,mae,median_abs_residual
0-5,226,2.1690007448102504,18.265509945881956,18.393841844870256,14.53870269803129,11.339135377309722
5-10,201,-0.5922516301541618,16.66947587062285,16.679993638928572,12.949613151193642,10.327890067023034
10-15,147,1.7680427457668793,16.53401723008135,16.628280155069728,13.371106244413753,10.478192751853715
15-100,198,2.311152339750701,19.351250213250356,19.488773946899713,15.015149333333403,12.984725357554161
