threshold,picks,wins,hit_rate
3.0,338,96,0.28402366863905326
4.0,287,94,0.32752613240418116
5.0,239,90,0.37656903765690375
5.5,217,88,0.4055299539170507
6.0,199,84,0.4221105527638191
7.0,164,70,0.4268292682926829
