threshold,picks,wins,hit_rate
5.0,198,85,0.4292929292929293
5.5,173,75,0.43352601156069365
6.0,150,67,0.44666666666666666
6.5,136,61,0.4485294117647059
7.0,116,55,0.47413793103448276
7.5,90,47,0.5222222222222223
8.0,76,40,0.5263157894736842
