week,bias
5,-2.7698061972992685
6,-2.199089532279769
7,-3.522448206196896
8,-6.543006299538282
9,-2.17580145090786
10,-3.9245190337766673
11,-2.5743368351806115
12,-3.834117906201763
13,-1.497540732041263
14,-5.741193371645227
15,-10.089854884102282
