week,bias
6,0.0217692522218406
7,-1.2903387528415242
8,-2.3821955089991764
9,-1.8212401191051886
10,-0.00528880147170933
11,-2.9785450238243696
12,-2.5530599036031694
13,-0.1772039297188413
14,-1.2930251417426828
15,-1.8979624362525942
16,-5.316262946429752
