game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401309589,11/16/2021,07:00 PM,Toledo @ Ohio,Ohio,Toledo,Home,7.5,-9.78,17.28,High,52.4,-9.78,Under,57.5,52.4,5.100000000000001,401309589,23,35,Loss,Loss,-12,58
401309588,11/16/2021,07:30 PM,Western Michigan @ Eastern Michigan,Eastern Michigan,Western Michigan,No Bet,6.0,6.51,0.0,,66.13,6.51,No Bet,66.0,66.13,0.0,401309588,22,21,No Bet,No Bet,1,43
401308841,11/16/2021,08:00 PM,Bowling Green @ Miami (OH),Miami (OH),Bowling Green,Away,-17.0,15.3,32.3,High,47.85,15.3,Under,52.0,47.85,4.149999999999999,401308841,34,7,Loss,Win,27,41
401309590,11/17/2021,07:00 PM,Northern Illinois @ Buffalo,Buffalo,Northern Illinois,No Bet,2.0,3.39,0.0,,68.58,3.39,Over,59.0,68.58,9.579999999999998,401309590,27,33,No Bet,Win,-6,60
401309591,11/17/2021,07:00 PM,Central Michigan @ Ball State,Ball State,Central Michigan,No Bet,2.5,3.49,0.0,,57.0,3.49,No Bet,57.0,57.0,0.0,401309591,17,37,No Bet,No Bet,-20,54
401282691,11/18/2021,07:30 PM,Louisville @ Duke,Duke,Louisville,Home,20.5,-14.14,34.64,High,57.13,-14.14,Under,60.5,57.13,3.3699999999999974,401282691,22,62,Loss,Loss,-40,84
401282264,11/19/2021,08:00 PM,Southern Miss @ Louisiana Tech,Louisiana Tech,Southern Miss,Away,-15.0,15.5,30.5,High,53.69,15.5,Over,47.5,53.69,6.189999999999998,401282264,19,35,Win,Win,-16,54
401310747,11/19/2021,09:00 PM,Air Force @ Nevada,Nevada,Air Force,No Bet,2.0,2.22,0.0,,56.3,2.22,No Bet,54.0,56.3,0.0,401310747,39,41,No Bet,No Bet,-2,80
401309899,11/19/2021,09:00 PM,Arizona @ Washington State,Washington State,Arizona,Away,-15.0,14.3,29.3,High,46.6,14.3,Under,52.5,46.6,5.899999999999999,401309899,44,18,Loss,Loss,26,62
401301045,11/19/2021,09:00 PM,Memphis @ Houston,Houston,Memphis,Away,-9.5,14.35,23.85,High,62.49,14.35,No Bet,60.0,62.49,0.0,401301045,31,13,Loss,No Bet,18,44
401310751,11/19/2021,11:30 PM,San Diego State @ UNLV,UNLV,San Diego State,Home,11.0,-8.14,19.14,High,47.7,-8.14,Over,41.0,47.7,6.700000000000003,401310751,20,28,Win,Win,-8,48
401282136,11/20/2021,12:00 PM,Charleston Southern @ Georgia,Georgia,Charleston Southern,Away,-53.0,31.7,84.7,High,51.65,31.7,Under,59.0,51.65,7.350000000000001,401282136,56,7,Win,Loss,49,63
401309592,11/20/2021,12:00 PM,Kent State @ Akron,Akron,Kent State,Home,14.0,-4.24,18.24,High,71.35,-4.24,No Bet,72.0,71.35,0.0,401309592,0,38,Loss,No Bet,-38,38
401286305,11/20/2021,12:00 PM,Massachusetts @ Army,Army,Massachusetts,Away,-37.0,36.35,73.35,High,63.87,36.35,Over,56.0,63.87,7.869999999999997,401286305,33,17,Win,Loss,16,50
401282693,11/20/2021,12:00 PM,Wake Forest @ Clemson,Clemson,Wake Forest,Away,-3.5,1.47,4.97,High,57.83,1.47,No Bet,57.0,57.83,0.0,401282693,48,27,Loss,No Bet,21,75
401282818,11/20/2021,12:00 PM,Rutgers @ Penn State,Penn State,Rutgers,Away,-14.0,13.0,27.0,High,41.66,13.0,Under,45.0,41.66,3.3400000000000034,401282818,28,0,Loss,Win,28,28
401282263,11/20/2021,12:00 PM,Florida Atlantic @ Western Kentucky,Western Kentucky,Florida Atlantic,Away,-11.0,11.09,22.09,High,63.73,11.09,No Bet,64.0,63.73,0.0,401282263,52,17,Loss,No Bet,35,69
