game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401309623,10/20/2021,07:30 PM,Coastal Carolina @ App State,App State,Coastal Carolina,Home,5.0,-3.7,8.7,High,55.86,-3.7,Under,61.0,55.86,5.140000000000001,401309623,30,27,Win,Win,3,57
401309624,10/21/2021,07:30 PM,Louisiana @ Arkansas State,Arkansas State,Louisiana,Home,18.0,-14.42,32.42,High,68.33,-14.42,No Bet,70.0,68.33,0.0,401309624,27,28,Win,No Bet,-1,55
401301025,10/21/2021,07:30 PM,Tulane @ SMU,SMU,Tulane,Away,-14.0,16.86,30.86,High,69.96,16.86,No Bet,70.0,69.96,0.0,401301025,55,26,Loss,No Bet,29,81
401282235,10/21/2021,07:30 PM,Florida Atlantic @ Charlotte,Charlotte,Florida Atlantic,Home,6.5,-0.39,6.89,High,55.04,-0.39,No Bet,58.0,55.04,0.0,401282235,9,38,Loss,No Bet,-29,47
401310729,10/21/2021,11:00 PM,San José State @ UNLV,UNLV,San José State,Home,5.5,1.97,3.53,High,43.37,1.97,No Bet,44.0,43.37,0.0,401310729,20,27,Loss,No Bet,-7,47
401282239,10/22/2021,06:00 PM,Middle Tennessee @ UConn,UConn,Middle Tennessee,Home,14.0,-10.57,24.57,High,58.7,-10.57,Over,54.0,58.7,4.700000000000003,401282239,13,44,Loss,Win,-31,57
401301026,10/22/2021,07:00 PM,Memphis @ UCF,UCF,Memphis,Away,1.5,7.77,6.27,High,68.15,7.77,No Bet,66.0,68.15,0.0,401301026,24,7,Loss,No Bet,17,31
401310725,10/22/2021,09:30 PM,Colorado State @ Utah State,Utah State,Colorado State,No Bet,3.0,1.89,0.0,,54.05,1.89,Under,58.5,54.05,4.450000000000003,401310725,26,24,No Bet,Win,2,50
401309877,10/22/2021,10:30 PM,Washington @ Arizona,Arizona,Washington,Home,17.5,-9.88,27.380000000000003,High,42.23,-9.88,Under,46.0,42.23,3.770000000000003,401309877,16,21,Win,Win,-5,37
401287926,10/23/2021,12:00 PM,Oklahoma @ Kansas,Kansas,Oklahoma,Home,39.0,-22.85,61.85,High,63.84,-22.85,No Bet,66.5,63.84,0.0,401287926,23,35,Win,No Bet,-12,58
401287928,10/23/2021,12:00 PM,Kansas State @ Texas Tech,Texas Tech,Kansas State,No Bet,1.0,3.34,0.0,,63.34,3.34,No Bet,60.5,63.34,0.0,401287928,24,25,No Bet,No Bet,-1,49
401282662,10/23/2021,12:00 PM,Wake Forest @ Army,Army,Wake Forest,Home,3.0,0.07,2.93,High,54.48,0.07,No Bet,54.0,54.48,0.0,401282662,56,70,Loss,No Bet,-14,126
401301027,10/23/2021,12:00 PM,Cincinnati @ Navy,Navy,Cincinnati,Home,29.5,-21.58,51.08,High,50.51,-21.58,No Bet,49.5,50.51,0.0,401301027,20,27,Win,No Bet,-7,47
401282779,10/23/2021,12:00 PM,Northwestern @ Michigan,Michigan,Northwestern,Away,-23.5,25.42,48.92,High,53.69,25.42,No Bet,51.0,53.69,0.0,401282779,33,7,Loss,No Bet,26,40
401282663,10/23/2021,12:00 PM,Massachusetts @ Florida State,Florida State,Massachusetts,Away,-35.5,20.39,55.89,High,59.17,20.39,No Bet,59.0,59.17,0.0,401282663,59,3,Loss,No Bet,56,62
401282717,10/23/2021,12:00 PM,Illinois @ Penn State,Penn State,Illinois,Away,-24.5,20.65,45.15,High,40.08,20.65,Under,45.5,40.08,5.420000000000002,401282717,18,20,Win,Win,-2,38
401309574,10/23/2021,12:00 PM,Eastern Michigan @ Bowling Green,Bowling Green,Eastern Michigan,Home,4.0,1.01,2.99,High,45.34,1.01,Under,49.5,45.34,4.159999999999997,401309574,24,55,Loss,Loss,-31,79
401309577,10/23/2021,12:00 PM,Northern Illinois @ Central Michigan,Central Michigan,Northern Illinois,Away,-6.0,3.97,9.97,High,58.92,3.97,No Bet,56.0,58.92,0.0,401309577,38,39,Win,No Bet,-1,77
401282668,10/23/2021,12:30 PM,Syracuse @ Virginia Tech,Virginia Tech,Syracuse,Away,-3.5,3.7,7.2,High,42.59,3.7,No Bet,45.5,42.59,0.0,401282668,36,41,Win,No Bet,-5,77
401309576,10/23/2021,01:00 PM,Kent State @ Ohio,Ohio,Kent State,Home,5.0,0.37,4.63,High,62.47,0.37,Under,68.5,62.47,6.030000000000001,401309576,27,34,Loss,Win,-7,61
401309625,10/23/2021,02:00 PM,Texas State @ Georgia State,Georgia State,Texas State,Away,-10.5,5.84,16.34,High,63.37,5.84,Over,58.0,63.37,5.369999999999997,401309625,28,16,Loss,Loss,12,44
401282821,10/23/2021,03:00 PM,Wisconsin @ Purdue,Purdue,Wisconsin,Away,3.5,10.92,7.42,High,33.19,10.92,Under,41.0,33.19,7.810000000000002,401282821,13,30,Win,Loss,-17,43
401282767,10/23/2021,03:30 PM,Maryland @ Minnesota,Minnesota,Maryland,Away,-4.0,11.44,15.44,High,54.46,11.44,No Bet,52.5,54.46,0.0,401282767,34,16,Loss,No Bet,18,50
401287925,10/23/2021,03:30 PM,Oklahoma State @ Iowa State,Iowa State,Oklahoma State,Away,-7.0,11.22,18.22,High,44.24,11.22,No Bet,47.0,44.24,0.0,401287925,24,21,Win,No Bet,3,45
401282666,10/23/2021,03:30 PM,Clemson @ Pittsburgh,Pittsburgh,Clemson,Away,-3.5,14.33,17.83,High,49.18,14.33,No Bet,47.0,49.18,0.0,401282666,27,17,Loss,No Bet,10,44
401309573,10/23/2021,03:30 PM,Western Michigan @ Toledo,Toledo,Western Michigan,Away,1.5,5.23,3.73,High,48.06,5.23,Under,54.5,48.06,6.439999999999998,401309573,34,15,Loss,Win,19,49
401282113,10/23/2021,03:30 PM,LSU @ Ole Miss,Ole Miss,LSU,Away,-9.0,12.14,21.14,High,71.36,12.14,Under,76.5,71.36,5.140000000000001,401282113,31,17,Loss,Win,14,48
401282238,10/23/2021,03:30 PM,Rice @ UAB,UAB,Rice,Away,-24.0,29.86,53.86,High,45.79,29.86,No Bet,44.5,45.79,0.0,401282238,24,30,Win,No Bet,-6,54
