Variant,Feature Set,Home RMSE,Away RMSE,Avg RMSE
Baseline (With Weather),ppr_v1,13.159470900783962,11.702096888488205,12.430783894636082
No Weather,ppr_v1_no_weather,13.231620517719998,11.649253022448846,12.440436770084421
