season,week,id,home_team,away_team,spread_actual,total_actual,home_points_actual,away_points_actual,home_points_pred_catboost,away_points_pred_catboost,total_pred_points_for_catboost,spread_pred_points_for_catboost,spread_pred_ensemble,total_pred_ensemble,home_points_pred_ensemble,away_points_pred_ensemble,total_pred_points_for_ensemble,spread_pred_points_for_ensemble,spread_error,total_error,pred_home_win,actual_home_win,correct_direction
2025,3,401754531,Wake Forest,NC State,-10.0,58.0,24.0,34.0,40.78372635971533,16.691822508216738,57.47554886793206,24.091903851498586,24.091903851498586,57.47554886793206,40.78372635971533,16.691822508216738,57.47554886793206,24.091903851498586,-34.091903851498586,0.5244511320679379,True,False,False
2025,3,401756893,Houston,Colorado,16.0,56.0,36.0,20.0,35.87036414829082,13.030923122493965,48.90128727078478,22.839441025796855,22.839441025796855,48.90128727078478,35.87036414829082,13.030923122493965,48.90128727078478,22.839441025796855,-6.839441025796855,7.098712729215222,True,True,True
2025,3,401756888,Arizona,Kansas State,6.0,40.0,23.0,17.0,44.330188006422546,16.08149876402106,60.41168677044361,28.24868924240149,28.24868924240149,60.41168677044361,44.330188006422546,16.08149876402106,60.41168677044361,28.24868924240149,-22.24868924240149,-20.41168677044361,True,True,True
2025,3,401752837,UCLA,New Mexico,-25.0,45.0,10.0,35.0,39.74787495385922,14.5375297595267,54.285404713385915,25.21034519433252,25.21034519433252,54.285404713385915,39.74787495385922,14.5375297595267,54.285404713385915,25.21034519433252,-50.21034519433252,-9.285404713385915,True,False,False
2025,3,401752696,Alabama,Wisconsin,24.0,52.0,38.0,14.0,37.838607937120216,9.95082184031844,47.789429777438656,27.887786096801776,27.887786096801776,47.789429777438656,37.838607937120216,9.95082184031844,47.789429777438656,27.887786096801776,-3.8877860968017757,4.210570222561344,True,True,True
2025,3,401752703,Temple,Oklahoma,-39.0,45.0,3.0,42.0,34.3423084217217,17.389772640855764,51.732081062577464,16.952535780865933,16.952535780865933,51.732081062577464,34.3423084217217,17.389772640855764,51.732081062577464,16.952535780865933,-55.95253578086593,-6.732081062577464,True,False,False
2025,3,401752831,Northwestern,Oregon,-20.0,48.0,14.0,34.0,25.68753076819665,22.631607837712803,48.31913860590945,3.0559229304838453,3.0559229304838453,48.31913860590945,25.68753076819665,22.631607837712803,48.31913860590945,3.0559229304838453,-23.055922930483845,-0.3191386059094512,True,False,False
2025,3,401752839,Michigan,Central Michigan,60.0,66.0,63.0,3.0,35.78315119238901,17.227214511551338,53.01036570394035,18.555936680837675,18.555936680837675,53.01036570394035,35.78315119238901,17.227214511551338,53.01036570394035,18.555936680837675,41.444063319162325,12.989634296059648,True,True,True
2025,3,401754623,Georgia Tech,Clemson,3.0,45.0,24.0,21.0,38.76205332230188,15.301877202251973,54.063930524553854,23.46017612004991,23.46017612004991,54.063930524553854,38.76205332230188,15.301877202251973,54.063930524553854,23.46017612004991,-20.46017612004991,-9.063930524553854,True,True,True
2025,3,401761608,Troy,Memphis,-21.0,35.0,7.0,28.0,26.013572326020565,17.338465004584872,43.35203733060544,8.675107321435693,8.675107321435693,43.35203733060544,26.013572326020565,17.338465004584872,43.35203733060544,8.675107321435693,-29.675107321435693,-8.352037330605441,True,False,False
2025,3,401762817,Kent State,Buffalo,-3.0,59.0,28.0,31.0,35.83534961532783,21.211191862754863,57.046541478082695,14.624157752572962,14.624157752572962,57.046541478082695,35.83534961532783,21.211191862754863,57.046541478082695,14.624157752572962,-17.624157752572962,1.9534585219173053,True,False,False
2025,3,401752697,Auburn,South Alabama,16.0,46.0,31.0,15.0,39.51463631002951,19.961192933819873,59.47582924384938,19.553443376209636,19.553443376209636,59.47582924384938,39.51463631002951,19.961192933819873,59.47582924384938,19.553443376209636,-3.5534433762096356,-13.475829243849383,True,True,True
2025,3,401752702,Missouri,Louisiana,42.0,62.0,52.0,10.0,33.41090587555046,16.386483191646107,49.79738906719657,17.024422683904355,17.024422683904355,49.79738906719657,33.41090587555046,16.386483191646107,49.79738906719657,17.024422683904355,24.975577316095645,12.202610932803431,True,True,True
2025,3,401757168,Delaware,UConn,3.0,85.0,44.0,41.0,27.61035945113594,24.169366260752813,51.77972571188875,3.440993190383125,3.440993190383125,51.77972571188875,27.61035945113594,24.169366260752813,51.77972571188875,3.440993190383125,-0.440993190383125,33.22027428811125,True,True,True
2025,3,401752705,Tennessee,Georgia,-3.0,85.0,41.0,44.0,38.04084824304168,15.9572211426995,53.998069385741175,22.08362710034218,22.08362710034218,53.998069385741175,38.04084824304168,15.9572211426995,53.998069385741175,22.08362710034218,-25.08362710034218,31.001930614258825,True,False,False
2025,3,401752832,Purdue,USC,-16.0,50.0,17.0,33.0,29.35221167276917,21.602273863522168,50.95448553629134,7.749937809247001,7.749937809247001,50.95448553629134,29.35221167276917,21.602273863522168,50.95448553629134,7.749937809247001,-23.749937809247,-0.9544855362913367,True,False,False
2025,3,401752938,Texas Tech,Oregon State,31.0,59.0,45.0,14.0,53.64867030490467,12.985128763675874,66.63379906858054,40.663541541228795,40.663541541228795,66.63379906858054,53.64867030490467,12.985128763675874,66.63379906858054,40.663541541228795,-9.663541541228795,-7.633799068580544,True,True,True
2025,3,401752949,North Texas,Washington State,49.0,69.0,59.0,10.0,39.75467865664002,11.517688295489924,51.27236695212994,28.23699036115009,28.23699036115009,51.27236695212994,39.75467865664002,11.517688295489924,51.27236695212994,28.23699036115009,20.76300963884991,17.727633047870057,True,True,True
