id,season,week,home_team,away_team,home_points,away_points,spread_line,total_line,home_games_played,away_games_played,prediction,predicted_spread,home_team_spread_line,predicted_total,predicted_spread_std_dev,predicted_total_std_dev,expected_home_margin,edge_spread,edge_total,spread_bet_reason,total_bet_reason,bet_spread,bet_total,kelly_fraction_spread,kelly_fraction_total,bet_units_spread,bet_units_total,bet_units
401762468,2025,4,Charlotte,Rice,17.0,28.0,2.0,42.0,3.0,3.0,2.907479859633298,2.907479859633298,2.0,42.0,14.0,14.0,-2.0,4.907479859633298,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401756900,2025,4,Oklahoma State,Tulsa,12.0,19.0,-10.0,55.0,2.0,3.0,-3.210742303396917,-3.210742303396917,-10.0,55.0,14.0,14.0,10.0,13.210742303396916,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752844,2025,4,Rutgers,Iowa,28.0,38.0,2.0,46.5,3.0,3.0,2.749866057055039,2.749866057055039,2.0,46.5,14.0,14.0,-2.0,4.749866057055039,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752708,2025,4,Memphis,Arkansas,32.0,31.0,7.0,60.0,3.0,3.0,5.724525565436051,5.724525565436051,7.0,60.0,14.0,14.0,-7.0,12.72452556543605,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752845,2025,4,Wisconsin,Maryland,10.0,27.0,-10.5,44.5,3.0,3.0,15.464990053012423,15.464990053012423,-10.5,44.5,14.0,14.0,10.5,4.964990053012423,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754537,2025,4,Clemson,Syracuse,21.0,34.0,-17.5,54.5,3.0,3.0,6.094291681430658,6.094291681430658,-17.5,54.5,14.0,14.0,17.5,11.405708318569342,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754617,2025,4,Virginia Tech,Wofford,38.0,6.0,-35.5,51.5,3.0,,9.262786947263733,9.262786947263733,-35.5,51.5,14.0,14.0,35.5,26.237213052736266,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754636,2025,4,TCU,SMU,35.0,24.0,-6.5,63.5,2.0,3.0,11.851301487464854,11.851301487464854,-6.5,63.5,14.0,14.0,6.5,5.351301487464854,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754642,2025,4,Louisville,Bowling Green,40.0,17.0,-26.5,51.0,2.0,3.0,14.750775088192627,14.750775088192627,-26.5,51.0,14.0,14.0,26.5,11.749224911807373,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401756901,2025,4,Utah,Texas Tech,10.0,34.0,-3.5,58.0,3.0,3.0,3.015858179929755,3.015858179929755,-3.5,58.0,14.0,14.0,3.5,0.4841418200702452,0.0,No Bet - Small Edge,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
