id,season,week,home_team,away_team,home_points,away_points,spread_line,total_line,home_games_played,away_games_played,prediction,predicted_spread,home_team_spread_line,predicted_total,predicted_spread_std_dev,predicted_total_std_dev,expected_home_margin,edge_spread,edge_total,spread_bet_reason,total_bet_reason,bet_spread,bet_total,kelly_fraction_spread,kelly_fraction_total,bet_units_spread,bet_units_total,bet_units
401757278,2025,7,Middle Tennessee,Missouri State,20.0,22.0,3.0,51.5,5.0,5.0,-2.1738688539092017,-2.1738688539092017,3.0,51.5,14.0,14.0,-3.0,0.8261311460907983,0.0,No Bet - Small Edge,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401757277,2025,7,UTEP,Liberty,8.0,19.0,2.0,46.5,5.0,5.0,8.762891990026354,8.762891990026354,2.0,46.5,14.0,14.0,-2.0,10.762891990026354,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401757280,2025,7,Kennesaw State,Louisiana Tech,35.0,7.0,4.5,46.5,5.0,5.0,-12.096043994886587,-12.096043994886587,4.5,46.5,14.0,14.0,-4.5,7.596043994886587,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401762480,2025,7,Tulane,East Carolina,26.0,19.0,-7.0,53.5,5.0,5.0,-9.526696547341915,-9.526696547341915,-7.0,53.5,14.0,14.0,7.0,16.526696547341913,0.0,Bet Placed,No Bet - Small Edge,away,none,0.05,0.0,2.5,0.0,2.5
401757279,2025,7,Sam Houston,Jacksonville State,27.0,29.0,7.0,54.0,5.0,5.0,-11.827924587475929,-11.827924587475929,7.0,54.0,14.0,14.0,-7.0,4.827924587475929,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401761622,2025,7,Georgia Southern,Southern Miss,35.0,38.0,3.0,60.0,5.0,5.0,-9.651559670024684,-9.651559670024684,3.0,60.0,14.0,14.0,-3.0,6.6515596700246835,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401762481,2025,7,North Texas,South Florida,36.0,63.0,-2.5,68.5,5.0,5.0,11.41487908461084,11.41487908461084,-2.5,68.5,14.0,14.0,2.5,8.91487908461084,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752862,2025,7,Washington,Rutgers,38.0,19.0,-9.5,62.0,5.0,5.0,25.537042196011775,25.537042196011775,-9.5,62.0,14.0,14.0,9.5,16.037042196011775,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401760388,2025,7,Colorado State,Fresno State,49.0,21.0,6.0,47.5,5.0,6.0,-1.438432455363837,-1.438432455363837,6.0,47.5,14.0,14.0,-6.0,4.561567544636163,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752734,2025,7,Missouri,Alabama,24.0,27.0,3.0,52.0,5.0,5.0,-1.2166688195675637,-1.2166688195675637,3.0,52.0,14.0,14.0,-3.0,1.7833311804324363,0.0,No Bet - Small Edge,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752863,2025,7,Michigan State,UCLA,13.0,38.0,-7.0,52.0,5.0,5.0,1.542616554495866,1.542616554495866,-7.0,52.0,14.0,14.0,7.0,5.457383445504134,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401752865,2025,7,Illinois,Ohio State,16.0,34.0,15.0,51.0,6.0,5.0,-26.283568784255134,-26.283568784255134,15.0,51.0,14.0,14.0,-15.0,11.283568784255134,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754559,2025,7,Florida State,Pittsburgh,31.0,34.0,-10.5,57.0,5.0,5.0,16.50799468923526,16.50799468923526,-10.5,57.0,14.0,14.0,10.5,6.007994689235261,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401754561,2025,7,SMU,Stanford,34.0,10.0,-19.5,55.5,5.0,5.0,15.145539943135716,15.145539943135716,-19.5,55.5,14.0,14.0,19.5,4.3544600568642835,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401756917,2025,7,Cincinnati,UCF,20.0,11.0,-10.5,55.5,5.0,5.0,9.800176009992946,9.800176009992946,-10.5,55.5,14.0,14.0,10.5,0.6998239900070544,0.0,No Bet - Small Edge,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401756920,2025,7,Oklahoma State,Houston,17.0,39.0,14.5,48.0,5.0,5.0,-17.00082900425942,-17.00082900425942,14.5,48.0,14.0,14.0,-14.5,2.500829004259419,0.0,No Bet - Small Edge,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
401761625,2025,7,James Madison,Louisiana,24.0,14.0,-18.5,45.0,5.0,5.0,14.527464044881222,14.527464044881222,-18.5,45.0,14.0,14.0,18.5,3.9725359551187776,0.0,No Bet - Exposure Cap,No Bet - Small Edge,none,none,0.0,0.0,0.0,0.0,0.0
