,rating,hdi_lower,hdi_upper
Air Force,-0.42181129382408983,-5.784071275570726,3.9115916279333156
Akron,-0.4297904988481989,-5.80099307109944,3.941849601474637
Army,-0.4301376108342706,-5.884645283934441,3.993472245226962
Charlotte,-0.43018236292443945,-5.858672398703002,4.288555309245391
Alabama,-0.43229398186103773,-5.804740945711248,3.8889442574491224
Auburn,-0.432745960149649,-5.798943000824557,4.15821292089291
California,-0.43410315386842047,-5.975404645354569,4.192385104495262
BYU,-0.4341777646970917,-6.010597148092491,4.217927251961804
Arizona State,-0.4344087364443225,-5.833654669985113,3.9446117798618774
Arkansas State,-0.434813201063989,-5.721408681369469,4.095498312317428
Central Michigan,-0.4352507807289964,-5.963978353206257,4.268120516074676
Cincinnati,-0.43605012979223956,-5.848968702584057,4.292282004034328
Bowling Green,-0.43651580539415563,-5.942234780383984,4.323852950715332
Ball State,-0.43666029727669203,-5.975285927395745,4.268281315727593
Arizona,-0.4372438490829569,-5.8836070894695,3.9679830300732313
Boston College,-0.43782400760087936,-5.939344271179692,4.234773989197518
Buffalo,-0.4396126087798226,-5.979151393034008,4.218120400432402
App State,-0.43962565215195104,-5.861494291027741,3.9526999861157948
Boise State,-0.4401480010271253,-6.027810317111464,4.219319930832593
Clemson,-0.4420567397071858,-5.818041505493665,4.338219253753875
Baylor,-0.4422468686099781,-5.996481351014604,4.29815815922687
Arkansas,-0.4426676844180353,-5.794603981869946,4.038853335684817
Coastal Carolina,-0.4471198483959583,-5.945077196731184,4.2605953433128825
Colorado,-0.4517574894958851,-5.916920493869248,4.261786383173055
Colorado State,-0.4565452436226081,-5.982713468636881,4.331947830825691
Georgia,-0.45782613827893387,-6.090651285255231,4.522943778277953
Georgia State,-0.4586417991562036,-6.051499561588843,4.632621641924778
East Carolina,-0.45958486243783814,-6.110751884035075,4.233007602645971
Fresno State,-0.4596066070622081,-6.166834116926951,4.360891726911265
Duke,-0.4602465964740016,-5.992285639586587,4.211098087634835
Georgia Southern,-0.4605301388854577,-6.040693024193151,4.547464017032852
Florida State,-0.4610100844766674,-6.072830382165931,4.340079516920369
Georgia Tech,-0.4637127900631009,-6.231664146139224,4.685752220100555
Hawai'i,-0.46488764650760944,-6.067270949146752,4.660704450791137
Virginia,-0.46498778193144485,-6.978326516847994,5.910543029191506
Florida Atlantic,-0.4658411080740929,-6.040065890708324,4.306206167354773
Eastern Michigan,-0.4688974964509481,-6.119395539403631,4.234371642574498
Florida,-0.4692734349973886,-6.027210635014894,4.269910252667704
Florida International,-0.46961354930057314,-6.056144274429753,4.400151266084875
Houston,-0.47097502044956246,-6.070751614968836,4.6434275956618905
Marshall,-0.47164073770392334,-6.221276512366989,4.906542971040632
Massachusetts,-0.47193861491939526,-6.285498756325459,4.847038059785258
Virginia Tech,-0.4720473799599916,-7.002862458195136,5.935310442941812
Memphis,-0.47206579644151064,-6.189800899358122,4.79985223930581
Wisconsin,-0.4720765133575212,-7.156137310149373,5.822400540569068
Western Kentucky,-0.473670679610455,-7.254548866805428,5.831440523848332
Vanderbilt,-0.47383272861500136,-7.0352450667614805,5.818232128945302
Michigan,-0.474690976180731,-6.437964651903751,4.868655856155896
Minnesota,-0.474789416695067,-6.297766791585668,5.051475328116101
West Virginia,-0.4749479483211547,-7.209590702525743,5.840215052816848
Illinois,-0.4752324859524533,-6.120148235315314,4.614891199327167
Washington State,-0.4754906879994455,-7.122847694005273,5.840310185373036
Miami (OH),-0.4756107304526289,-6.456165608719996,4.829216830760114
USC,-0.47564911883218836,-7.059175950493334,5.812045934408961
Middle Tennessee,-0.475712712311914,-6.355738675425736,5.005335499461749
Western Michigan,-0.47602157769719383,-7.172075712876679,5.883253995779747
Miami,-0.47700474712380897,-6.255478623958675,4.852293042297023
Wake Forest,-0.47710915126958303,-7.147949295825749,5.804042809676434
Kansas State,-0.4773857731668884,-5.980897852260352,4.90132949786913
UNLV,-0.4774277174011115,-7.091122793015114,5.622123442291406
Wyoming,-0.4777928918187015,-7.231784302928044,6.06865228964597
Louisville,-0.47791090770131794,-6.238841595360139,4.82491335783316
Michigan State,-0.478731392569888,-6.420757117741994,4.91953639945788
Utah State,-0.4789289682839406,-7.039963556596813,5.644335991058852
Liberty,-0.47943173378109144,-6.171083343999645,4.905462653785822
Maryland,-0.4796370248218389,-6.222837251389304,4.768636327052192
UL Monroe,-0.4805634624741577,-7.034057303919858,5.569149103816084
Washington,-0.48089237795365775,-7.109115563024353,5.881123782070623
LSU,-0.4809539881052449,-6.07409043332515,4.916795416416783
Louisiana,-0.48122746208900635,-6.139213457323388,5.003958017876216
Kent State,-0.4818287195611275,-6.107526230509353,4.846713774033685
Mississippi State,-0.4818529424191604,-6.385667145716586,5.246067628982405
Kentucky,-0.48213587879335273,-6.090812165899783,4.892227072587372
Kansas,-0.4828146323348892,-6.090861884247028,4.729978469417124
Missouri,-0.48297189630265525,-6.345893643863517,5.112515662655722
Louisiana Tech,-0.4834157907963896,-6.175880987591454,4.861037617339438
UConn,-0.48410038032441804,-7.054886302334291,5.631144246893947
Nebraska,-0.48473215460183744,-6.391928191471659,5.116553185750522
Indiana,-0.4847787037602458,-6.103764956397966,4.67455007178953
Iowa,-0.48496274674300066,-6.121283603142549,4.7531915919836
New Mexico State,-0.4850685182318344,-6.5145710284776275,5.080407439231367
Navy,-0.4851673625480954,-6.47950480593901,5.1132865133699825
NC State,-0.4851829379191367,-6.464453557708948,5.103999307723352
Iowa State,-0.48530171742259814,-6.100322037815096,4.774599234817367
Notre Dame,-0.4855728416259055,-6.301878793111293,5.109481244051094
UTEP,-0.4857859863465091,-7.156240210592651,5.736885389980136
Northwestern,-0.48617496778645447,-6.363599262662595,5.028085263353052
Utah,-0.48640286496453233,-7.063854158252037,5.687504225132377
North Carolina,-0.4872231655689391,-6.465762358084956,5.16916789480111
New Mexico,-0.48769096350531743,-6.447460054013001,5.209826723176912
Nevada,-0.4877995489211962,-6.4701017583558835,5.240802482589032
Ohio,-0.4880816498358648,-6.206915668114733,5.044878631215614
UCLA,-0.4881535078899986,-6.932980781578915,5.715783499556895
UTSA,-0.4881565264478568,-7.093392840827331,5.714598045003099
Purdue,-0.48872967657388466,-6.478372787350202,5.291536289105335
Ohio State,-0.4906654061836153,-6.282464454220676,5.035668257645878
Northern Illinois,-0.49111405471273195,-6.265028801050017,5.140185804064809
Troy,-0.49120508422821196,-6.738920763940344,5.578741888810868
Oklahoma,-0.49139009887864527,-6.413801701436059,5.158575342913137
Oregon State,-0.49257104126441786,-6.479859072040994,5.322639946596978
North Texas,-0.49267533843899897,-6.290554405156329,5.169724690064503
Rice,-0.49299260981888876,-6.541120630879926,5.327536792809791
UAB,-0.4934784005878229,-6.811950778055857,5.671268568507891
Pittsburgh,-0.4936578230402265,-6.4352444985565205,5.413834087970209
Tulsa,-0.4937308330189231,-6.828549370406296,5.635023663421209
Oregon,-0.4939806105206007,-6.3760038448084675,5.4082249180208715
UCF,-0.4941197721804785,-6.881538681962933,5.757067068128118
Penn State,-0.49572864095386887,-6.4558350563158236,5.3606903441358025
TCU,-0.49613041701118915,-6.77296027868886,5.66480765048238
Rutgers,-0.4971962527192,-6.719016363457469,5.373080310102025
Tulane,-0.4980116807227983,-6.811669630133173,5.591407445071525
Toledo,-0.49831523206206313,-6.773949966438409,5.635555054910505
Ole Miss,-0.49833677831717643,-6.5042041552423004,5.359702219671545
Texas State,-0.4983822929922425,-6.634077863651477,5.723546914539699
Syracuse,-0.49851380591286254,-6.719144484765121,5.6568519004099835
Oklahoma State,-0.49879598828384825,-6.4429002927578995,5.300145528285146
SMU,-0.49891964428020424,-6.675688137663792,5.559949008875064
South Florida,-0.49914781795562535,-6.708238374869322,5.588712290627293
Stanford,-0.500013299651561,-6.691984810195514,5.676013856378134
Southern Miss,-0.5010547882424438,-6.785469818019291,5.555165735666537
Tennessee,-0.5018842846966798,-6.7588094533516605,5.6513595143391315
Texas Tech,-0.5025311128728673,-6.7542865272143455,5.664547327952456
South Alabama,-0.5026021262147651,-6.581304222580002,5.475241792500943
South Carolina,-0.5026670816480358,-6.595157655885224,5.600998622008956
San Diego State,-0.5064598084895967,-6.595116606962599,5.5723120212699415
San José State,-0.5065822480351532,-6.5794366924312335,5.581417472483775
Texas,-0.5068268870369333,-6.807776269520376,5.623710144724828
Texas A&M,-0.5069184142030042,-6.734829386023056,5.682738924380471
Temple,-0.5072532274941306,-6.777198466140055,5.583108472441744
Old Dominion,-0.5082383254781592,-6.387310904140832,5.1366401679923195
