week,team,rating
2,Marshall,-0.026175306724196087
2,Maryland,-0.023121255474860897
2,Massachusetts,-0.027805969864680886
2,Memphis,-0.012464325847615724
2,Miami,-0.010834548196123906
2,Miami (OH),-0.0011607053769291983
2,Michigan,-0.002093349256290135
2,Michigan State,0.0008086451619611543
2,Middle Tennessee,-0.0023623083008819912
2,Minnesota,0.007035548292306772
2,Mississippi State,0.01048196422858546
2,Missouri,0.013779583064071751
2,NC State,0.021026144487334288
2,Navy,0.018058909045888402
2,Nebraska,0.025191688296981547
2,Nevada,0.018503046734998866
2,New Mexico,0.022564062008757293
2,New Mexico State,0.029517219617636377
2,North Carolina,0.034106027923744106
2,North Texas,0.030714502814647396
2,Northern Illinois,0.03508799627848345
2,Northwestern,0.044510300404025926
2,Notre Dame,0.05458171675579331
2,Ohio,0.05658086490110487
2,Ohio State,0.06229793887810632
2,Oklahoma,0.06778387071817012
2,Oklahoma State,0.06943765024038422
2,Old Dominion,0.0710926295902014
2,Ole Miss,0.06218925136800071
2,Oregon,0.06529546746959645
2,Oregon State,0.06862868893746159
2,Penn State,0.06726425882788169
2,Pittsburgh,0.06574745693682858
2,Purdue,0.06647702648991742
2,Rice,0.048050962950462225
2,Rutgers,0.04330056347618751
2,SMU,0.03541464851562892
2,San Diego State,0.028553006041943885
2,San José State,0.012000596447214566
2,South Alabama,0.0054199904978601545
2,South Carolina,-0.005849651987564899
2,South Florida,-0.02176599110285802
2,Southern Miss,-0.036904208408272327
2,Stanford,-0.0483341855130072
2,Syracuse,-0.055790902147429176
2,TCU,-0.07253307914326095
2,Temple,-0.0853025925704216
2,Tennessee,-0.10162798442601935
2,Texas,-0.11490879440099935
2,Texas A&M,-0.12508073640013315
2,Texas State,-0.1423141313406584
2,Texas Tech,-0.1590438541820663
2,Toledo,-0.16938874450613037
2,Troy,-0.1834166801891198
2,Tulane,-0.19534082599964173
2,Tulsa,-0.20491222943142007
2,UAB,-0.214634541966672
2,UCF,-0.22746279800374997
2,UCLA,-0.23480541764729534
2,UConn,-0.2417565894337663
2,UL Monroe,-0.24287145416718792
2,UNLV,-0.24062965056326194
2,USC,-0.2505519682867757
2,UTEP,-0.2505519164985583
2,UTSA,-0.2404298445753862
2,Utah,-0.23656161861643107
2,Utah State,-0.2171041219709477
2,Vanderbilt,-0.21207621629161974
2,Virginia,-0.20733730591320448
2,Virginia Tech,-0.20606418100998927
2,Wake Forest,-0.1976467448539415
2,Washington,-0.19359996276274666
2,Washington State,-0.18814861822589402
2,West Virginia,-0.18310659524407205
2,Western Kentucky,-0.1749125331067617
2,Western Michigan,-0.1786576644799945
2,Wisconsin,-0.1717934718558356
2,Wyoming,-0.1787519268488763
3,Air Force,-0.46233642724088797
3,Akron,-0.4514564247117744
3,Alabama,-0.4447555601123457
3,App State,-0.45172021414432967
3,Arizona,-0.4540299400142625
3,Arizona State,-0.4502162856623998
3,Arkansas,-0.44476256725436886
3,Arkansas State,-0.45467963432603975
3,Army,-0.4534372020378567
3,Auburn,-0.4528275904666669
3,BYU,-0.45560901122549313
3,Ball State,-0.4592729880050074
3,Baylor,-0.45345296459638285
3,Boise State,-0.45752593391019053
3,Boston College,-0.4576148778674763
3,Bowling Green,-0.45214960496331547
3,Buffalo,-0.44840499832756764
3,California,-0.45347818156703185
3,Central Michigan,-0.45388370296556485
3,Charlotte,-0.4528138770957425
3,Cincinnati,-0.454858922510308
3,Clemson,-0.45731354436210087
3,Coastal Carolina,-0.45716145897532284
3,Colorado,-0.4490291418376012
3,Colorado State,-0.44326834280926264
3,Duke,-0.4464870656306811
3,East Carolina,-0.447663480231878
3,Eastern Michigan,-0.4501051197027188
3,Florida,-0.45786381394022474
3,Florida Atlantic,-0.46679493661360466
3,Florida International,-0.4579550738333337
3,Florida State,-0.45453398974411335
3,Fresno State,-0.44054425531841485
3,Georgia,-0.4466856462344045
3,Georgia Southern,-0.44882674350684404
3,Georgia State,-0.44252526696454214
3,Georgia Tech,-0.4345427364440471
3,Hawai'i,-0.43559159016025195
3,Houston,-0.4359262885429899
3,Illinois,-0.4286889311019278
3,Indiana,-0.4273209834474495
3,Iowa,-0.40639085297233835
3,Iowa State,-0.414279960260329
3,Kansas,-0.41228107672238284
3,Kansas State,-0.40901203403756925
3,Kent State,-0.4128903975092161
3,Kentucky,-0.404667559829181
3,LSU,-0.3969881199202935
3,Liberty,-0.39938740677172396
3,Louisiana,-0.4039065593042378
3,Louisiana Tech,-0.4090987383541373
3,Louisville,-0.40849755984505337
3,Marshall,-0.4178525180766678
3,Maryland,-0.41201540507654966
3,Massachusetts,-0.41963194470700804
3,Memphis,-0.42622876055781656
3,Miami,-0.4292233664348812
3,Miami (OH),-0.4373832245141956
3,Michigan,-0.43912616385333614
3,Michigan State,-0.43687366118962834
3,Middle Tennessee,-0.44407420006852033
3,Minnesota,-0.4594158618003385
3,Mississippi State,-0.47026179337855434
3,Missouri,-0.48283261406513384
3,NC State,-0.4933110315554484
3,Navy,-0.506256120244033
3,Nebraska,-0.520734224250219
3,Nevada,-0.5335313928607431
3,New Mexico,-0.5425339161946919
3,New Mexico State,-0.5447001474408489
3,North Carolina,-0.5462098036902615
3,North Texas,-0.551009835155142
3,Northern Illinois,-0.5594529499785754
3,Northwestern,-0.5568626965924144
3,Notre Dame,-0.5565300083551024
3,Ohio,-0.5545191812060932
3,Ohio State,-0.5515080168214078
3,Oklahoma,-0.5374402192505332
3,Oklahoma State,-0.5406664899144404
3,Old Dominion,-0.543094340821379
3,Ole Miss,-0.5419807564489785
3,Oregon,-0.542563510359043
3,Oregon State,-0.540360527656361
3,Penn State,-0.5359567315238121
3,Pittsburgh,-0.5494036754370983
3,Purdue,-0.5448669939338755
3,Rice,-0.5370228414297622
3,Rutgers,-0.5340558513906056
3,SMU,-0.526479512715722
3,San Diego State,-0.5248033344943122
3,San José State,-0.5180685173306689
3,South Alabama,-0.5147246819748137
3,South Carolina,-0.5102864065711038
3,South Florida,-0.49570170583407336
3,Southern Miss,-0.4938790101555417
3,Stanford,-0.4947479086772094
3,Syracuse,-0.49013746460328955
3,TCU,-0.4898002044505044
3,Temple,-0.48342011091950177
3,Tennessee,-0.4724078372635412
3,Texas,-0.4610353243247888
3,Texas A&M,-0.4534106901944239
3,Texas State,-0.448596282932048
3,Texas Tech,-0.43859566548040857
3,Toledo,-0.43704629804778455
3,Troy,-0.44207369713017686
3,Tulane,-0.4457454450304463
3,Tulsa,-0.4413466246476466
3,UAB,-0.44302305752582294
3,UCF,-0.44112466390070293
3,UCLA,-0.4355199913840985
3,UConn,-0.4289595417511963
3,UL Monroe,-0.42377298899561766
3,UNLV,-0.4144699883198992
3,USC,-0.40450610907264645
3,UTEP,-0.3985158665184512
3,UTSA,-0.39846481706687475
3,Utah,-0.39187943280669557
3,Utah State,-0.3784098696156266
3,Vanderbilt,-0.3708391512400056
3,Virginia,-0.36631086710606414
3,Virginia Tech,-0.36203220666883207
3,Wake Forest,-0.3569133260109419
3,Washington,-0.3421999922089927
3,Washington State,-0.3383651543114513
3,West Virginia,-0.3382732725363615
3,Western Kentucky,-0.34027152200937005
3,Western Michigan,-0.3412070889747629
3,Wisconsin,-0.3419749228957357
3,Wyoming,-0.343350513315557
4,Air Force,0.5553922207092745
4,Akron,0.5541845350187891
4,Alabama,0.555293501748601
4,App State,0.5469412377126879
4,Arizona,0.5442923133850727
4,Arizona State,0.548513550087767
4,Arkansas,0.5485353394974838
4,Arkansas State,0.5517538530665217
4,Army,0.5516773906349244
4,Auburn,0.552664609252162
4,BYU,0.5477190368613167
4,Ball State,0.5457110268807392
4,Baylor,0.5416365442907571
4,Boise State,0.5396482863351771
4,Boston College,0.5397436598911818
4,Bowling Green,0.5436680692715331
4,Buffalo,0.5329311715872709
4,California,0.5235907206383541
4,Central Michigan,0.5166340946936269
4,Charlotte,0.5175902784871829
4,Cincinnati,0.5103106708453258
4,Clemson,0.5005143623045918
4,Coastal Carolina,0.49256681779934325
4,Colorado,0.47844043294005856
4,Colorado State,0.4759020296304735
4,Duke,0.47708265388945786
4,East Carolina,0.47046686794746767
4,Eastern Michigan,0.45044682873250314
4,Florida,0.43210538286875505
4,Florida Atlantic,0.41726316422779247
4,Florida International,0.4065038305361836
4,Florida State,0.3950239970933627
4,Fresno State,0.37429582506273074
4,Georgia,0.3575351745017309
4,Georgia Southern,0.34056401489019117
4,Georgia State,0.3309204966902078
4,Georgia Tech,0.3226773060567924
4,Hawai'i,0.2954959780252982
4,Houston,0.2712411531047791
4,Illinois,0.2551695476450125
4,Indiana,0.23537603676669824
4,Iowa,0.21012119091399784
4,Iowa State,0.2032647455578851
4,Kansas,0.17911692277999244
4,Kansas State,0.16302327538192893
4,Kent State,0.13746660836775
4,Kentucky,0.1192547833369465
4,LSU,0.09930635178934781
4,Liberty,0.08509237500783175
4,Louisiana,0.06883353306358854
4,Louisiana Tech,0.04758540720080532
4,Louisville,0.025550589669510685
4,Marshall,0.00546024123969903
4,Maryland,-0.017330893890711324
4,Massachusetts,-0.04629775086456443
4,Memphis,-0.06763983761384125
4,Miami,-0.09431327611964929
4,Miami (OH),-0.10876717051904117
4,Michigan,-0.13147879656712813
4,Michigan State,-0.15721734981870666
4,Middle Tennessee,-0.17488327018990446
4,Minnesota,-0.1961505796935574
4,Mississippi State,-0.21750827539196751
4,Missouri,-0.226781185316697
4,NC State,-0.2409477310261003
4,Navy,-0.25571002715096447
4,Nebraska,-0.2712447643241214
4,Nevada,-0.2811359583305944
4,New Mexico,-0.2924069474011186
4,New Mexico State,-0.3176157211420331
4,North Carolina,-0.33298188015925334
4,North Texas,-0.34572113138725163
4,Northern Illinois,-0.36092960133467983
4,Northwestern,-0.3773858010317715
4,Notre Dame,-0.38617775863698617
4,Ohio,-0.3968204339233912
4,Ohio State,-0.4150836399104202
4,Oklahoma,-0.43384459028421046
4,Oklahoma State,-0.44946829910530706
4,Old Dominion,-0.474209505691129
4,Ole Miss,-0.4869217017196979
4,Oregon,-0.49804071950887085
4,Oregon State,-0.519735384912672
4,Penn State,-0.5406376765096534
4,Pittsburgh,-0.5698543141576832
4,Purdue,-0.5949244492367679
4,Rice,-0.6257919564798553
4,Rutgers,-0.6565314277953225
4,SMU,-0.6775877824903248
4,San Diego State,-0.6973668714318931
4,San José State,-0.718276467777707
4,South Alabama,-0.7367979357405274
4,South Carolina,-0.7636035468242985
4,South Florida,-0.7889958346573426
4,Southern Miss,-0.8076102110053358
4,Stanford,-0.832899750602298
4,Syracuse,-0.8509067935161532
4,TCU,-0.8589536280570907
4,Temple,-0.8660280243322089
4,Tennessee,-0.8791132030805825
4,Texas,-0.8954245713862066
4,Texas A&M,-0.9175824162872782
4,Texas State,-0.9430662924482773
4,Texas Tech,-0.9465009400253808
4,Toledo,-0.9569745055032491
4,Troy,-0.9602798630007903
4,Tulane,-0.9704914612384644
4,Tulsa,-0.9747052794787301
4,UAB,-0.9783284914348565
4,UCF,-0.9891679951341026
4,UCLA,-1.0038941209266345
4,UConn,-1.0153162559833284
4,UL Monroe,-1.0319247452999554
4,UNLV,-1.0368449758164984
4,USC,-1.048459145417076
4,UTEP,-1.0562894731087271
4,UTSA,-1.0636103790179259
4,Utah,-1.0726201864153453
4,Utah State,-1.0861327143605906
4,Vanderbilt,-1.0878784733168625
4,Virginia,-1.0911489454407808
4,Virginia Tech,-1.0859772874576266
4,Wake Forest,-1.0845568127828624
4,Washington,-1.0900331967861712
4,Washington State,-1.0952060376364217
4,West Virginia,-1.091317749605961
4,Western Kentucky,-1.0951626813406035
4,Western Michigan,-1.0951916667488455
4,Wisconsin,-1.1133027701539107
4,Wyoming,-1.1173191028581562
5,Air Force,-0.1697921749424167
5,Akron,-0.17170632335670705
5,Alabama,-0.1691560426012308
5,App State,-0.17386483397174635
5,Arizona,-0.18098923923253674
5,Arizona State,-0.18317533782747006
5,Arkansas,-0.2007377305942029
5,Arkansas State,-0.20846706067379747
5,Army,-0.21473726558869427
5,Auburn,-0.21515062137615346
5,BYU,-0.2171985088644399
5,Ball State,-0.22313924707072696
5,Baylor,-0.2248270458128402
5,Boise State,-0.22297637495233733
5,Boston College,-0.22651109412155873
5,Bowling Green,-0.2327094254484341
5,Buffalo,-0.2320628122643798
5,California,-0.23120732263708593
5,Central Michigan,-0.23322606554641362
5,Charlotte,-0.2235311197586278
5,Cincinnati,-0.22451494363491403
5,Clemson,-0.22687261039313783
5,Coastal Carolina,-0.23740005090443678
5,Colorado,-0.24044643639513358
5,Colorado State,-0.2520880877265019
5,Duke,-0.25590559760999076
5,East Carolina,-0.2576882426594687
5,Eastern Michigan,-0.2612558458475905
5,Florida,-0.25843132530468504
5,Florida Atlantic,-0.25914805143016734
5,Florida International,-0.268311251440599
5,Florida State,-0.2664780119291386
5,Fresno State,-0.25311395666946607
5,Georgia,-0.25572932303248536
5,Georgia Southern,-0.2605687265082913
5,Georgia State,-0.2604647388262466
5,Georgia Tech,-0.2607727320283262
5,Hawai'i,-0.25682988338429047
5,Houston,-0.25885719695107057
5,Illinois,-0.24937986605645165
5,Indiana,-0.25716445064356247
5,Iowa,-0.26369338802671377
5,Iowa State,-0.2721887704177073
5,Kansas,-0.2918586261458889
5,Kansas State,-0.2951604707294377
5,Kent State,-0.30479920291951945
5,Kentucky,-0.31511082101900056
5,LSU,-0.32118807749637124
5,Liberty,-0.3356665537208111
5,Louisiana,-0.3393861037346994
5,Louisiana Tech,-0.3494110612356249
5,Louisville,-0.35352337359412095
5,Marshall,-0.36763826111798875
5,Maryland,-0.3700098335751299
5,Massachusetts,-0.3776242467247409
5,Memphis,-0.3823503220982772
5,Miami,-0.37896940466477963
5,Miami (OH),-0.3743812016997582
5,Michigan,-0.3726460067151832
5,Michigan State,-0.3741649396140867
5,Middle Tennessee,-0.3746462024947609
5,Minnesota,-0.37614170236249855
5,Mississippi State,-0.3758594333869855
5,Missouri,-0.3813081877461696
5,NC State,-0.3845039471306779
5,Navy,-0.37890619261033376
5,Nebraska,-0.3778080758658765
5,Nevada,-0.38296897111373085
5,New Mexico,-0.39481266981192553
5,New Mexico State,-0.39405443728171435
5,North Carolina,-0.39921627785315356
5,North Texas,-0.40277297212361196
5,Northern Illinois,-0.40704897692282294
5,Northwestern,-0.4179704568814418
5,Notre Dame,-0.40900966071324846
5,Ohio,-0.4138281826179383
5,Ohio State,-0.42264479476848527
5,Oklahoma,-0.42810810106765684
5,Oklahoma State,-0.4400657649990482
5,Old Dominion,-0.44591838881403767
5,Ole Miss,-0.46201822096491174
5,Oregon,-0.4724900800394039
5,Oregon State,-0.48788537419405903
5,Penn State,-0.49888808553817554
5,Pittsburgh,-0.5034144518918005
5,Purdue,-0.5130130771554634
5,Rice,-0.5194463256287274
5,Rutgers,-0.5229535857506984
5,SMU,-0.526908040081868
5,San Diego State,-0.5407461548534034
5,San José State,-0.5541638177550746
5,South Alabama,-0.5636249899338173
5,South Carolina,-0.572927006625648
5,South Florida,-0.57581108487995
5,Southern Miss,-0.5913595141291687
5,Stanford,-0.59535762335129
5,Syracuse,-0.6106012419280876
5,TCU,-0.612483575177172
5,Temple,-0.6141248330687625
5,Tennessee,-0.6184589665040546
5,Texas,-0.6326178219070652
5,Texas A&M,-0.6509372266813702
5,Texas State,-0.6544630854865023
5,Texas Tech,-0.669077604364703
5,Toledo,-0.6799323483919674
5,Troy,-0.699682892680725
5,Tulane,-0.7236032288348846
5,Tulsa,-0.7394535771364191
5,UAB,-0.7536263973973398
5,UCF,-0.756618114254241
5,UCLA,-0.769197425301779
5,UConn,-0.7679948476838283
5,UL Monroe,-0.771969482877822
5,UNLV,-0.7754750541775678
5,USC,-0.7774319697520174
5,UTEP,-0.7777377396317342
5,UTSA,-0.7797509324794545
5,Utah,-0.7756167929739355
5,Utah State,-0.7779850126026098
5,Vanderbilt,-0.7770385587510114
5,Virginia,-0.7750102697842581
5,Virginia Tech,-0.7776747714289182
5,Wake Forest,-0.770069334606237
5,Washington,-0.7744585094894556
5,Washington State,-0.7766582870965268
5,West Virginia,-0.7801435906499331
5,Western Kentucky,-0.7865454262480354
5,Western Michigan,-0.7759841050032271
5,Wisconsin,-0.7787435886952777
5,Wyoming,-0.782967400407376
6,Air Force,-1.4406466921676284
6,Akron,-1.447628540136504
6,Alabama,-1.4541052984984113
6,App State,-1.460324546786078
6,Arizona,-1.465771718297241
6,Arizona State,-1.474571490838741
6,Arkansas,-1.482110937983465
6,Arkansas State,-1.4882466231167306
6,Army,-1.493065287060957
6,Auburn,-1.4984714157502697
6,BYU,-1.4992839739742911
6,Ball State,-1.4983443404131052
6,Baylor,-1.4946109598586494
6,Boise State,-1.5003733373395702
6,Boston College,-1.5050717007103773
6,Bowling Green,-1.5036239284399773
6,Buffalo,-1.5036087797413817
6,California,-1.5091284392762288
6,Central Michigan,-1.5178369046833124
6,Charlotte,-1.5165772293026383
6,Cincinnati,-1.5155629927834586
6,Clemson,-1.5169277002176942
6,Coastal Carolina,-1.527134218190525
6,Colorado,-1.5399008176652063
6,Colorado State,-1.5516289129365208
6,Duke,-1.5728745162429623
6,East Carolina,-1.589975893227542
6,Eastern Michigan,-1.6046305331453348
6,Florida,-1.6209857515047186
6,Florida Atlantic,-1.6385168814667774
6,Florida International,-1.6527666491663
6,Florida State,-1.6623103438920745
6,Fresno State,-1.6661344936460067
6,Georgia,-1.6713443608552745
6,Georgia Southern,-1.6911110571068786
6,Georgia State,-1.6957584145046773
6,Georgia Tech,-1.7119928857154685
6,Hawai'i,-1.7325104650598298
6,Houston,-1.7463757274056149
6,Illinois,-1.7715619737064674
6,Indiana,-1.7902115915575776
6,Iowa,-1.8125786295159123
6,Iowa State,-1.8369921416805857
6,Kansas,-1.8608613790054318
6,Kansas State,-1.8814050585952795
6,Kent State,-1.9034258216279907
6,Kentucky,-1.9249496646767417
6,LSU,-1.952177090282367
6,Liberty,-1.9781719468150825
6,Louisiana,-1.9928111253637146
6,Louisiana Tech,-2.0075283765211163
6,Louisville,-2.031766789939846
6,Marshall,-2.055837170709135
6,Maryland,-2.0777706781809453
6,Massachusetts,-2.084532725525518
6,Memphis,-2.0995460713610887
6,Miami,-2.119178145139272
6,Miami (OH),-2.1267058073825553
6,Michigan,-2.1552183055812053
6,Michigan State,-2.17935063096982
6,Middle Tennessee,-2.203680547628629
6,Minnesota,-2.2130282771411682
6,Mississippi State,-2.2449400661993586
6,Missouri,-2.266377369908405
6,NC State,-2.2822873827565426
6,Navy,-2.305016859927253
6,Nebraska,-2.3155463052399345
6,Nevada,-2.3285095687748543
6,New Mexico,-2.3543615754164544
6,New Mexico State,-2.3741436538184915
6,North Carolina,-2.383941821107745
6,North Texas,-2.399244653036479
6,Northern Illinois,-2.4182689868693665
6,Northwestern,-2.4328196582388477
6,Notre Dame,-2.444504508754709
6,Ohio,-2.4569167415572406
6,Ohio State,-2.463529630417375
6,Oklahoma,-2.474800827630396
6,Oklahoma State,-2.4886210018848662
6,Old Dominion,-2.505996297834228
6,Ole Miss,-2.5309135210819123
6,Oregon,-2.5412333093322856
6,Oregon State,-2.5558701170124176
6,Penn State,-2.564914246194478
6,Pittsburgh,-2.5787194369625945
6,Purdue,-2.5957150959881465
6,Rice,-2.6269521668168014
6,Rutgers,-2.6470942742478263
6,SMU,-2.6586271567609403
6,San Diego State,-2.6766567498298777
6,San José State,-2.688992790178542
6,South Alabama,-2.708403482661903
6,South Carolina,-2.720196827817371
6,South Florida,-2.7396592141920957
6,Southern Miss,-2.747585801255502
6,Stanford,-2.7626885397663643
6,Syracuse,-2.770273401560158
6,TCU,-2.776863183618307
6,Temple,-2.7889428756829524
6,Tennessee,-2.8001913041159643
6,Texas,-2.8102337260923727
6,Texas A&M,-2.8185041631769976
6,Texas State,-2.8297796448474717
6,Texas Tech,-2.8354139175840194
6,Toledo,-2.8496951737844243
6,Troy,-2.856858547639696
6,Tulane,-2.858397592483314
6,Tulsa,-2.860632945187937
6,UAB,-2.856810997483127
6,UCF,-2.8590745287283936
6,UCLA,-2.87473987917013
6,UConn,-2.8721847338169666
6,UL Monroe,-2.877484656011079
6,UNLV,-2.881600147058201
6,USC,-2.876049428152071
6,UTEP,-2.8689922388481044
6,UTSA,-2.872165955625996
6,Utah,-2.8930935395078583
6,Utah State,-2.8907202357055772
6,Vanderbilt,-2.89397966242094
6,Virginia,-2.8928121254514214
6,Virginia Tech,-2.891538498809833
6,Wake Forest,-2.8972311619663214
6,Washington,-2.904573149921102
6,Washington State,-2.914062049314527
6,West Virginia,-2.9226022052490426
6,Western Kentucky,-2.918908517173545
6,Western Michigan,-2.922264891742859
6,Wisconsin,-2.916294500038328
6,Wyoming,-2.92115094097232
7,Air Force,-0.4093804138680899
7,Akron,-0.41131708804638323
7,Alabama,-0.4175081170259728
7,App State,-0.4262318035285133
7,Arizona,-0.43282526468622967
7,Arizona State,-0.4259673009331988
7,Arkansas,-0.42622911325789753
7,Arkansas State,-0.4276736730864767
7,Army,-0.4184254094536924
7,Auburn,-0.41442705916895506
7,BYU,-0.42284066613763605
7,Ball State,-0.4181356417201317
7,Baylor,-0.41869974225917894
7,Boise State,-0.4168038788627953
7,Boston College,-0.4199915853124779
7,Bowling Green,-0.4165949055235783
7,Buffalo,-0.41068944734138446
7,California,-0.4077406328431879
7,Central Michigan,-0.3945597994249988
7,Charlotte,-0.391471138078232
7,Cincinnati,-0.37552597682091193
7,Clemson,-0.3832704146560069
7,Coastal Carolina,-0.3788736919507657
7,Colorado,-0.37754730556674654
