season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units
2021,8,401310724,2021-10-23 19:00:00-04:00,Air Force,San Diego State,False,consensus,-3.0,39.0,10.8979778194374,45.48880009053656,7.897977819437401,6.488800090536557,home,over,6.0,5.0,home_havoc_rate: +5.99,away_adj_def_epa_pp: -5.41,away_adj_def_sr: -3.07,home_adj_def_ypp: -3.32,away_adj_off_epa_pp: -2.56,home_adj_off_epa_pp: +2.04,1
2021,8,401309626,2021-10-23 19:00:00-04:00,UL Monroe,South Alabama,False,consensus,13.5,51.0,-21.675699384029905,65.99853121229899,8.175699384029905,14.998531212298985,away,over,5.0,5.0,away_off_eckel_rate: -9.24,home_off_eckel_rate: -5.97,home_adj_def_epa_pp: -5.01,away_off_eckel_rate: +4.95,away_adj_def_ypp: +2.60,home_adj_off_epa_pp: -2.22,1
2021,8,401282709,2021-10-23 19:30:00-04:00,Notre Dame,USC,False,consensus,-7.5,59.5,7.353686683991052,60.86685618054669,0.14631331600894804,1.3668561805466908,none,none,6.0,6.0,home_adj_def_epa_pp: +5.45,same_conference: +3.78,home_havoc_rate: -3.74,home_adj_def_epa_pp: -1.36,away_adj_off_epa_pp: +1.26,home_adj_def_sr: -0.82,1
2021,8,401282667,2021-10-23 19:30:00-04:00,Virginia,Georgia Tech,False,consensus,-6.5,65.5,3.5347597454147976,62.64321565939964,2.9652402545852024,2.8567843406003632,none,none,6.0,5.0,home_havoc_rate: -2.42,home_adj_def_epa_pp: -1.87,home_off_eckel_rate: +1.70,home_adj_def_ypp: +1.15,home_adj_off_epa_pp: +0.85,home_stuff_rate: +0.66,1
2021,8,401282665,2021-10-23 19:30:00-04:00,Miami,NC State,False,consensus,3.5,54.5,-5.525938462087691,56.183052125123275,2.025938462087691,1.6830521251232753,none,none,5.0,5.0,away_adj_def_sr: -2.65,away_adj_def_epa_pp: -2.59,home_havoc_rate: -2.28,away_adj_def_sr: -1.19,away_adj_def_ypp: -0.98,home_adj_off_epa_pp: -0.90,1
2021,8,401282730,2021-10-23 19:30:00-04:00,Indiana,Ohio State,False,consensus,21.0,59.0,-12.338627167786342,58.277529905644684,8.661372832213658,0.722470094355316,home,none,5.0,6.0,away_adj_off_epa_pp: -4.45,home_havoc_rate: -3.90,away_adj_def_epa_pp: -3.85,away_adj_off_epa_pp: +4.56,home_adj_def_ypp: -2.84,home_adj_off_epa_pp: -2.19,1
2021,8,401287927,2021-10-23 19:30:00-04:00,TCU,West Virginia,False,consensus,-4.5,58.0,6.76496471822248,61.49405716685582,2.2649647182224797,3.494057166855818,none,none,5.0,5.0,home_havoc_rate: +2.91,home_adj_off_epa_pp: +2.10,away_off_eckel_rate: +1.07,home_adj_off_epa_pp: +2.90,home_adj_def_ypp: +1.36,home_off_finish_pts_per_opp: -0.70,1
2021,8,401309880,2021-10-23 19:30:00-04:00,Oregon State,Utah,False,consensus,3.0,58.0,4.071316773434212,63.09490689774507,7.071316773434212,5.094906897745069,home,none,5.0,5.0,home_off_eckel_rate: +3.92,home_havoc_rate: +3.69,away_adj_def_epa_pp: -2.93,home_adj_off_epa_pp: +3.71,away_adj_off_epa_pp: +1.67,away_adj_def_ypp: -1.05,1
2021,8,401282114,2021-10-23 19:30:00-04:00,Texas A&M,South Carolina,False,consensus,-19.5,46.0,6.8417304496338085,53.225194273714806,12.658269550366192,7.225194273714806,away,over,7.0,6.0,home_adj_def_epa_pp: +4.06,away_adj_def_epa_pp: -1.97,home_adj_def_sr: +1.84,home_adj_off_epa_pp: -1.56,away_adj_off_epa_pp: -1.18,home_adj_def_ypp: -1.09,1
2021,8,401310728,2021-10-23 23:59:00-04:00,Hawai'i,New Mexico State,False,Bovada,-19.0,63.0,13.845162954213201,59.42774118235993,5.154837045786799,3.572258817640069,away,none,6.0,6.0,same_conference: +3.78,away_havoc_rate: +2.80,home_havoc_rate: -2.64,home_adj_def_ypp: -2.69,home_adj_off_epa_pp: -1.11,away_adj_def_sr: +0.88,1
